review_rank,app_name,archetype,direct_threat_level,alina_closeness,alina_core_score,personal_meaning,one_daily_action,short_reset,avatar_or_identity,behavior_tied_progression,next_day_hook,source_url,duplicate_count,evidence_text
"1","Shepherd: Spiritual Bible BFF","faith_devotional_habit","medium_high","very_close","6","yes","yes","yes","yes","yes","yes","https://apps.apple.com/us/app/shepherd-spiritual-bible-bff/id6745461941?uo=4","1","Bible study finally feels joyful. Shepherd is a gamified daily devotional and habit tracker for Christians craving consistency – grow closer to God while growing a cute lamb avatar. THREE DAILY WINS - Read a guided Bible passage - Pray with a focused prompt - Reflect in sixty seconds Finish all three and your lamb revives, gains XP, and levels up. Skip days and it faints. Small habit, big impact. WHAT MAKES SHEPHERD DIFFERENT - Duolingo style Bible paths with clear progress tracking - Prayer tem"
"2","Pitstop: Scale Human Potential","gamified_self_improvement","medium_high","close","5","yes","yes","yes","yes","no","yes","https://apps.apple.com/us/app/pitstop-scale-human-potential/id6470808583?uo=4","2","Welcome to Pitstop – Scale Human Potential Imagine having access to the same executive coach who advises Fortune 500 CEOs – anytime you need them, even at 2am before a big presentation. The kind of personalized guidance that helps leaders navigate high-stakes decisions, break through limitations, and achieve breakthrough results. With Pitstop, this level of elite coaching is now in your pocket, available 24/7, unlocking human potential, not just corporate performance: Human-AI Coaches – AI Avata"
"3","Pitstop: Scale Human Potential","gamified_self_improvement","medium_high","close","5","yes","yes","yes","yes","no","yes","https://apps.apple.com/us/app/pitstop-scale-human-potential/id6470808583?uo=4","2","Welcome to Pitstop – Scale Human Potential Imagine having access to the same executive coach who advises Fortune 500 CEOs – anytime you need them, even at 2am before a big presentation. The kind of personalized guidance that helps leaders navigate high-stakes decisions, break through limitations, and achieve breakthrough results. With Pitstop, this level of elite coaching is now in your pocket, available 24/7, unlocking human potential, not just corporate performance: Human-AI Coaches – AI Avata"
"4","ModernSam: LVL up your life","manifestation_tool","medium_high","close","5","yes","yes","yes","yes","no","yes","https://apps.apple.com/us/app/modernsam-lvl-up-your-life/id6469438038?uo=4","1","Tasks, quests, and BEASTS - OH MY! Gamify your life with ModernSam. A free self-care and productivity app designed by ADHDers for ADHDers that transforms your day into an exciting RPG adventure to gamify your tasks, goals, and overall wellbeing. Use ModernSam to support your ADHD, reduce stress, defeat procrastination, build habits, boost productivity, reach fitness goals, organize your to do list, and more With immersive quests, character customization, and magical dopamine reward boosts - you"
"5","Muna: Astrology & Horoscope","astrology_guidance","medium_high","adjacent","4","yes","yes","no","yes","no","yes","https://apps.apple.com/us/app/muna-astrology-horoscope/id6474508082?uo=4","1","Muna: Horoscope & Astrology, the ultimate mobile appfor daily horoscope insights and astrological guidance. Whether you're seeking advice on love, career, or personal growth, our app delivers personalized horoscopes tailored just for you. Key Features: NEW - Chinese Horoscope 2025 - Daily Horoscope Today: Start your day with a glimpse into your astrological forecast. Our daily horoscope updates provide you with the guidance you need to make the most of your day. - Horoscope Zodiac Signs Dates: S"
"6","yap: astrology & dream journal","astrology_guidance","medium_high","close","5","yes","yes","yes","yes","no","yes","https://apps.apple.com/us/app/yap-astrology-dream-journal/id6744795314?uo=4","1","yap is the first app to scientifically bridge spirituality and real data — showing you exactly how the cosmos affects your mood, energy, relationships, and decisions through pattern recognition built around your unique birth chart. not generic horoscopes. not sun sign content. your chart, your life, your patterns; decoded. your birth chart, fully alive: · enter your birth date, time, and location and yap builds your complete natal chart; sun, moon, rising, all planets, houses, aspects, and more."
"7","Lunaria AI - Soulmate Drawing","astrology_guidance","high","close","5","yes","yes","yes","yes","no","yes","https://apps.apple.com/us/app/lunaria-ai-soulmate-drawing/id6476827721?uo=4","1","Lunaria - Your Spiritual Guide & Soulmate Companion Explore the depths of your soul with Luna. Discover your soulmate archetype, chat with an AI-powered companion, get your daily horoscope, and unlock the secrets of tarot, dreams, and numerology—all in one app. Welcome to Lunaria, your all-in-one spiritual assistant designed to explore the connections between your mind, the universe, and your soul. Where ancient wisdom meets cutting-edge technology, Lunaria creates a private, enlightening, and m"
"8","Law of Attraction Toolbox","manifestation_tool","medium_high","close","5","yes","yes","yes","yes","no","yes","https://apps.apple.com/us/app/law-of-attraction-toolbox/id1287758917?uo=4","1","Law of Attraction Toolbox is a daily manifestation app with 25+ guided exercises, games, and tools for building a consistent practice. Based on the teachings of Abraham-Hicks, Neville Goddard, Napoleon Hill, and other widely studied methods, it helps both beginners and experienced practitioners structure their manifestation work on iPhone and iPad. What problems does this app help with? Many people learn about manifesting through books, YouTube, or podcasts but struggle to apply the techniques c"
"9","Vision Board ++ Maker Manifest","manifestation_tool","medium","adjacent","4","yes","yes","no","yes","no","yes","https://apps.apple.com/us/app/vision-board-maker-manifest/id1609921022?uo=4","1","Vision Board App and Affirmation App that turn your goals into reality. Vision Board ++ combines personalized vision boards, inspiring movies with spoken affirmations, and home screen widgets into a daily visualization practice you'll actually stick with. Successful athletes, artists, and entrepreneurs use visualization and affirmations as part of their success strategies. This vision board app brings both together in one powerful experience on your iPhone or iPad. Vision Board ++ is more than a"
"10","369 Manifestation & Meditation","manifestation_tool","medium_high","close","5","yes","yes","yes","yes","no","yes","https://apps.apple.com/us/app/369-manifestation-meditation/id1663677921?uo=4","1","What would you manifest if you knew it would work? The 369 Manifestation App is more than just a journal – it's your personal AI-powered manifestation coach that combines scientifically proven methods with cutting-edge technology. Based on Nikola Tesla's ""Key to the Universe"" (3-6-9), we guide you on your journey to a more conscious, fulfilled life. The 369 Method Reimagined The ancient technique of manifestation, perfected through digital intelligence: Morning (3x), Noon (6x), Evening (9x) – wi"
"11","Zodya Tarot Coffee Reading AI","astrology_guidance","medium_high","adjacent","4","yes","yes","no","yes","no","yes","https://apps.apple.com/us/app/zodya-tarot-coffee-reading-ai/id6474906451?uo=4","1","Learn tarot faster with an AI-powered tarot learning and reading companion. Whether you are brand new or an experienced reader, build real skills with guided practice, clear meanings, and personalized coaching. Key features and benefits AI tarot tutor, personalized to you: Get one-on-one guidance that adapts to your goals, deck, and pace. Ask questions anytime and learn card meanings, symbols, and interpretation techniques with practical, easy-to-follow explanations. Tarot meanings and deck supp"
"12","LunaMate: AI Fanstasy Roleplay","tarot_or_oracle_guidance","high","weak","3","yes","yes","no","yes","no","no","https://apps.apple.com/us/app/lunamate-ai-fanstasy-roleplay/id6752447843?uo=4","1","LunaMate – Experience AI Conversations Like Never Before Step into the world of LunaMate, an innovative chat app designed to connect you with intelligent AI characters for engaging, supportive, and meaningful exchanges. Whether you’re seeking companionship, encouragement, or just someone to share your thoughts with, LunaMate makes every chat feel special. Features You’ll Love Diverse AI Companions Interact with a variety of AI personalities, each with their own traits and perspectives. From play"
"13","Kokoa AI: Roleplay AI Chat","tarot_or_oracle_guidance","high","adjacent","4","yes","yes","yes","yes","no","no","https://apps.apple.com/us/app/kokoa-ai-roleplay-ai-chat/id6755166256?uo=4","1","Kokoa AI – Experience a New Way to Connect Step into Kokoa AI, an innovative chat platform where intelligent AI companions truly listen, understand, and engage like real people. Whether you’re seeking encouragement, companionship, or just someone to share your thoughts with, every conversation feels genuine and meaningful. What Makes Kokoa AI Unique Explore Distinct Personalities Chat with a wide range of AI characters—each with their own backstories, moods, and styles. From playful banter to th"
"14","Harem AI - Chat & Talk & Crush","tarot_or_oracle_guidance","medium_high","close","5","yes","yes","yes","yes","no","yes","https://apps.apple.com/us/app/harem-ai-chat-talk-crush/id6636491359?uo=4","1","Experience Harem AI Role-Playing: Whenever you’re feeling lonely or just want someone to chat with, our character AI is here to keep you company, offering emotional support and engaging conversations. Whether your desired character is from anime, manga, movies, TV shows, or stage plays, you can always find them here and enjoy your time. Free AI Chatting: Looking for a fun and free chat experience? Dive into Harem AI, where you can earn coins by completing tasks like inviting friends or clicking"
