capture_rank,app_name,niche,original_signal,source_url,screenshot_path,ocr_status,ocr_detected_tags,original_detected_prices,ocr_detected_prices,screenshot_interpretation_verdict,visual_adjudication,adjudication_confidence,price_evidence,conservative_rationale,final_claim_limit,signoff_status,ocr_excerpt
"1","The Sims™ FreePlay","gaming","high","https://www.ea.com/ea-play","output/paywall_screenshots/01-the-sims-freeplay-high.png","ok","visible_not_found","$5.99|$39.99|$16.99|$119.99","","weakens_signal_not_found","reject_or_weaken_public_page_signal","medium","","Captured page is not found, unreachable, or visibly not the claimed pricing/paywall page.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","This site can't be reached The webpage at https://www.ea.com/ea-play might be temporarily down or it may have moved permanently to a new web address. ERR_HTTP2_PROTOCOL_ERROR"
"2","Character AI: Chat, Talk, Text","avatar_identity","high","https://character.ai/subscribe","output/paywall_screenshots/02-character-ai-chat-talk-text-high.png","ok","visible_price|visible_subscription|visible_checkout","$9.99|$94.99|$119.88","$9.99|$94.99","confirms_public_pricing_signal","confirmed_visible_public_pricing","high","$9.99|$94.99","Local visual review confirms a product-matched public c.ai+ subscription page with $9.99/month and $94.99/year. In-app first-value boundary and WTP remain unproven.","Confirmed public web subscription evidence for Character AI/c.ai+; use as paid-depth proxy, not as Alina WTP or in-app conversion proof.","local_visual_signoff_completed","Basti ‘ y ‘ | Z . | \ ‘ / bh \ oi . , % . | \\ } J } E me 4 ™ . Upgrade to c.ai+ Feature Free Pus Per month a Basic chat models, vv $9.99 © Better memory - v . ) ‘Ad-free chats = wv Fortier oer Channa sss = wv Per year peers: _ models v $94.99 cscs ° iocnmeth - v Unlimited voice calls = wv acta wae Auto renews yearly until canceled ae @ri ayEaicy v Subscribe to (c.ai+) About us Work withus Community Blog Cookie Policy Privacy Policy Terms of Service Charms-Terms of Uso Your Privacy Choices"
"3","Headspace: Sleep & Meditate","mindfulness","high","https://www.headspace.com/","output/paywall_screenshots/03-headspace-sleep-meditate-high.png","ok","visible_login_gate","$0","","needs_manual_review_high_signal_no_visible_price","manual_review_required_high_prior","low_medium","$0","Original crawler saw high paywall/pricing signal, but screenshot did not expose a clean visible price.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","e@ For You For Business For Providers OurPlans Resources About Log in Help ° all with Headspace Mental health app with expert-led Online therapy that meditations and tools accepts insurance . a » a 5 : a x ’ : ie * 1 . > What's on your mind? h 4 © Ebb oat t What kind of headspace are you looking for? Stress less > Sleep soundly > Manage anxiety > Process thoughts > Practice meditation > Start therapy >"
"4","Meditopia: Sleep & Meditation","mindfulness","high","https://meditopia.com/en/plans","output/paywall_screenshots/04-meditopia-sleep-meditation-high.png","ok","visible_price|visible_subscription|visible_checkout|visible_login_gate","$3.50","$3.50","confirms_public_pricing_signal","confirmed_visible_public_pricing","high","$3.50","Local visual review confirms Meditopia-branded B2B/EAP pricing at $3.50 per user per month, not consumer app subscription pricing.","Partial B2B wellness monetization evidence; do not use as direct consumer app WTP proof.","local_visual_signoff_completed_partial_b2b","OD MEDITOPIA For Business Y For Individuals ~ Resources Y + Modern EAP Login Book a demo today Pr icing We aim to create value for companies from all shapes and sizes. Choose the package that suits you and your team’s needs. a RU} g Essential Care Total Care Access the world's largest personalized wellbeing library with Al support. For Includes everything in Essential Care, with 1:1 live sessions with experts for large organizations, average price: $3.50 per user per month (PUPM). tailored guidance, a complete wellbeing solution emphasizing preventive support beyond standard EAPs. SD 10,000+ preventive self-care resources in 16 languages 10,000+ preventive self-care resources in 15 languages"
"5","Nebula: Spiritual Guidance","astrology_esoterics","high","https://www.asknebula.com/","output/paywall_screenshots/05-nebula-spiritual-guidance-high.png","ok","no_ocr_paywall_terms","$3.99|$1","","needs_manual_review_high_signal_no_visible_price","manual_review_required_high_prior","low_medium","$3.99|$1","Original crawler saw high paywall/pricing signal, but screenshot did not expose a clean visible price.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","@ nebula PsychicReadings Psychics Topics © ZodiacSigns Charts _—Blog Signin > With each psychic reading, get closer to grounded wisdom Nebula is a spiritual guidance space offering personalized tools to support self-discovery and spiritual well-being. Whenever life feels uncertain, our psychics are here to provide clarity, insight, and genuine connection. ‘ = . . \ SA ; Pte 2 «SS iS Vda 4 > ~ ome A : * x Nt pn \\ SSS Trusted guidance, one message away. Also available on iOS and Android C4 & mw < Turn doubt into clarity with personalized insights from our psychic advisors G g g Understand your relationship patterns and navigate your love life with Psychic readings built a uncerstend around yo"
"6","Lords Mobile: Kingdom Wars","gaming","medium","https://www.igg.com/","output/paywall_screenshots/06-lords-mobile-kingdom-wars-medium.png","ok","visible_login_gate","","","weak_or_unconfirmed","login_gate_or_app_store_redirect","low_medium","","Captured page appears to gate pricing behind login, redirect, or account flow.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","iG HOME 1 GAMES 1 PAY i STORE 1 CAREERS | SUPPORT | CHARITY 1 @ Sign In | Register ne Ja —_ x : “| iP ’ Peal ‘ lie, os - _ ~ 4 4 § a . © a \ => SS - —— e | 7 * a? atte hee wee a ‘ 7 ae 9 2 Google Play . Pe Google Play — a %, . Most _ ¥ i Android 5 aa =| Competitive Game = Excellence Game 8 / ‘ | ys > - i /, é ‘ a yA\ely a 7 2 ms — 1) Aa = 7 e ‘Your privacy: By clicking ""Accept all cookies"", you agree that we can store cookies on your device and disclose information in accordance with our Cookie Policy. | |"
"7","Clash of Clans","gaming","medium","https://support.supercell.com/en/index.html","output/paywall_screenshots/07-clash-of-clans-medium.png","ok","no_ocr_paywall_terms","","","weak_or_unconfirmed","weak_or_unconfirmed_public_signal","low","","Screenshot/OCR does not confirm public pricing or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","w z g ad fo ORS WELCOME TO j ae ye | Cee ee SUPERCELL — OG: | SUPPORT ee i oo 4 Vik & \ Fy - py: wal 4 ree eee omens A ) 2 9 WS —~2! BRAWL | Neo a an DORN SQuaD ar ye Ley) BEAON BUSTERS : LRA? 5 et ———— wim ge” ea."
"8","Carrom Pool: Disc Game","gaming","medium","https://www.miniclip.com/pricing","output/paywall_screenshots/08-carrom-pool-disc-game-medium.png","ok","visible_subscription","","","partially_confirms_paywall_language","partial_paid_surface_language","medium","","Local visual review confirms the saved Miniclip page is not a clean Carrom Pool pricing/paywall page; it only provides weak parent-brand monetization context.","Weak parent-brand paid-surface cue only; do not use as Carrom Pool pricing proof.","local_visual_signoff_completed_no_clean_price_parent_brand","1 | MINICLIP Publishing Our Story Games PLAY GAMES 7 O ( POOL \ r ) A I = gar.io Play our mo, PLAY NOW ‘ ecco >a We are Miniclip en oy . 2 @ VV d y) An international digital games and entertainment o \ A company. We develop, publish and distribute multiplayer mobile games. We reach over 400 aan J million players each month, and our audience ue “ keeps growing. 4 Geb 4 ™ KNOW MORE fa\ , ml a ¢ dh, Our purpose... unleash the gamer in everyone’ What's New 4! C ies t ur ustomiz it [e F id al media f ul ir ur usage. To di re information pl isit our Privacy Policy and Cookie Policy."
"9","Pokémon GO","gaming","medium","https://pokemongo.com/","output/paywall_screenshots/09-pok-mon-go-medium.png","ok","no_ocr_paywall_terms","","","weak_or_unconfirmed","weak_or_unconfirmed_public_signal","low","","Screenshot/OCR does not confirm public pricing or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","<, —— "" . oe big A; eth g Py re ass % we iy Ey g ete < nei inks ee bf are es 3 645 Se A as ae Ta vs ee ited Dee Bs MAK ee ee Se Alo 3 ASK} Ss ~~ f- Zz ES — eee “4 Ay Catch Pokémon 5 ase."
"10","Tennis Clash: Multiplayer Game","gaming","medium","https://wildlifestudios.com/","output/paywall_screenshots/10-tennis-clash-multiplayer-game-medium.png","ok","no_ocr_paywall_terms","","","weak_or_unconfirmed","weak_or_unconfirmed_public_signal","low","","Screenshot/OCR does not confirm public pricing or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","rf 7% ; / | m\ - 7 =. a f ‘ \b Retdbvaysaicgoed day hogolay Penis @iash! i j J 74 (mh cP : s ae ee YA \ DN FE aay * j = S Le \ 7 ——a a) ~* NX =a). « S ok Rs aM ’ = CF 4) a > 2° ¥ 55 699 Ly NEWSROOM > GAMES. NEWSROOM >» GAMES NEWSROOM >» GAMES. NEWSROOM > ¢ Our website uses cookies to improve navigation My options C Reject )"
"11","Mob Control","gaming","medium","https://voodoo.io/","output/paywall_screenshots/11-mob-control-medium.png","ok","no_ocr_paywall_terms","$670","","weak_or_unconfirmed","weak_or_unconfirmed_public_signal","low","$670","Screenshot/OCR does not confirm public pricing or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","Voodoo Company Publishing Careers += News pox Entertain th Id with iconic apps and games By clicking “Accept All"", you agree to the use of can find out more by reading ou Reject all Customize"
"12","Modern Strike Online: War FPS","gaming","medium","https://azurgames.com/","output/paywall_screenshots/12-modern-strike-online-war-fps-medium.png","ok","no_ocr_paywall_terms","","","weak_or_unconfirmed","weak_or_unconfirmed_public_signal","low","","Screenshot/OCR does not confirm public pricing or paywall terms.","Public screenshot/OCR evidence only; human review and in-app paywall inspection remain required before final claims.","needs_human_signoff","Perit Aboutus Games _ Publishing Blog v Env Submit game \ : “G w me . | Zz eee sf ry A> 7 We're doing everything to make sure talented y = < \ ¥ game developers see their projects at the top & ek “ f aN of the charts. ai y NY’ > Ae Submit game ‘ % Come * , = Wenitn. » ee WE PUBLISH AND DEVELOP GAMES THAT ARE IMPOSSIBLE TO TEAR YOURSELF AWAY FROM = f We use cookies to personalise content and ads, to provide social media features and to analyse our traffic. We also share information about your use of our site with our social media, advertising and analytics partners who may combine it with other information that you've mobile publisher* Prey for dete or that they've collected from your use of"
