row_id,layer_ru,market_ru,count_type_ru,count_value,share_of_global_dedup,plain_meaning_ru,what_it_can_prove_ru,what_it_cannot_prove_ru,reconciliation_note_ru
"COUNT_01_GLOBAL_RAW","Глобальный пакет","Все рынки","raw source rows","68085","","Все собранные строки до глобальной дедупликации: app/store listings, source rows, benchmarks, forum/context rows и другие discovery-строки.","Показывает масштаб сбора и ширину карты источников.","Не доказывает количество уникальных приложений, спрос, WTP или отсутствие конкурента.","Raw rows всегда больше или иначе устроены, чем dedup rows; их нельзя читать как число приложений."
"COUNT_02_GLOBAL_DEDUP","Глобальный пакет","Все рынки","global dedup rows","37176","100.0%","Уникализированные строки всего пакета после глобальной дедупликации.","Показывает общий размер dedup-карты, на которую опирается исследование.","Не равно сумме нишевых dedup, потому что один продукт может относиться к нескольким направлениям.","Глобальный dedup сейчас 37,176, а сумма нишевых all-source dedup 43,144; разница объясняется пересечениями и разными scope."
"COUNT_03_NICHE_DEDUP_SUM","Сумма по нишам","Пять направлений","sum of all-source niche dedup rows","43144","116.1%","Сумма dedup-строк внутри каждой ниши, если читать рынки как тематические корзины.","Показывает, насколько широким получился coverage внутри пяти направлений.","Не является числом уникальных приложений во всем пакете.","Это тематическая сумма, а не глобальная уникальность: пересекающиеся продукты могут встречаться в нескольких корзинах."
"COUNT_04_DIRECT_APP_SUM","Сумма по нишам","Пять направлений","sum of direct app-store dedup rows by niche","13117","35.3%","Ближнее consumer-app поле: App Store / Google Play / похожие app-store rows после нишевой дедупликации.","Лучше всего отвечает на вопрос “сколько близких приложений видно в каждой нише”.","Не доказывает, что все эти приложения являются прямыми клонами Alina.","Это более близкий к конкурентному анализу слой, чем all-source dedup, но он тоже тематический и требует ручного sampling."
"COUNT_05_TOP100_REVIEW","Review layer","Пять направлений","top100 primary competitors","187","0.5%","Кандидаты, вынесенные в более внимательный scorecard/review слой.","Показывает, какие строки уже приоритизированы для конкурентной оценки.","Не заменяет реальный app walkthrough и не закрывает H1/H3.","Top-100 layer сейчас суммарно 187 строк по нишам; manual targets еще уже: 18."
"COUNT_NICHE_01","Ниша","Mindfulness / reset","niche count stack","9,803","26.4%","В Mindfulness / reset: raw=15,109, all-source dedup=9,803, cross-source total dedup=9,723, direct app-store dedup=2,550, top100=21, manual targets=0.","Для Mindfulness / reset доказан масштаб source discovery: 15,109 raw rows, 9,803 all-source dedup rows и 2,550 direct app-store dedup rows.","Эти счетчики доказывают масштаб карты рынка и плотность source coverage, но не доказывают PMF, willingness-to-pay или отсутствие hidden full-loop clone без manual walkthrough/interviews.","Для этой ниши direct app-store dedup является самым понятным счетчиком близкого consumer-app поля, но claim upgrade требует manual walkthrough."
"COUNT_NICHE_02","Ниша","Avatar / identity","niche count stack","9,952","26.8%","В Avatar / identity: raw=14,872, all-source dedup=9,952, cross-source total dedup=7,944, direct app-store dedup=2,506, top100=49, manual targets=3.","Для Avatar / identity доказан масштаб source discovery: 14,872 raw rows, 9,952 all-source dedup rows и 2,506 direct app-store dedup rows.","Эти счетчики доказывают масштаб карты рынка и плотность source coverage, но не доказывают PMF, willingness-to-pay или отсутствие hidden full-loop clone без manual walkthrough/interviews.","Для этой ниши direct app-store dedup является самым понятным счетчиком близкого consumer-app поля, но claim upgrade требует manual walkthrough."
"COUNT_NICHE_03","Ниша","Astrology / esoterics","niche count stack","2,657","7.1%","В Astrology / esoterics: raw=5,427, all-source dedup=2,657, cross-source total dedup=2,657, direct app-store dedup=2,206, top100=59, manual targets=7.","Для Astrology / esoterics доказан масштаб source discovery: 5,427 raw rows, 2,657 all-source dedup rows и 2,206 direct app-store dedup rows.","Эти счетчики доказывают масштаб карты рынка и плотность source coverage, но не доказывают PMF, willingness-to-pay или отсутствие hidden full-loop clone без manual walkthrough/interviews.","Для этой ниши direct app-store dedup является самым понятным счетчиком близкого consumer-app поля, но claim upgrade требует manual walkthrough."
"COUNT_NICHE_04","Ниша","Coaching / self-improvement","niche count stack","3,857","10.4%","В Coaching / self-improvement: raw=7,671, all-source dedup=3,857, cross-source total dedup=3,857, direct app-store dedup=2,651, top100=50, manual targets=8.","Для Coaching / self-improvement доказан масштаб source discovery: 7,671 raw rows, 3,857 all-source dedup rows и 2,651 direct app-store dedup rows.","Эти счетчики доказывают масштаб карты рынка и плотность source coverage, но не доказывают PMF, willingness-to-pay или отсутствие hidden full-loop clone без manual walkthrough/interviews.","Для этой ниши direct app-store dedup является самым понятным счетчиком близкого consumer-app поля, но claim upgrade требует manual walkthrough."
"COUNT_NICHE_05","Ниша","Gaming / progression benchmark","niche count stack","16,875","45.4%","В Gaming / progression benchmark: raw=24,446, all-source dedup=16,875, cross-source total dedup=14,304, direct app-store dedup=3,204, top100=8, manual targets=0.","Для Gaming / progression benchmark доказан масштаб source discovery: 24,446 raw rows, 16,875 all-source dedup rows и 3,204 direct app-store dedup rows.","Эти счетчики доказывают масштаб карты рынка и плотность source coverage, но не доказывают PMF, willingness-to-pay или отсутствие hidden full-loop clone без manual walkthrough/interviews.","Gaming/progression читается как benchmark mechanics, не как прямой рынок Alina."
