claim_id,claim_text,hypothesis_id,market,niche,claim_type,value,unit,geography,period,source_id,source_url,source_title,source_publisher,source_date,extraction_date,confidence,evidence_direction,notes
CLM-MKT-0001,"BCG's 2026 gaming report shows mobile game IAP market breakdown with USD 113B in 2025 and USD 166B in 2030, framed as +4% CAGR.",H2,mobile gaming,gaming,market_size,113000000000,USD,global,2025,SRC-MKT-0002,https://web-assets.bcg.com/b3/fa/fd7443244a48a24fae8299ce0f34/video-gaming-report-2026-nov-2025-edit-02.pdf,"How Platforms Are Colliding and Why This Will Spark the Next Era of Growth",Boston Consulting Group,2026,2026-05-31,High,supports,"Useful broad monetization benchmark; not direct Alina TAM."
CLM-MKT-0002,"BCG's 2026 gaming report shows mobile game IAP market breakdown with USD 166B in 2030.",H2,mobile gaming,gaming,market_size,166000000000,USD,global,2030,SRC-MKT-0002,https://web-assets.bcg.com/b3/fa/fd7443244a48a24fae8299ce0f34/video-gaming-report-2026-nov-2025-edit-02.pdf,"How Platforms Are Colliding and Why This Will Spark the Next Era of Growth",Boston Consulting Group,2026,2026-05-31,High,supports,"Useful for market momentum and platform/payment-channel shift."
CLM-MKT-0003,"Stratistics MRC states the global Meditation & Mindfulness Apps Market is USD 1.68B in 2026.",H2,meditation and mindfulness apps,mindfulness,market_size,1680000000,USD,global,2026,SRC-MKT-0003,https://www.strategymrc.com/report/meditation-and-mindfulness-apps-market,"Meditation And Mindfulness Apps Market",Stratistics MRC,2026,2026-05-31,Medium,supports,"Direct category anchor; methodology is behind paid report."
CLM-MKT-0004,"Stratistics MRC states the global Meditation & Mindfulness Apps Market is expected to reach USD 4.62B by 2034 at 13.4% CAGR.",H2,meditation and mindfulness apps,mindfulness,market_size,4620000000,USD,global,2034,SRC-MKT-0003,https://www.strategymrc.com/report/meditation-and-mindfulness-apps-market,"Meditation And Mindfulness Apps Market",Stratistics MRC,2026,2026-05-31,Medium,supports,"Direct category anchor; useful for growth assumption."
CLM-MKT-0005,"Global Market Insights states the AI avatars market is USD 8.4B in 2026.",H2,AI avatars,avatar_identity,market_size,8400000000,USD,global,2026,SRC-MKT-0004,https://www.gminsights.com/industry-analysis/ai-avatars-market,"AI Avatars Market Size & Share 2026-2035",Global Market Insights,2026,2026-05-31,Medium,supports,"Broad market; includes enterprise and consumer use cases."
CLM-MKT-0006,"Global Market Insights forecasts the AI avatars market to reach USD 93.4B by 2035 at 30.6% CAGR.",H2,AI avatars,avatar_identity,market_size,93400000000,USD,global,2035,SRC-MKT-0004,https://www.gminsights.com/industry-analysis/ai-avatars-market,"AI Avatars Market Size & Share 2026-2035",Global Market Insights,2026,2026-05-31,Medium,supports,"Strong growth signal; consumer self-improvement segment must be estimated separately."
CLM-MKT-0007,"The 2026 ICF Coaching Futures Report states technology is transforming coaching delivery and AI is moving from tool to co-pilot shaping learning, work, and decisions.",H2,coaching,coaching,growth_rate,,,global,2026,SRC-MKT-0005,https://icfcoachingfuturesreport.com/wp-content/uploads/sites/2/2026/01/icf-coaching-futures-report-2026.pdf,"2026 ICF Coaching Futures Report",International Coaching Federation,2026,2026-05-31,High,supports,"Trend evidence, not market-size evidence."
CLM-MKT-0008,"The 2026 ICF Coaching Futures Report says online and virtual coaching are now dominant delivery formats, citing the 2025 ICF Global Coaching Study.",H2,coaching,coaching,product_pattern,,,global,2026,SRC-MKT-0005,https://icfcoachingfuturesreport.com/wp-content/uploads/sites/2/2026/01/icf-coaching-futures-report-2026.pdf,"2026 ICF Coaching Futures Report",International Coaching Federation,2026,2026-05-31,High,supports,"Supports digital delivery relevance; still needs consumer app TAM."
CLM-MKT-0009,"Econ Market Research states the global Astrology App Market generated USD 16.07B in 2026 and is forecast to reach USD 27.15B by 2035 at 6% CAGR.",H2,astrology apps,astrology_esoterics,market_size,16070000000,USD,global,2026,SRC-MKT-0007,https://www.econmarketresearch.com/industry-report/astrology-app-market/,"Astrology App Market",Econ Market Research,2026,2026-05-31,Low,supports,"High estimate anchor; triangulate before relying on it."
CLM-MKT-0010,"Global Growth Insights states the Astrology App Market is projected at USD 6.24B in 2026.",H2,astrology apps,astrology_esoterics,market_size,6240000000,USD,global,2026,SRC-MKT-0008,https://www.globalgrowthinsights.com/market-reports/astrology-app-market-114903,"Astrology App Market Research Report 2035",Global Growth Insights,2026,2026-05-31,Low,supports,"Mid estimate anchor with aggressive long-term CAGR."
