app_name,source_url,fit_band,fit_score,threat_band,core_mechanic,users,rating,feature_tags,evidence_basis,alina_lesson,whitespace_implication,validation_task
"Ritual — Habit Tracker","https://chromewebstore.google.com/detail/ritual-%E2%80%94-habit-tracker/gmnjcnfgnplcgcjkhmkiipocadniojmb","strong_adjacent","8","mechanic_threat_medium","habit_progress_reflection_loop","2","0","habit_tracking|progress_feedback|mood_or_reflection","Beautiful habit tracker with goals, streaks, mood tracking, and weekly insights. Free forever.","Use visible progress plus mood/reflection as proof that tiny rituals can feel emotionally richer than checkbox habits.","Narrows whitespace: lightweight habit/progress/reflection exists, but no avatar/identity transformation object is visible in extracted evidence.","Manually inspect screenshots/onboarding for action -> progress causality and any identity/avatar metaphor."
"Accountability Shield - Free Website Blocker","https://chromewebstore.google.com/detail/accountability-shield-fre/npeckjnckdjkfdilppedpibokdbmfkfm","strong_adjacent","7","mechanic_threat_medium","ai_accountability_loop","26","4.8","ai_coaching|accountability|progress_feedback","Block websites with AI-powered coaching, insights and accountability partners. Stay focused with intelligent blocking.","AI nudging and accountability can support behavior change, but Alina should avoid surveillance framing and keep consent/softness central.","Supports positioning risk: AI accountability language exists, so Alina should differentiate through emotional safety and personal meaning.","Manually inspect screenshots/onboarding for action -> progress causality and any identity/avatar metaphor."
"Habit Tracker - Track My Habit","https://chromewebstore.google.com/detail/habit-tracker-track-my-ha/ckfejoidaicoaiacpegjindigbllohie","strong_adjacent","6","mechanic_threat_high","habit_progress_loop","1000","4.9","habit_tracking|progress_feedback","Simple and beautiful habit tracker that helps you build daily habits with visual streaks and progress tracking. Free and Unlimited!","Borrow the lightweight capture/progress affordance, but connect it to identity/avatar feedback rather than a plain stat surface.","Supports whitespace: progress loops exist, but they appear utilitarian rather than identity/avatar-centered.","Manually inspect screenshots/onboarding for action -> progress causality and any identity/avatar metaphor."
"Habit Tracker","https://chromewebstore.google.com/detail/habit-tracker/ikcpbmlbgoknannnfcnfhmohpcnlphmn","useful_adjacent","5","mechanic_reference_high","simple_habit_capture","1000","4.9","habit_tracking","Add personal habits based on your goals and keep track of them.","Habit capture is table stakes; the differentiator has to be what completion changes in the user-facing identity object.","Low direct impact on whitespace; keep for market-boundary mapping.","Capture screenshots of the core loop and note whether progress is emotional, behavioral, or purely numeric."
"Habit Tracker","https://chromewebstore.google.com/detail/habit-tracker/ncokhechhpjgjonhjnlaneglmdkfkcbj","useful_adjacent","5","mechanic_reference_high","habit_progress_loop","4000","4.9","habit_tracking|progress_feedback","Use Online Habit Tracker app widget for daily habit tracking. Keep track of progress, achieve goals, build habits in productive app.","Borrow the lightweight capture/progress affordance, but connect it to identity/avatar feedback rather than a plain stat surface.","Supports whitespace: progress loops exist, but they appear utilitarian rather than identity/avatar-centered.","Capture screenshots of the core loop and note whether progress is emotional, behavioral, or purely numeric."
"Time Tracker - Web Habit Builder","https://chromewebstore.google.com/detail/time-tracker-web-habit-bu/dkdhhcbjijekmneelocdllcldcpmekmm","useful_adjacent","5","mechanic_reference_high","accountability_monitoring_loop","20000","4.8","habit_tracking|accountability","Track time, analyze your habits and block addictive sites","Accountability creates commitment, but the consumer version should be self-compassionate and not feel punitive.","Boundary evidence: accountability mechanics are viable but can conflict with calm/wellness framing.","Capture screenshots of the core loop and note whether progress is emotional, behavioral, or purely numeric."
"Habit Squares: Bullet Journal Habit Tracker","https://chromewebstore.google.com/detail/habit-squares-bullet-jour/pbbbmoikigmnomamfpofaifplcjjpijn","useful_adjacent","5","mechanic_reference_high","simple_habit_capture","36","5","habit_tracking|mood_or_reflection","Stay on top of your daily routines with a bullet-journal-style habit tracker that keeps you motivated.","Habit capture is table stakes; the differentiator has to be what completion changes in the user-facing identity object.","Low direct impact on whitespace; keep for market-boundary mapping.","Capture screenshots of the core loop and note whether progress is emotional, behavioral, or purely numeric."
"Ora - New Tab: Habit Tracker & Time Progress","https://chromewebstore.google.com/detail/ora-new-tab-habit-tracker/gclgiemlfgkmonglimgaalhaijejikme","useful_adjacent","5","mechanic_reference_high","habit_progress_loop","31","4.9","habit_tracking|progress_feedback","A new tab page that tracks your habits and shows time progress","Borrow the lightweight capture/progress affordance, but connect it to identity/avatar feedback rather than a plain stat surface.","Supports whitespace: progress loops exist, but they appear utilitarian rather than identity/avatar-centered.","Capture screenshots of the core loop and note whether progress is emotional, behavioral, or purely numeric."
"Habit Tracker – Progress & Stats on New Tab","https://chromewebstore.google.com/detail/habit-tracker-%E2%80%93-progress/fokblddhicmobehamooafpinddmapdpk","useful_adjacent","5","mechanic_reference_high","habit_progress_loop","14","4.7","habit_tracking|progress_feedback","A simple habit tracker that replaces your new tab page.","Borrow the lightweight capture/progress affordance, but connect it to identity/avatar feedback rather than a plain stat surface.","Supports whitespace: progress loops exist, but they appear utilitarian rather than identity/avatar-centered.","Capture screenshots of the core loop and note whether progress is emotional, behavioral, or purely numeric."
"AI Prompt Coach by LeadWithAI.co","https://chromewebstore.google.com/detail/ai-prompt-coach-by-leadwi/chhfmdhihjalnghacmfflhijhmmhgkjl","useful_adjacent","4","mechanic_reference_medium","ai_feedback_loop","76","4.3","ai_coaching|progress_feedback","AI Prompt Coach by LeadWithAI.co scores and improves your prompts on ChatGPT, Claude, and Gemini for better AI responses","AI feedback is common in narrow contexts; Alina needs personal meaning and ritual continuity to avoid becoming a generic coach.","Boundary evidence: AI coaching is crowded in narrow tasks, so generic AI coach positioning is weak.","Capture screenshots of the core loop and note whether progress is emotional, behavioral, or purely numeric."
"LeetCode AI Coach","https://chromewebstore.google.com/detail/leetcode-ai-coach/enbfnoneblppoheaechfcncklldegiin","useful_adjacent","4","mechanic_reference_medium","ai_feedback_loop","2","4.6","ai_coaching|progress_feedback|developer_or_learning_coach","AI-powered LeetCode assistant: code assessment, progressive hints, optimal solutions, and personalized study recommendations.","AI feedback is common in narrow contexts; Alina needs personal meaning and ritual continuity to avoid becoming a generic coach.","Boundary evidence: AI coaching is crowded in narrow tasks, so generic AI coach positioning is weak.","Capture screenshots of the core loop and note whether progress is emotional, behavioral, or purely numeric."
"Daily Habit Tracker","https://chromewebstore.google.com/detail/daily-habit-tracker/icagcpddhbekcfaofkihcjdcnoajaogo","useful_adjacent","3","mechanic_reference_medium","simple_habit_capture","5","4.4","habit_tracking","A minimalist daily habit tracker.","Habit capture is table stakes; the differentiator has to be what completion changes in the user-facing identity object.","Low direct impact on whitespace; keep for market-boundary mapping.","Capture screenshots of the core loop and note whether progress is emotional, behavioral, or purely numeric."
"Habit Tracker","https://chromewebstore.google.com/detail/habit-tracker/chjmonpkdbgeepflmgghhfcflejcglpp","useful_adjacent","3","mechanic_reference_medium","simple_habit_capture","3","4.7","habit_tracking","A simple and beautiful way to track your habits","Habit capture is table stakes; the differentiator has to be what completion changes in the user-facing identity object.","Low direct impact on whitespace; keep for market-boundary mapping.","Capture screenshots of the core loop and note whether progress is emotional, behavioral, or purely numeric."
"Lichess AI Coach","https://chromewebstore.google.com/detail/lichess-ai-coach/lokjgfhopfgphjjbfgbpddciboajhjdj","weak_adjacent","2","boundary_or_low","ai_feedback_loop","462","4.6","ai_coaching|progress_feedback|developer_or_learning_coach","AI analysis for Lichess. The fastest way to boost your rating. AI finds your weaknesses and turns mistakes into powerful lessons","AI feedback is common in narrow contexts; Alina needs personal meaning and ritual continuity to avoid becoming a generic coach.","Boundary evidence: AI coaching is crowded in narrow tasks, so generic AI coach positioning is weak.","No immediate manual review unless the category becomes strategically important."
"Made That AI Coach","https://chromewebstore.google.com/detail/made-that-ai-coach/hflhhbajkhcaoidmpgaodgjigjkfpamh","weak_adjacent","2","boundary_or_low","narrow_ai_coaching","38","5","ai_coaching","Enrich your AI prompts with team context and get real-time coaching on how to prompt better.","Keep as boundary evidence showing what is outside the consumer ritual/identity core.","Boundary evidence: AI coaching is crowded in narrow tasks, so generic AI coach positioning is weak.","No immediate manual review unless the category becomes strategically important."
"Mindstone AI Coach","https://chromewebstore.google.com/detail/mindstone-ai-coach/jadnmojgpippfggmljlocloipejjalob","weak_adjacent","2","boundary_or_low","narrow_ai_coaching","3000","4.0","ai_coaching","Bring Mindstone with you where you work. Improve prompts inline: open the panel, get suggestions, replace in one click.","Keep as boundary evidence showing what is outside the consumer ritual/identity core.","Boundary evidence: AI coaching is crowded in narrow tasks, so generic AI coach positioning is weak.","No immediate manual review unless the category becomes strategically important."
"Reply Coach AI","https://chromewebstore.google.com/detail/reply-coach-ai/aodgpgdcbpdgipbplmongbhkopfbpjfh","weak_adjacent","2","boundary_or_low","narrow_ai_coaching","","4.7","ai_coaching","AI communication coach for better replies.","Keep as boundary evidence showing what is outside the consumer ritual/identity core.","Boundary evidence: AI coaching is crowded in narrow tasks, so generic AI coach positioning is weak.","No immediate manual review unless the category becomes strategically important."
"Accountable2You","https://chromewebstore.google.com/detail/accountable2you/efbfdmcbmjkdkhopodcpmajcdbkiljaa","weak_adjacent","2","boundary_or_low","accountability_monitoring_loop","3000","2.2","accountability","This extension monitors all Chrome activity and logs it securely for accountability partners.","Accountability creates commitment, but the consumer version should be self-compassionate and not feel punitive.","Boundary evidence: accountability mechanics are viable but can conflict with calm/wellness framing.","No immediate manual review unless the category becomes strategically important."
"Truple - Screenshot Accountability","https://chromewebstore.google.com/detail/truple-screenshot-account/hmhmicibkhgloidggepahhpkmjojcnmi","weak_adjacent","2","boundary_or_low","accountability_monitoring_loop","583","5","accountability","Truple - Screenshot Accountability","Accountability creates commitment, but the consumer version should be self-compassionate and not feel punitive.","Boundary evidence: accountability mechanics are viable but can conflict with calm/wellness framing.","No immediate manual review unless the category becomes strategically important."
"COACH by Dropzone AI","https://chromewebstore.google.com/detail/coach-by-dropzone-ai/cgihclihdemfnlgblnkebdadfponoigo","out_of_scope_or_b2b","0","boundary_or_low","narrow_ai_coaching","705","4.3","ai_coaching|security_or_workflow","AI-powered guidance for security alert investigations","Keep as boundary evidence showing what is outside the consumer ritual/identity core.","Boundary evidence: AI coaching is crowded in narrow tasks, so generic AI coach positioning is weak.","No immediate manual review unless the category becomes strategically important."
"Spekit — AI Sidekick: Your AI Sales Coach and Assistant","https://chromewebstore.google.com/detail/spekit-%E2%80%94-ai-sidekick-your/nbphjjmibhopfgkkbpoggemjnihnchhk","out_of_scope_or_b2b","0","boundary_or_low","narrow_ai_coaching","60000","4.6","ai_coaching|meeting_or_sales_coach","Your AI sales assistant. Get real-time coaching, content, and deal support — right inside the sales tools you use every day","Keep as boundary evidence showing what is outside the consumer ritual/identity core.","Boundary evidence: AI coaching is crowded in narrow tasks, so generic AI coach positioning is weak.","No immediate manual review unless the category becomes strategically important."
"Hinty - AI Meeting Coach","https://chromewebstore.google.com/detail/hinty-ai-meeting-coach/beebbfnmhhdlhloadoijchlejjohegho","out_of_scope_or_b2b","0","boundary_or_low","narrow_ai_coaching","32","4.8","ai_coaching|meeting_or_sales_coach","Real-time AI suggestions during video meetings (Google Meet, Zoom, Microsoft Teams). Get smart hints and coaching powered by AI.","Keep as boundary evidence showing what is outside the consumer ritual/identity core.","Boundary evidence: AI coaching is crowded in narrow tasks, so generic AI coach positioning is weak.","No immediate manual review unless the category becomes strategically important."
"AI Interview Coach for LeetCode","https://chromewebstore.google.com/detail/ai-interview-coach-for-le/blepnhgpppjlidjcmfnogedclmmbpkpc","out_of_scope_or_b2b","0","boundary_or_low","narrow_ai_coaching","","4.2","ai_coaching|developer_or_learning_coach","AI-powered interview coach that injects a coaching panel into LeetCode problem pages.","Keep as boundary evidence showing what is outside the consumer ritual/identity core.","Boundary evidence: AI coaching is crowded in narrow tasks, so generic AI coach positioning is weak.","No immediate manual review unless the category becomes strategically important."
