niche,query,rank_position,source_title,source_url,snippet,candidate_type,collected_at,extraction_status
"gaming","seed_source","","BCG Video Gaming Report 2026","https://web-assets.bcg.com/b3/fa/fd7443244a48a24fae8299ce0f34/video-gaming-report-2026-nov-2025-edit-02.pdf","Analyst PDF with mobile game monetization, payment-channel, and platform trend evidence.","market_report_candidate","2026-05-31T01:54:18.388Z","seeded"
"gaming","seed_source","","Statista Mobile Games Worldwide","https://www.statista.com/outlook/dmo/digital-media/video-games/mobile-games/worldwide","Market forecast page for worldwide mobile games revenue and users.","market_report_candidate","2026-05-31T01:54:18.389Z","seeded"
"mindfulness","seed_source","","Stratistics MRC Meditation And Mindfulness Apps Market","https://www.strategymrc.com/report/meditation-and-mindfulness-apps-market","Public market report page with 2026 size, 2034 forecast, CAGR, drivers, and key players.","market_report_candidate","2026-05-31T01:54:18.389Z","seeded"
"avatar_identity","seed_source","","Global Market Insights AI Avatars Market","https://www.gminsights.com/industry-analysis/ai-avatars-market","Public market report page with AI avatars market size, forecast, CAGR, drivers, and segmentation.","market_report_candidate","2026-05-31T01:54:18.389Z","seeded"
"coaching","seed_source","","ICF Coaching Futures Report 2026","https://icfcoachingfuturesreport.com/wp-content/uploads/sites/2/2026/01/icf-coaching-futures-report-2026.pdf","Industry PDF on coaching futures, AI, virtual coaching, ethics, and accessibility.","market_report_candidate","2026-05-31T01:54:18.389Z","seeded"
"astrology_esoterics","seed_source","","Research and Markets Astrology App Market Report 2026","https://www.researchandmarkets.com/reports/6090017/astrology-app-market-report","Public market report page for astrology app market statistics, segments, trends, and competitors.","market_report_candidate","2026-05-31T01:54:18.389Z","seeded"
"astrology_esoterics","seed_source","","Global Growth Insights Astrology App Market","https://www.globalgrowthinsights.com/market-reports/astrology-app-market-114903","Public market report page with astrology app market values and growth claims requiring triangulation.","market_report_candidate","2026-05-31T01:54:18.389Z","seeded"
"avatar_identity","seed_source","","WiseGuyReports AI Avatar App Market","https://www.wiseguyreports.com/reports/ai-avatar-app-market","Public report page for AI avatar app market size and CAGR claims requiring verification.","market_report_candidate","2026-05-31T01:54:18.389Z","seeded"
"mindfulness","seed_source","","HTF Market Insights Mindfulness Apps Market","https://www.htfmarketinsights.com/report/4366048-mindfulness-apps-market","Public report page for mindfulness app market CAGR and segmentation.","market_report_candidate","2026-05-31T01:54:18.389Z","seeded"
"coaching","seed_source","","GROW: A Conversational AI Coach","https://arxiv.org/abs/2604.04548","Research paper on a goal-centered well-being coaching system using AI.","product_pattern","2026-05-31T01:54:18.389Z","seeded"
"astrology_esoterics","seed_source","","From Astronomy to Astrology: Testing Zodiac-Based Personality Prediction","https://arxiv.org/abs/2603.29033","Research paper relevant to trust, claims, and scientific risk in astrology positioning.","compliance_risk","2026-05-31T01:54:18.389Z","seeded"
"avatar_identity","seed_source","","The Rise of AI-Generated Anime Avatars","https://arxiv.org/abs/2603.28365","Research paper relevant to AI avatar generation trends, challenges, and opportunities.","product_pattern","2026-05-31T01:54:18.389Z","seeded"
