cluster_id,cluster_type,cluster_label,review_rows,app_count,avg_rating,top_apps,top_archetypes,product_implication
"pain_content_depth_customization","pain","Users want more depth, options, or customization","612","69","3.72","Cozy Mahjong (26); 5 Minute Journal・Daily Diary (24); ZOE Health: AI Meal Tracker (24); stoic. journal & mental health (23); Shepherd: Spiritual Bible BFF (20)","manifestation_tool (257); avatar_identity_coaching (157); gamified_self_improvement (74); astrology_guidance (57)","Depth should be earned after the core loop, especially custom rituals, richer avatar choices, and accessibility options."
"jtbd_daily_anchor","jtbd","Give me a daily anchor I can return to","415","58","4.21","Daily Bible Verse - Biblify (21); 5 Minute Journal・Daily Diary (20); Miracle Morning Routine (20); Shepherd: Spiritual Bible BFF (19); EVOLVE: Transform Your Life (15)","manifestation_tool (158); avatar_identity_coaching (71); gamified_self_improvement (68); faith_devotional_habit (50)","Alina needs one obvious recurring ritual, not a menu of disconnected features."
"jtbd_structure_self_improvement","jtbd","Turn vague self-improvement into concrete actions","371","54","4.24","5 Minute Journal・Daily Diary (28); Day One: Daily Journal & Diary (23); Rosebud: AI Journal & Diary (21); ModernSam: LVL up your life (18); Habit Tracker (18)","manifestation_tool (195); gamified_self_improvement (82); avatar_identity_coaching (42); ai_companion_roleplay (18)","The product should translate identity/guidance into one small completed action per day."
"pain_subscription_value","pain","Subscription or paywall does not feel worth it","367","60","2.51","Yoga International (24); Daily Habit List: Goal Tracker (16); Flow Lab: Growth Mindset Coach (16); OtterLife: AI Health Tracker (15); Daily Burn: Workout Coach (14)","manifestation_tool (142); avatar_identity_coaching (110); gamified_self_improvement (49); astrology_guidance (30)","The free loop must demonstrate value before asking for deeper paid analysis or personalization."
"jtbd_make_growth_visible","jtbd","Show me visible progress so effort feels real","308","61","4.06","Cozy Mahjong (23); Mindvalley: Self Improvement (15); ModernSam: LVL up your life (13); Harem AI - Chat & Talk & Crush (12); Pregnancy Tracker 3D by Sprout (12)","manifestation_tool (120); avatar_identity_coaching (84); gamified_self_improvement (34); astrology_guidance (33)","The avatar/progress object should act as proof of effort, not decoration."
"pain_signup_access_friction","pain","Signup, access, or device friction blocks activation","230","55","2.77","Essence 360 (14); TwinFlame (13); Flow Lab: Growth Mindset Coach (12); Shepherd: Spiritual Bible BFF (9); OtterLife: AI Health Tracker (9)","manifestation_tool (96); avatar_identity_coaching (45); gamified_self_improvement (28); astrology_guidance (28)","Avoid unnecessary phone-number gates and preserve low-friction first-use flow."
"jtbd_belonging_accountability","jtbd","Feel accompanied or accountable","168","51","4.47","Rosebud: AI Journal & Diary (10); Shepherd: Spiritual Bible BFF (7); Kindara: Fertility Tracker (7); ModernSam: LVL up your life (6); Pregnancy Tracker 3D by Sprout (6)","manifestation_tool (59); avatar_identity_coaching (37); astrology_guidance (25); faith_devotional_habit (23)","Companion energy can be useful, but social/community features should not precede the solo daily loop."
"jtbd_fast_emotional_reset","jtbd","Help me calm down or reset quickly","162","45","4.54","Ricky Kalmon (19); Cozy Mahjong (15); Unplug: Meditation (13); MINDTRX: Self Help & Mindset (11); HOLOSYNC® MEDITATION: BRAINWAVE TRAINING FOR RELAXATION, PROSPERITY, LOVE, HEALTH & SUCCESS (9)","manifestation_tool (70); avatar_identity_coaching (38); gamified_self_improvement (30); astrology_guidance (11)","A two-minute reset is a plausible core unit if it produces relief without feeling clinical or generic."
"pain_reliability_breaks_ritual","pain","Bugs break trust and interrupt the ritual","145","43","2.30","TwinFlame (14); Yoga International (11); Flow Lab: Growth Mindset Coach (9); Shepherd: Spiritual Bible BFF (8); Essence 360 (8)","manifestation_tool (69); avatar_identity_coaching (32); astrology_guidance (17); faith_devotional_habit (13)","Reliability is part of the emotional promise; broken streaks, loading failures, or lost rewards are high-risk."
"pain_trust_accuracy_safety","pain","Trust, accuracy, or spiritual safety concerns","105","43","2.35","OtterLife: AI Health Tracker (9); Vida Health (8); LifeWheel Goal Habit Tracker (6); ZOE Health: AI Meal Tracker (6); Pregnancy Tracker 3D by Sprout (5)","manifestation_tool (33); avatar_identity_coaching (30); gamified_self_improvement (19); astrology_guidance (15)","Alina needs careful framing: soft guidance, no deterministic claims, visible limits, and clear safety posture."
"jtbd_feel_seen_personalized","jtbd","Make the guidance feel personally about me","81","20","4.14","TwinFlame (15); Intuitive Life Coaching Oracle (13); Pocket Insight Psychic Reading (9); Guiding Light Oracle Cards (8); Kindara: Fertility Tracker (5)","astrology_guidance (34); tarot_or_oracle_guidance (21); avatar_identity_coaching (16); manifestation_tool (7)","Personalization must be concrete and explainable, especially around birth data, goals, mood, and recent actions."
"pain_unclear_game_loop","pain","The game layer can feel confusing or disconnected","47","28","3.26","ModernSam: LVL up your life (11); Harem AI - Chat & Talk & Crush (3); Pregnancy Tracker 3D by Sprout (3); LunaMate: AI Fanstasy Roleplay (2); OtterLife: AI Health Tracker (2)","manifestation_tool (22); gamified_self_improvement (9); astrology_guidance (8); tarot_or_oracle_guidance (5)","Progression must be causally tied to the action users just completed; story/rewards cannot feel arbitrary."
