provenance_id,layer,source_family_ru,row_count,source_ref_rows,evidence_scope_ru,strongest_use_ru,boundary_ru,main_files,next_action_ru
"PROV_001","artifact_manifest","Локальный манифест артефактов","387","224356","Показывает, какие raw/processed/docs/report/PDF/script файлы существуют локально, сколько в них строк, сколько source refs, и какой короткий hash у файла.","Защищает воспроизводимость пакета и помогает быстро увидеть, что после генерации нет missing artifacts.","Manifest доказывает наличие и форму файлов, но не доказывает, что рынок купит продукт или что гипотеза валидирована.","data_processed/evidence_artifact_manifest.csv;docs/decision/evidence-package-manifest-v1.md","Перегенерировать после каждого нового слоя или ручной validation tranche."
"PROV_002","raw_and_processed_source_refs","Raw/processed source-reference слой","67","224356","14 raw artifacts and 77 processed artifacts carry non-empty source-like references.","Позволяет проследить competitor universe, reviews, forums, paywall evidence, market claims и audience rows обратно к source_url/app ids/source files.","Source refs показывают provenance, но не заменяют ручную проверку качества страницы, скриншота, onboarding flow или participant quote.","data_processed/audience_signal_matrix.csv;data_processed/community_referral_signal_rows.csv;data_processed/community_referral_summary.csv;data_processed/competitor_feature_matrix.csv;data_processed/competitor_revenue_proxy_review.csv;data_processed/cross_source_coverage_matrix.csv;data_processed/cross_source_market_saturation_matrix.csv;data_processed/cross_source_universe_dedup.csv;data_processed/cross_source_universe_raw_parts/part_001.csv;data_processed/cross_source_universe_raw_parts/part_002.csv;data_processed/cross_source_universe_raw_parts/part_003.csv;data_processed/cross_source_universe_raw_parts/part_004.csv","Использовать source_ref_columns при ручном audit каждого сильного claim."
"PROV_003","market_source_registry","Market source registry для TAM/SAM/SOM","12","12","Содержит market source id, publisher, URL, source type, claim summary, confidence и notes для рыночных оценок.","Поддерживает TAM/SAM/SOM как range-based модель с явным confidence, а не как одну твердую цифру.","Часть market report pages paywalled или broad-category; использовать как диапазоны и proxy, не как прогноз выручки Alina.","data_processed/market_source_registry.csv;data_processed/market_source_confidence_review.csv;docs/market/market-source-confidence-review-v1.md","Расширять только source-native/targeted sources и confidence-tag каждый новый claim."
"PROV_004","source_discovery","Research source discovery","12","12","Сохраняет seed/source discovery candidates, queries, snippets, URL и extraction status.","Показывает, откуда начинались market report и source expansion candidates.","Discovery row не равен подтвержденному источнику; claim можно усиливать только после extraction/confidence review.","data_raw/research_source_discovery.csv;data_processed/source_expansion_backlog.csv;docs/competitive/source-expansion-backlog-v1.md","Не цитировать discovery snippet как финальный источник без отдельного registry/confidence review."
"SRC_SRC-MKT-0001","market_source","gaming / market_forecast_page","1","1","Search result reports 2026 worldwide mobile games revenue projection of USD 134.22B and 2026-2030 CAGR of 5.13%. Page requires follow-up because direct open returned session/error content.","Keep as context only; do not anchor TAM/SAM without stronger source.","Use as cross-check, not sole source.","https://www.statista.com/outlook/dmo/digital-media/video-games/mobile-games/worldwide","Keep as context only; do not anchor TAM/SAM without stronger source."
"SRC_SRC-MKT-0002","market_source","gaming / analyst_pdf","1","1","BCG report includes mobile game IAP market breakdown, webstore/payment-channel shift, and +4% CAGR framing for mobile game IAP.","Keep outside direct TAM; use for monetization/progression benchmark only.","Useful for monetization and distribution, not full Alina direct TAM.","https://web-assets.bcg.com/b3/fa/fd7443244a48a24fae8299ce0f34/video-gaming-report-2026-nov-2025-edit-02.pdf","Keep outside direct TAM; use for monetization/progression benchmark only."
"SRC_SRC-MKT-0003","market_source","mindfulness / market_report_page","1","1","Public page states market is USD 1.68B in 2026 and expected to reach USD 4.62B by 2034 at 13.4% CAGR.","Retain as model input; add competitor pricing/revenue proxy review before final claim.","Good direct category anchor; methodology paywalled.","https://www.strategymrc.com/report/meditation-and-mindfulness-apps-market","Retain as model input; add competitor pricing/revenue proxy review before final claim."
"SRC_SRC-MKT-0004","market_source","avatar_identity / market_report_page","1","1","Public page states AI avatars market was USD 6.3B in 2025, USD 8.4B in 2026, and forecast USD 93.4B by 2035 at 30.6% CAGR.","Use as low/base/high range input only; require triangulation before final PDF claim.","Broad enterprise+consumer market; must discount for consumer self-improvement/avatar app use case.","https://www.gminsights.com/industry-analysis/ai-avatars-market","Use as low/base/high range input only; require triangulation before final PDF claim."
"SRC_SRC-MKT-0005","market_source","coaching / industry_pdf","1","1","Report states technology is transforming coaching delivery and AI is moving from tool to co-pilot; online and virtual coaching are dominant delivery formats per cited ICF study.","Separate enterprise/career coaching from consumer daily ritual coaching before final sizing.","Trend anchor; needs separate TAM/revenue source.","https://icfcoachingfuturesreport.com/wp-content/uploads/sites/2/2026/01/icf-coaching-futures-report-2026.pdf","Separate enterprise/career coaching from consumer daily ritual coaching before final sizing."
"SRC_SRC-MKT-0006","market_source","astrology_esoterics / market_report_page","1","1","Public summary says astrology app market is expected to grow rapidly and includes global market size, regional shares, competitors, segments, trends, and opportunities.","Retain as model input; add competitor pricing/revenue proxy review before final claim.","Need direct values and cross-checks from multiple astrology sources.","https://www.researchandmarkets.com/reports/6090017/astrology-app-market-report","Retain as model input; add competitor pricing/revenue proxy review before final claim."
"SRC_SRC-MKT-0007","market_source","astrology_esoterics / market_report_page","1","1","Public page/search result states global astrology app market generated USD 16.07B in 2026 and is forecast to reach USD 27.15B by 2035 at 6% CAGR.","Retain as model input; add competitor pricing/revenue proxy review before final claim.","High estimate anchor; likely broad definition.","https://www.econmarketresearch.com/industry-report/astrology-app-market/","Retain as model input; add competitor pricing/revenue proxy review before final claim."
