dossier_rank,app_name,seller_name,archetype,competitive_verdict_prefill,validation_priority_score,risk_read_ru,public_listing_verdict,hidden_clone_risk_public_read,action_to_avatar_causality_public_read,revenue_proxy_band,observed_iap_price_range,top_review_signals,public_evidence_excerpt,required_slots_count,completed_slots_count,screenshot_slot_plan_ru,required_filename_stubs,decisive_questions_ru,pass_condition_ru,downgrade_or_kill_condition_ru,claim_update_after_walkthrough_ru,app_store_url,output_target,operator_note_ru
"1","Shepherd: Spiritual Bible BFF","Second Round Inc.","faith_devotional_habit","direct_reference_competitor","162.8","красный риск: возможный скрытый прямой клон полной петли","public_listing_supports_strict_loop_claim","high_hidden_clone_risk_requires_app_walkthrough","visible_in_public_copy","strong_bottom_up_money_proxy","$4.99-$59.99","content_depth_request:20|loves_daily_loop:10|quality_bug_complaint:8|loves_emotional_support:7|loves_avatar_progress:6","Bible study finally feels joyful. Shepherd is a gamified daily devotional and habit tracker for Christians craving consistency – grow closer to God while growing a cute lamb avatar. THREE DAILY WINS - Read a guided Bible passage - Pray with a focused prompt - Reflect in sixty seconds Finish all three and your lamb revives, gains XP, and levels up. Skip days","5","0","app_store_listing_or_public_positioning: What promise, audience, and daily loop does the public listing imply? -> output/manual_validation/01-shepherd-spiritual-bible-bff-app_store_listing_or_public_positioning.png | onboarding_first_value_screen: Does onboarding show one coherent loop or separate feature shelves? -> output/manual_validation/01-shepherd-spiritual-bible-bff-onboarding_first_value_screen.png | first_daily_action_or_task_screen: Is there a concrete action that can be completed in under two minutes? -> output/manual_validation/01-shepherd-spiritual-bible-bff-first_daily_action_or_task_screen.png | progress_avatar_identity_feedback_screen: Does completion visibly change avatar, identity, or progress feedback? -> output/manual_validation/01-shepherd-spiritual-bible-bff-progress_avatar_identity_feedback_screen.png | first_paywall_or_iap_terms_screen: Is the first meaningful value before or after a subscription/trial wall? -> output/manual_validation/01-shepherd-spiritual-bible-bff-first_paywall_or_iap_terms_screen.png","output/manual_validation/01-shepherd-spiritual-bible-bff-app_store_listing_or_public_positioning.png|output/manual_validation/01-shepherd-spiritual-bible-bff-onboarding_first_value_screen.png|output/manual_validation/01-shepherd-spiritual-bible-bff-first_daily_action_or_task_screen.png|output/manual_validation/01-shepherd-spiritual-bible-bff-progress_avatar_identity_feedback_screen.png|output/manual_validation/01-shepherd-spiritual-bible-bff-first_paywall_or_iap_terms_screen.png","Does onboarding show one coherent daily loop or separate feature shelves?|Is there a personal meaning prompt before the action?|Is there one concrete action that can be completed in under two minutes?|Does completion causally change avatar/identity/progress feedback?|Is paywall before or after first meaningful value?|Would this invalidate Alina whitespace by being a hidden direct clone?","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","если walkthrough подтверждает полный цикл, H3 надо ослабить и явно признать direct clone risk; если нет, Shepherd остается важным reference competitor, но whitespace survives narrower.","https://apps.apple.com/us/app/shepherd-spiritual-bible-bff/id6745461941?uo=4","data_processed/manual_competitor_inspection_packet.csv;data_processed/manual_walkthrough_capture_sheet.csv;data_processed/hypothesis_decision_matrix.csv","Сначала сохранить скриншоты по filename stubs, затем заполнить observed_answer/directness_label/action_to_avatar_causality_label/paywall_boundary_label и только после этого обновлять H1/H3/H2."
"2","Zing AI: Home & Gym Workouts","Zing Coach Inc.","avatar_identity_coaching","high_priority_close_substitute","112","средний риск: adjacent loop может оказаться близким после onboarding","public_listing_supports_adjacent_loop_not_causality","medium_adjacency_risk","inferred_from_public_copy_not_causal","strong_bottom_up_money_proxy","$18.99-$59.99","content_depth_request:16|loves_daily_loop:8|pricing_complaint:8|loves_avatar_progress:6|loves_emotional_support:4","Zing is the ultimate AI Coach, revolutionizing fitness with AI-powered, personalized workouts designed by top health and fitness experts. Whether you're a beginner or an advanced athlete, Zing AI Coach adapts to your needs, offering real-time insights and support for a transformative fitness journey. Advanced AI Coach The AI Coach engages proactively, sugges","5","0","app_store_listing_or_public_positioning: What promise, audience, and daily loop does the public listing imply? -> output/manual_validation/02-zing-ai-home-gym-workouts-app_store_listing_or_public_positioning.png | onboarding_first_value_screen: Does onboarding show one coherent loop or separate feature shelves? -> output/manual_validation/02-zing-ai-home-gym-workouts-onboarding_first_value_screen.png | first_daily_action_or_task_screen: Is there a concrete action that can be completed in under two minutes? -> output/manual_validation/02-zing-ai-home-gym-workouts-first_daily_action_or_task_screen.png | progress_avatar_identity_feedback_screen: Does completion visibly change avatar, identity, or progress feedback? -> output/manual_validation/02-zing-ai-home-gym-workouts-progress_avatar_identity_feedback_screen.png | first_paywall_or_iap_terms_screen: Is the first meaningful value before or after a subscription/trial wall? -> output/manual_validation/02-zing-ai-home-gym-workouts-first_paywall_or_iap_terms_screen.png","output/manual_validation/02-zing-ai-home-gym-workouts-app_store_listing_or_public_positioning.png|output/manual_validation/02-zing-ai-home-gym-workouts-onboarding_first_value_screen.png|output/manual_validation/02-zing-ai-home-gym-workouts-first_daily_action_or_task_screen.png|output/manual_validation/02-zing-ai-home-gym-workouts-progress_avatar_identity_feedback_screen.png|output/manual_validation/02-zing-ai-home-gym-workouts-first_paywall_or_iap_terms_screen.png","Does onboarding show one coherent daily loop or separate feature shelves?|Is there a personal meaning prompt before the action?|Is there one concrete action that can be completed in under two minutes?|Does completion causally change avatar/identity/progress feedback?|Is paywall before or after first meaningful value?|Would this invalidate Alina whitespace by being a hidden direct clone?","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","если onboarding не показывает causality, использовать как adjacent benchmark; если неожиданно есть action -> identity/progress, поднять в hidden-clone review.","https://apps.apple.com/us/app/zing-ai-home-gym-workouts/id1552207792?uo=4","data_processed/manual_competitor_inspection_packet.csv;data_processed/manual_walkthrough_capture_sheet.csv;data_processed/hypothesis_decision_matrix.csv","Сначала сохранить скриншоты по filename stubs, затем заполнить observed_answer/directness_label/action_to_avatar_causality_label/paywall_boundary_label и только после этого обновлять H1/H3/H2."
"3","Miracle Morning Routine","Hal Elrod","manifestation_tool","high_priority_close_substitute","111.4","низкий публичный риск: листинг поддерживает adjacency, но не доказывает full-loop clone","public_listing_supports_adjacent_loop_not_causality","low_public_listing_directness_risk","not_visible_public_listing","strong_bottom_up_money_proxy","$12.99-$99.99","loves_daily_loop:17|content_depth_request:13|loves_avatar_progress:9|loves_emotional_support:6|pricing_complaint:5","The Miracle Morning Routine App Transform your mornings. Transform your life. Based on a Global Bestseller The Miracle Morning App is based on The Miracle Morning by Hal Elrod, a global bestseller with over 3 million copies sold worldwide. This Miracle Morning App helps you start each day with intention, focus, and clarity so you can become the person capabl","5","0","app_store_listing_or_public_positioning: What promise, audience, and daily loop does the public listing imply? -> output/manual_validation/03-miracle-morning-routine-app_store_listing_or_public_positioning.png | onboarding_first_value_screen: Does onboarding show one coherent loop or separate feature shelves? -> output/manual_validation/03-miracle-morning-routine-onboarding_first_value_screen.png | first_daily_action_or_task_screen: Is there a concrete action that can be completed in under two minutes? -> output/manual_validation/03-miracle-morning-routine-first_daily_action_or_task_screen.png | progress_avatar_identity_feedback_screen: Does completion visibly change avatar, identity, or progress feedback? -> output/manual_validation/03-miracle-morning-routine-progress_avatar_identity_feedback_screen.png | first_paywall_or_iap_terms_screen: Is the first meaningful value before or after a subscription/trial wall? -> output/manual_validation/03-miracle-morning-routine-first_paywall_or_iap_terms_screen.png","output/manual_validation/03-miracle-morning-routine-app_store_listing_or_public_positioning.png|output/manual_validation/03-miracle-morning-routine-onboarding_first_value_screen.png|output/manual_validation/03-miracle-morning-routine-first_daily_action_or_task_screen.png|output/manual_validation/03-miracle-morning-routine-progress_avatar_identity_feedback_screen.png|output/manual_validation/03-miracle-morning-routine-first_paywall_or_iap_terms_screen.png","Does onboarding show one coherent daily loop or separate feature shelves?|Is there a personal meaning prompt before the action?|Is there one concrete action that can be completed in under two minutes?|Does completion causally change avatar/identity/progress feedback?|Is paywall before or after first meaningful value?|Would this invalidate Alina whitespace by being a hidden direct clone?","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","если onboarding не показывает causality, использовать как adjacent benchmark; если неожиданно есть action -> identity/progress, поднять в hidden-clone review.","https://apps.apple.com/us/app/miracle-morning-routine/id1581511740?uo=4","data_processed/manual_competitor_inspection_packet.csv;data_processed/manual_walkthrough_capture_sheet.csv;data_processed/hypothesis_decision_matrix.csv","Сначала сохранить скриншоты по filename stubs, затем заполнить observed_answer/directness_label/action_to_avatar_causality_label/paywall_boundary_label и только после этого обновлять H1/H3/H2."
"4","EVOLVE: Transform Your Life","Matthew Castriotta","manifestation_tool","high_priority_close_substitute","106","желтый риск: публичный текст похож на строгую петлю, но причинность надо увидеть в приложении","public_listing_supports_strict_loop_claim","medium_adjacency_risk","decorative_or_progress_only_possible","strong_bottom_up_money_proxy","$9.99-$99.99","loves_daily_loop:13|pricing_complaint:11|content_depth_request:10|loves_avatar_progress:8|churn_signal:6","Transform your daily routine into a rewarding journey. With Evolve, every habit you complete makes you stronger. Stop letting your goals slip away. Evolve turns self-improvement into an adventure where progress is visible, momentum builds naturally, and consistency becomes second nature. Track what matters to you, complete your habits, and watch your rank cl","5","0","app_store_listing_or_public_positioning: What promise, audience, and daily loop does the public listing imply? -> output/manual_validation/04-evolve-transform-your-life-app_store_listing_or_public_positioning.png | onboarding_first_value_screen: Does onboarding show one coherent loop or separate feature shelves? -> output/manual_validation/04-evolve-transform-your-life-onboarding_first_value_screen.png | first_daily_action_or_task_screen: Is there a concrete action that can be completed in under two minutes? -> output/manual_validation/04-evolve-transform-your-life-first_daily_action_or_task_screen.png | progress_avatar_identity_feedback_screen: Does completion visibly change avatar, identity, or progress feedback? -> output/manual_validation/04-evolve-transform-your-life-progress_avatar_identity_feedback_screen.png | first_paywall_or_iap_terms_screen: Is the first meaningful value before or after a subscription/trial wall? -> output/manual_validation/04-evolve-transform-your-life-first_paywall_or_iap_terms_screen.png","output/manual_validation/04-evolve-transform-your-life-app_store_listing_or_public_positioning.png|output/manual_validation/04-evolve-transform-your-life-onboarding_first_value_screen.png|output/manual_validation/04-evolve-transform-your-life-first_daily_action_or_task_screen.png|output/manual_validation/04-evolve-transform-your-life-progress_avatar_identity_feedback_screen.png|output/manual_validation/04-evolve-transform-your-life-first_paywall_or_iap_terms_screen.png","Does onboarding show one coherent daily loop or separate feature shelves?|Is there a personal meaning prompt before the action?|Is there one concrete action that can be completed in under two minutes?|Does completion causally change avatar/identity/progress feedback?|Is paywall before or after first meaningful value?|Would this invalidate Alina whitespace by being a hidden direct clone?","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","если causality видна в first session, H1/H3 получают сильный competitor boundary; если нет, downgrade public-listing claim до adjacent/progression only.","https://apps.apple.com/us/app/evolve-transform-your-life/id6754897547?uo=4","data_processed/manual_competitor_inspection_packet.csv;data_processed/manual_walkthrough_capture_sheet.csv;data_processed/hypothesis_decision_matrix.csv","Сначала сохранить скриншоты по filename stubs, затем заполнить observed_answer/directness_label/action_to_avatar_causality_label/paywall_boundary_label и только после этого обновлять H1/H3/H2."
"5","Daily Yoga: Yoga for Fitness®","Xi'an Pengxiang Chuangda Technology Co., Ltd","avatar_identity_coaching","high_priority_close_substitute","99.2","низкий публичный риск: листинг поддерживает adjacency, но не доказывает full-loop clone","public_listing_supports_adjacent_loop_not_causality","low_public_listing_directness_risk","not_visible_public_listing","strong_bottom_up_money_proxy","$9.99-$69.99","loves_avatar_progress:6|loves_daily_loop:6|content_depth_request:6|loves_emotional_support:5|pricing_complaint:5","**#1 yoga app of 2026**——Apple **6000 million best choice**——Subscribers **2019-2026 Best Yoga App**—Healthline No.1 Yoga App Since 2012, loved by 60M+ people! Daily Yoga - ALL IN ONE YOGA APP -classic yoga -chair yoga -wall pilates -somatic workout -and more Would you like to find both a yoga fitness pose video and meditations in one app? Daily Yoga is the","5","0","app_store_listing_or_public_positioning: What promise, audience, and daily loop does the public listing imply? -> output/manual_validation/05-daily-yoga-yoga-for-fitness-app_store_listing_or_public_positioning.png | onboarding_first_value_screen: Does onboarding show one coherent loop or separate feature shelves? -> output/manual_validation/05-daily-yoga-yoga-for-fitness-onboarding_first_value_screen.png | first_daily_action_or_task_screen: Is there a concrete action that can be completed in under two minutes? -> output/manual_validation/05-daily-yoga-yoga-for-fitness-first_daily_action_or_task_screen.png | progress_avatar_identity_feedback_screen: Does completion visibly change avatar, identity, or progress feedback? -> output/manual_validation/05-daily-yoga-yoga-for-fitness-progress_avatar_identity_feedback_screen.png | first_paywall_or_iap_terms_screen: Is the first meaningful value before or after a subscription/trial wall? -> output/manual_validation/05-daily-yoga-yoga-for-fitness-first_paywall_or_iap_terms_screen.png","output/manual_validation/05-daily-yoga-yoga-for-fitness-app_store_listing_or_public_positioning.png|output/manual_validation/05-daily-yoga-yoga-for-fitness-onboarding_first_value_screen.png|output/manual_validation/05-daily-yoga-yoga-for-fitness-first_daily_action_or_task_screen.png|output/manual_validation/05-daily-yoga-yoga-for-fitness-progress_avatar_identity_feedback_screen.png|output/manual_validation/05-daily-yoga-yoga-for-fitness-first_paywall_or_iap_terms_screen.png","Does onboarding show one coherent daily loop or separate feature shelves?|Is there a personal meaning prompt before the action?|Is there one concrete action that can be completed in under two minutes?|Does completion causally change avatar/identity/progress feedback?|Is paywall before or after first meaningful value?|Would this invalidate Alina whitespace by being a hidden direct clone?","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","если onboarding не показывает causality, использовать как adjacent benchmark; если неожиданно есть action -> identity/progress, поднять в hidden-clone review.","https://apps.apple.com/us/app/daily-yoga-yoga-for-fitness/id545849922?uo=4","data_processed/manual_competitor_inspection_packet.csv;data_processed/manual_walkthrough_capture_sheet.csv;data_processed/hypothesis_decision_matrix.csv","Сначала сохранить скриншоты по filename stubs, затем заполнить observed_answer/directness_label/action_to_avatar_causality_label/paywall_boundary_label и только после этого обновлять H1/H3/H2."
"6","Daily Burn: Workout Coach","Daily Burn, Inc","avatar_identity_coaching","high_priority_close_substitute","98","желтый риск: публичный текст похож на строгую петлю, но причинность надо увидеть в приложении","public_listing_supports_strict_loop_claim","medium_adjacency_risk","decorative_or_progress_only_possible","strong_bottom_up_money_proxy","$9.99-$149.99","loves_daily_loop:16|content_depth_request:15|pricing_complaint:14|loves_avatar_progress:6|churn_signal:6","Daily Burn is the at-home workout app with Daily Burn Coaching—so you always know what to do next. DAILY BURN COACHING (1:1 SUPPORT) Get more than workouts. Get guidance. · A personalized plan built around your goals, fitness level, and preferences · Message your coach in-app for real-time support, accountability, and expert advice · Share progress and get f","5","0","app_store_listing_or_public_positioning: What promise, audience, and daily loop does the public listing imply? -> output/manual_validation/06-daily-burn-workout-coach-app_store_listing_or_public_positioning.png | onboarding_first_value_screen: Does onboarding show one coherent loop or separate feature shelves? -> output/manual_validation/06-daily-burn-workout-coach-onboarding_first_value_screen.png | first_daily_action_or_task_screen: Is there a concrete action that can be completed in under two minutes? -> output/manual_validation/06-daily-burn-workout-coach-first_daily_action_or_task_screen.png | progress_avatar_identity_feedback_screen: Does completion visibly change avatar, identity, or progress feedback? -> output/manual_validation/06-daily-burn-workout-coach-progress_avatar_identity_feedback_screen.png | first_paywall_or_iap_terms_screen: Is the first meaningful value before or after a subscription/trial wall? -> output/manual_validation/06-daily-burn-workout-coach-first_paywall_or_iap_terms_screen.png","output/manual_validation/06-daily-burn-workout-coach-app_store_listing_or_public_positioning.png|output/manual_validation/06-daily-burn-workout-coach-onboarding_first_value_screen.png|output/manual_validation/06-daily-burn-workout-coach-first_daily_action_or_task_screen.png|output/manual_validation/06-daily-burn-workout-coach-progress_avatar_identity_feedback_screen.png|output/manual_validation/06-daily-burn-workout-coach-first_paywall_or_iap_terms_screen.png","Does onboarding show one coherent daily loop or separate feature shelves?|Is there a personal meaning prompt before the action?|Is there one concrete action that can be completed in under two minutes?|Does completion causally change avatar/identity/progress feedback?|Is paywall before or after first meaningful value?|Would this invalidate Alina whitespace by being a hidden direct clone?","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","если causality видна в first session, H1/H3 получают сильный competitor boundary; если нет, downgrade public-listing claim до adjacent/progression only.","https://apps.apple.com/us/app/daily-burn-workout-coach/id472322122?uo=4","data_processed/manual_competitor_inspection_packet.csv;data_processed/manual_walkthrough_capture_sheet.csv;data_processed/hypothesis_decision_matrix.csv","Сначала сохранить скриншоты по filename stubs, затем заполнить observed_answer/directness_label/action_to_avatar_causality_label/paywall_boundary_label и только после этого обновлять H1/H3/H2."
"7","Myla : Manifest & Vision Board","Succeed Software LLC","manifestation_tool","high_priority_close_substitute","97.6","средний риск: adjacent loop может оказаться близким после onboarding","public_listing_supports_adjacent_loop_not_causality","medium_adjacency_risk","inferred_from_public_copy_not_causal","medium_bottom_up_money_proxy","$0.00-$42.99","loves_daily_loop:15|content_depth_request:12|pricing_complaint:8|loves_emotional_support:8|churn_signal:6","A quiet daily practice for the life you’re becoming. MYLA brings together manifestation, vision boards, affirmations, the 369 method, meditation, and Solfeggio frequencies into one calm ritual you can return to every day. Most self-growth apps feel loud, busy, or generic. MYLA is different. It feels like a private journal for your future self — soft cream pa","5","0","app_store_listing_or_public_positioning: What promise, audience, and daily loop does the public listing imply? -> output/manual_validation/07-myla-manifest-vision-board-app_store_listing_or_public_positioning.png | onboarding_first_value_screen: Does onboarding show one coherent loop or separate feature shelves? -> output/manual_validation/07-myla-manifest-vision-board-onboarding_first_value_screen.png | first_daily_action_or_task_screen: Is there a concrete action that can be completed in under two minutes? -> output/manual_validation/07-myla-manifest-vision-board-first_daily_action_or_task_screen.png | progress_avatar_identity_feedback_screen: Does completion visibly change avatar, identity, or progress feedback? -> output/manual_validation/07-myla-manifest-vision-board-progress_avatar_identity_feedback_screen.png | first_paywall_or_iap_terms_screen: Is the first meaningful value before or after a subscription/trial wall? -> output/manual_validation/07-myla-manifest-vision-board-first_paywall_or_iap_terms_screen.png","output/manual_validation/07-myla-manifest-vision-board-app_store_listing_or_public_positioning.png|output/manual_validation/07-myla-manifest-vision-board-onboarding_first_value_screen.png|output/manual_validation/07-myla-manifest-vision-board-first_daily_action_or_task_screen.png|output/manual_validation/07-myla-manifest-vision-board-progress_avatar_identity_feedback_screen.png|output/manual_validation/07-myla-manifest-vision-board-first_paywall_or_iap_terms_screen.png","Does onboarding show one coherent daily loop or separate feature shelves?|Is there a personal meaning prompt before the action?|Is there one concrete action that can be completed in under two minutes?|Does completion causally change avatar/identity/progress feedback?|Is paywall before or after first meaningful value?|Would this invalidate Alina whitespace by being a hidden direct clone?","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","если onboarding не показывает causality, использовать как adjacent benchmark; если неожиданно есть action -> identity/progress, поднять в hidden-clone review.","https://apps.apple.com/us/app/myla-manifest-vision-board/id1638650650?uo=4","data_processed/manual_competitor_inspection_packet.csv;data_processed/manual_walkthrough_capture_sheet.csv;data_processed/hypothesis_decision_matrix.csv","Сначала сохранить скриншоты по filename stubs, затем заполнить observed_answer/directness_label/action_to_avatar_causality_label/paywall_boundary_label и только после этого обновлять H1/H3/H2."
"8","Rosebud: AI Journal & Diary","Just Imagine, inc.","manifestation_tool","high_priority_close_substitute","97","средний риск: adjacent loop может оказаться близким после onboarding","public_listing_supports_adjacent_loop_not_causality","medium_adjacency_risk","decorative_or_progress_only_possible","medium_bottom_up_money_proxy","$11.00-$107.99","content_depth_request:17|loves_emotional_support:13|pricing_complaint:9|loves_avatar_progress:7|loves_daily_loop:4","Rosebud is your personal AI-powered self care companion. Rosebud is a therapist-recommended journaling and self-reflection tool designed to support your personal growth and emotional wellness. Rosebud is a diary that evolves with you, learning from your entries and providing personalized prompts, feedback, and insights tailored for your growth. THE BEST DAIL","5","0","app_store_listing_or_public_positioning: What promise, audience, and daily loop does the public listing imply? -> output/manual_validation/08-rosebud-ai-journal-diary-app_store_listing_or_public_positioning.png | onboarding_first_value_screen: Does onboarding show one coherent loop or separate feature shelves? -> output/manual_validation/08-rosebud-ai-journal-diary-onboarding_first_value_screen.png | first_daily_action_or_task_screen: Is there a concrete action that can be completed in under two minutes? -> output/manual_validation/08-rosebud-ai-journal-diary-first_daily_action_or_task_screen.png | progress_avatar_identity_feedback_screen: Does completion visibly change avatar, identity, or progress feedback? -> output/manual_validation/08-rosebud-ai-journal-diary-progress_avatar_identity_feedback_screen.png | first_paywall_or_iap_terms_screen: Is the first meaningful value before or after a subscription/trial wall? -> output/manual_validation/08-rosebud-ai-journal-diary-first_paywall_or_iap_terms_screen.png","output/manual_validation/08-rosebud-ai-journal-diary-app_store_listing_or_public_positioning.png|output/manual_validation/08-rosebud-ai-journal-diary-onboarding_first_value_screen.png|output/manual_validation/08-rosebud-ai-journal-diary-first_daily_action_or_task_screen.png|output/manual_validation/08-rosebud-ai-journal-diary-progress_avatar_identity_feedback_screen.png|output/manual_validation/08-rosebud-ai-journal-diary-first_paywall_or_iap_terms_screen.png","Does onboarding show one coherent daily loop or separate feature shelves?|Is there a personal meaning prompt before the action?|Is there one concrete action that can be completed in under two minutes?|Does completion causally change avatar/identity/progress feedback?|Is paywall before or after first meaningful value?|Would this invalidate Alina whitespace by being a hidden direct clone?","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","если onboarding не показывает causality, использовать как adjacent benchmark; если неожиданно есть action -> identity/progress, поднять в hidden-clone review.","https://apps.apple.com/us/app/rosebud-ai-journal-diary/id6451135127?uo=4","data_processed/manual_competitor_inspection_packet.csv;data_processed/manual_walkthrough_capture_sheet.csv;data_processed/hypothesis_decision_matrix.csv","Сначала сохранить скриншоты по filename stubs, затем заполнить observed_answer/directness_label/action_to_avatar_causality_label/paywall_boundary_label и только после этого обновлять H1/H3/H2."
"9","Habit Tracker : Haby","App Forgeron LLC","manifestation_tool","high_priority_close_substitute","95.8","средний риск: adjacent loop может оказаться близким после onboarding","public_listing_supports_adjacent_loop_not_causality","medium_adjacency_risk","decorative_or_progress_only_possible","medium_bottom_up_money_proxy","$0.00-$89.99","loves_daily_loop:15|content_depth_request:10|pricing_complaint:9|loves_avatar_progress:4|quality_bug_complaint:2","Transform Your Life with Science-Backed Habit Building Master your habits using proven behavioral science techniques. Whether you're building positive routines or breaking unwanted patterns, our intelligent habit tracker adapts to your unique journey. Premium Features: Smart & Scientific • Science-backed suggestions help you build lasting habits • Intelligen","5","0","app_store_listing_or_public_positioning: What promise, audience, and daily loop does the public listing imply? -> output/manual_validation/09-habit-tracker-haby-app_store_listing_or_public_positioning.png | onboarding_first_value_screen: Does onboarding show one coherent loop or separate feature shelves? -> output/manual_validation/09-habit-tracker-haby-onboarding_first_value_screen.png | first_daily_action_or_task_screen: Is there a concrete action that can be completed in under two minutes? -> output/manual_validation/09-habit-tracker-haby-first_daily_action_or_task_screen.png | progress_avatar_identity_feedback_screen: Does completion visibly change avatar, identity, or progress feedback? -> output/manual_validation/09-habit-tracker-haby-progress_avatar_identity_feedback_screen.png | first_paywall_or_iap_terms_screen: Is the first meaningful value before or after a subscription/trial wall? -> output/manual_validation/09-habit-tracker-haby-first_paywall_or_iap_terms_screen.png","output/manual_validation/09-habit-tracker-haby-app_store_listing_or_public_positioning.png|output/manual_validation/09-habit-tracker-haby-onboarding_first_value_screen.png|output/manual_validation/09-habit-tracker-haby-first_daily_action_or_task_screen.png|output/manual_validation/09-habit-tracker-haby-progress_avatar_identity_feedback_screen.png|output/manual_validation/09-habit-tracker-haby-first_paywall_or_iap_terms_screen.png","Does onboarding show one coherent daily loop or separate feature shelves?|Is there a personal meaning prompt before the action?|Is there one concrete action that can be completed in under two minutes?|Does completion causally change avatar/identity/progress feedback?|Is paywall before or after first meaningful value?|Would this invalidate Alina whitespace by being a hidden direct clone?","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","если onboarding не показывает causality, использовать как adjacent benchmark; если неожиданно есть action -> identity/progress, поднять в hidden-clone review.","https://apps.apple.com/us/app/habit-tracker-haby/id6739170801?uo=4","data_processed/manual_competitor_inspection_packet.csv;data_processed/manual_walkthrough_capture_sheet.csv;data_processed/hypothesis_decision_matrix.csv","Сначала сохранить скриншоты по filename stubs, затем заполнить observed_answer/directness_label/action_to_avatar_causality_label/paywall_boundary_label и только после этого обновлять H1/H3/H2."
"10","Goddess・Women's Wellness Coach","GDS EGITIM DANISMANLIK VE TEKNOLOJI ANONIM SIRKETI","manifestation_tool","high_priority_close_substitute","95.8","низкий публичный риск: листинг поддерживает adjacency, но не доказывает full-loop clone","public_listing_supports_adjacent_loop_not_causality","low_public_listing_directness_risk","not_visible_public_listing","medium_bottom_up_money_proxy","$6.99-$54.90","content_depth_request:12|pricing_complaint:10|loves_emotional_support:9|loves_avatar_progress:7|churn_signal:4","Transform your life and take care your well-being with the help of Goddess - the ultimate science-backed app that empowers you to start your spiritual and mental health journey. Elevate your daily self care routines, healing with meditation, yoga, and breathwork, and many more well-being practices for women's health. Embark on a sacred self love and empowerm","5","0","app_store_listing_or_public_positioning: What promise, audience, and daily loop does the public listing imply? -> output/manual_validation/10-goddess-women-s-wellness-coach-app_store_listing_or_public_positioning.png | onboarding_first_value_screen: Does onboarding show one coherent loop or separate feature shelves? -> output/manual_validation/10-goddess-women-s-wellness-coach-onboarding_first_value_screen.png | first_daily_action_or_task_screen: Is there a concrete action that can be completed in under two minutes? -> output/manual_validation/10-goddess-women-s-wellness-coach-first_daily_action_or_task_screen.png | progress_avatar_identity_feedback_screen: Does completion visibly change avatar, identity, or progress feedback? -> output/manual_validation/10-goddess-women-s-wellness-coach-progress_avatar_identity_feedback_screen.png | first_paywall_or_iap_terms_screen: Is the first meaningful value before or after a subscription/trial wall? -> output/manual_validation/10-goddess-women-s-wellness-coach-first_paywall_or_iap_terms_screen.png","output/manual_validation/10-goddess-women-s-wellness-coach-app_store_listing_or_public_positioning.png|output/manual_validation/10-goddess-women-s-wellness-coach-onboarding_first_value_screen.png|output/manual_validation/10-goddess-women-s-wellness-coach-first_daily_action_or_task_screen.png|output/manual_validation/10-goddess-women-s-wellness-coach-progress_avatar_identity_feedback_screen.png|output/manual_validation/10-goddess-women-s-wellness-coach-first_paywall_or_iap_terms_screen.png","Does onboarding show one coherent daily loop or separate feature shelves?|Is there a personal meaning prompt before the action?|Is there one concrete action that can be completed in under two minutes?|Does completion causally change avatar/identity/progress feedback?|Is paywall before or after first meaningful value?|Would this invalidate Alina whitespace by being a hidden direct clone?","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","если onboarding не показывает causality, использовать как adjacent benchmark; если неожиданно есть action -> identity/progress, поднять в hidden-clone review.","https://apps.apple.com/us/app/goddess-womens-wellness-coach/id1527058035?uo=4","data_processed/manual_competitor_inspection_packet.csv;data_processed/manual_walkthrough_capture_sheet.csv;data_processed/hypothesis_decision_matrix.csv","Сначала сохранить скриншоты по filename stubs, затем заполнить observed_answer/directness_label/action_to_avatar_causality_label/paywall_boundary_label и только после этого обновлять H1/H3/H2."
