capture_id,app_name,screenshot_path,observed_price_or_trial,paid_flow_label,product_match_label,human_notes,signoff_strength,claim_limit
"PF_01_PF_S01","Character AI: Chat, Talk, Text","output/paywall_screenshots/02-character-ai-chat-talk-text-high.png","$9.99/month; $94.99/year; annual page also shows $119.88 struck-through reference price","confirmed_public_web_subscription_pricing","confirmed_same_product_public_pricing","Local visual review 2026-05-31: screenshot shows Upgrade to c.ai+, monthly and annual c.ai+ plan cards, subscribe CTA, and c.ai+ feature comparison. Public web evidence only; in-app first-value boundary and WTP are not proven.","confirmed_public_web","Supports adjacent paid-behavior / paid-depth proxy for AI companion/avatar-identity market; does not prove Alina WTP or in-app conversion."
"PF_01_PF_S02","Character AI: Chat, Talk, Text","output/paywall_screenshots/02-character-ai-chat-talk-text-high.png","Public subscribe page is visible independently; first meaningful in-app value boundary was not inspected.","conservative_partial_public_paywall_boundary_unknown","confirmed_same_product_public_pricing","Local visual review 2026-05-31: public paywall exists, but this screenshot does not show onboarding or first-session sequence. Treat boundary as unknown until app walkthrough.","partial_boundary_unknown","Use as public paid-surface evidence only, not as first-value/paywall-timing proof."
"PF_01_PF_S03","Character AI: Chat, Talk, Text","output/paywall_screenshots/02-character-ai-chat-talk-text-high.png","Paid tier unlocks: better memory, ad-free chats, bonus Charms, latest/best models, no slow mode, unlimited voice calls, more muted words/voice memos/go-ons/swipes, customization.","confirmed_paid_feature_depth_public_web","confirmed_same_product_public_pricing","Local visual review 2026-05-31: feature comparison is visible and product-matched. This supports paid-depth design reference, not revenue proof.","confirmed_public_web","Useful for paid-depth analogs around memory, personalization, voice, and premium model access."
"PF_01_PF_S04","Character AI: Chat, Talk, Text","output/paywall_screenshots/02-character-ai-chat-talk-text-high.png","Same public page brands the paid tier as c.ai+ and includes Character AI site footer links.","confirmed_same_product_public_page","confirmed_same_product_public_pricing","Local visual review 2026-05-31: page appears product-matched to Character AI/c.ai+. No parent-company mismatch observed in screenshot.","confirmed_public_web","Product-match support for public pricing row; still not a substitute for in-app subscription confirmation."
"PF_02_PF_S01","Meditopia: Sleep & Meditation","output/paywall_screenshots/04-meditopia-sleep-meditation-high.png","$3.50 per user per month (PUPM) average price shown for Essential Care on Meditopia business pricing page.","confirmed_b2b_public_pricing_not_consumer_app","partial_same_brand_b2b_not_consumer_app","Local visual review 2026-05-31: pricing page is Meditopia-branded and shows B2B/EAP pricing for organizations. It is not consumer app subscription pricing.","partial_b2b_price","Supports enterprise wellness monetization proxy only; do not use as direct consumer app WTP proof."
"PF_02_PF_S02","Meditopia: Sleep & Meditation","output/paywall_screenshots/04-meditopia-sleep-meditation-high.png","Business pricing page with Calculate Pricing / Book a Demo CTAs; consumer first meaningful paywall boundary not inspected.","conservative_partial_b2b_boundary_unknown","partial_same_brand_b2b_not_consumer_app","Local visual review 2026-05-31: screenshot confirms a B2B paid surface, not the consumer app onboarding/paywall order. Boundary remains unknown for consumer flow.","partial_boundary_unknown","Use only as B2B paid-surface evidence; keep consumer paywall boundary open."
"PF_02_PF_S03","Meditopia: Sleep & Meditation","output/paywall_screenshots/04-meditopia-sleep-meditation-high.png","Essential Care includes personalized wellbeing library with AI support, 10,000+ resources, web/mobile/smartwatch access; Total Care adds 1:1 expert sessions, integrations, social features.","confirmed_b2b_paid_feature_depth","partial_same_brand_b2b_not_consumer_app","Local visual review 2026-05-31: plan depth is visible, but in enterprise/EAP packaging. Helpful for wellness paid-depth taxonomy, not direct consumer pricing.","partial_b2b_feature_depth","Use as wellness/EAP paid-depth benchmark; do not treat as direct Alina consumer subscription analog."
"PF_02_PF_S04","Meditopia: Sleep & Meditation","output/paywall_screenshots/04-meditopia-sleep-meditation-high.png","Same Meditopia brand, business navigation, and EAP pricing page; product family matches, consumer app plan does not.","partial_same_brand_b2b_product_match","partial_same_brand_b2b_not_consumer_app","Local visual review 2026-05-31: product family match is credible, but the page is B2B / employer wellness rather than the consumer meditation app paywall.","partial_b2b_product_match","Use as same-brand enterprise monetization context; keep consumer product-match and WTP open."
"PF_03_PF_S01","Carrom Pool: Disc Game","output/paywall_screenshots/08-carrom-pool-disc-game-medium.png","Saved Miniclip public page shows games/company context and cookie/privacy language, but no clean Carrom Pool price or plan term.","reviewed_no_clean_public_price","partial_parent_brand_page_no_clean_price","Local visual review 2026-05-31: evidence belongs to Miniclip/public web context, not a clean Carrom Pool subscription/IAP page. No clean public price, trial, or plan term is visible in the saved screenshot/OCR.","reviewed_no_clean_public_price","Use only as a weak gaming monetization cue from a parent-brand page; do not use as Carrom Pool pricing proof."
"PF_03_PF_S02","Carrom Pool: Disc Game","output/paywall_screenshots/08-carrom-pool-disc-game-medium.png","First meaningful in-app paywall boundary was not inspected in the local screenshot.","reviewed_no_clean_boundary_unknown","partial_parent_brand_page_no_clean_price","Local visual review 2026-05-31: evidence belongs to Miniclip/public web context, not a clean Carrom Pool subscription/IAP page. The captured public page does not show onboarding order or the first value/paywall boundary.","reviewed_no_clean_public_price","Use only as a weak public paid-surface cue; keep first-value/paywall timing open."
