bridge_id,segment_id,segment_name,priority,evidence_score,core_job,primary_markets,source_signal_kind,matched_community_signal_rows,total_segment_community_rows,top_signal_sources,recruiting_channel_hypothesis,screener_question,qualifying_signal,disqualifying_signal,prototype_prompt,wtp_probe,evidence_to_capture,linked_tests,ethical_constraint
"ICP_A_CH_REFERRAL","ICP_A","Spiritual self-improvers","P0_top_two","10","Turn symbolic/personal meaning into one grounded action today.","astrology_esoterics|coaching","word_of_mouth_or_personal_recommendation","83","243","Eylo: AI Weight Loss Coach:12|Rosebud: AI Journal & Diary:9|Cozy Mahjong:5|Good Morning Messages & Images:5|Shepherd: Spiritual Bible BFF:4","Warm referral or friend-of-user intro","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Turn symbolic/personal meaning into one grounded action today.","Participant names a recent tool/use moment in astrology_esoterics|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","What changed, and what caused the change? Then ask: What would you call this product after using this loop once?","What are you paying for now in astrology_esoterics|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_A_T01|ICP_A_T02|ICP_A_T03|ICP_A_T05|ICP_A_T06","Ask for opt-in intros only; no pretending to be a user or scraping private communities."
"ICP_A_CH_COMMUNITY","ICP_A","Spiritual self-improvers","P0_top_two","10","Turn symbolic/personal meaning into one grounded action today.","astrology_esoterics|coaching","community_or_accountability_need","107","243","ModernSam: LVL up your life:6|Cozy Mahjong:6|Rosebud: AI Journal & Diary:6|Shepherd: Spiritual Bible BFF:5|TwinFlame:5","Relevant community thread, Discord, forum, or group where users already discuss the job","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Turn symbolic/personal meaning into one grounded action today.","Participant names a recent tool/use moment in astrology_esoterics|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","What changed, and what caused the change? Then ask: What would you call this product after using this loop once?","What are you paying for now in astrology_esoterics|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_A_T01|ICP_A_T02|ICP_A_T03|ICP_A_T05|ICP_A_T06","Post transparently, follow community rules, and offer a short paid or clearly voluntary research session."
"ICP_A_CH_SOCIAL_PROOF","ICP_A","Spiritual self-improvers","P0_top_two","10","Turn symbolic/personal meaning into one grounded action today.","astrology_esoterics|coaching","social_platform_discovery","17","243","Yoga International:4|ModernSam: LVL up your life:2|Vision Board ++ Maker Manifest:1|Pregnancy Tracker 3D by Sprout:1|Cozy Mahjong:1","Social platform discovery or creator/community mention","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Turn symbolic/personal meaning into one grounded action today.","Participant names a recent tool/use moment in astrology_esoterics|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","What changed, and what caused the change? Then ask: What would you call this product after using this loop once?","What are you paying for now in astrology_esoterics|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_A_T01|ICP_A_T02|ICP_A_T03|ICP_A_T05|ICP_A_T06","Use public posts only as channel hypotheses; do not harvest identities from reviews."
"ICP_A_CH_FORUM_LANGUAGE","ICP_A","Spiritual self-improvers","P0_top_two","10","Turn symbolic/personal meaning into one grounded action today.","astrology_esoterics|coaching","coded_forum_need_or_competitor_context","36","243","FORUM-001:4|FORUM-002:4|FORUM-003:4|FORUM-004:4|FORUM-008:4","Forum-language recruiting using exact problem wording from coded snippets","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Turn symbolic/personal meaning into one grounded action today.","Participant names a recent tool/use moment in astrology_esoterics|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","What changed, and what caused the change? Then ask: What would you call this product after using this loop once?","What are you paying for now in astrology_esoterics|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_A_T01|ICP_A_T02|ICP_A_T03|ICP_A_T05|ICP_A_T06","Use forum evidence for language and problem framing; recruit only through allowed public or owned channels."
"ICP_D_CH_REFERRAL","ICP_D","Habit and progress users","P0_top_two","10","Make vague growth concrete and keep momentum without streak anxiety.","coaching|mindfulness","word_of_mouth_or_personal_recommendation","58","183","Eylo: AI Weight Loss Coach:12|Cozy Mahjong:5|Good Morning Messages & Images:5|Rosebud: AI Journal & Diary:5|Shepherd: Spiritual Bible BFF:4","Warm referral or friend-of-user intro","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Make vague growth concrete and keep momentum without streak anxiety.","Participant names a recent tool/use moment in coaching|mindfulness and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","What changed, and what caused the change? Then ask: What would you call this product after using this loop once?","What are you paying for now in coaching|mindfulness, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_D_T01|ICP_D_T02|ICP_D_T03|ICP_D_T05|ICP_D_T06","Ask for opt-in intros only; no pretending to be a user or scraping private communities."
"ICP_D_CH_COMMUNITY","ICP_D","Habit and progress users","P0_top_two","10","Make vague growth concrete and keep momentum without streak anxiety.","coaching|mindfulness","community_or_accountability_need","69","183","Cozy Mahjong:6|Shepherd: Spiritual Bible BFF:5|Good Morning Messages & Images:5|Motivate: Daily Motivation:5|Daily Bible Verse - Biblify:4","Relevant community thread, Discord, forum, or group where users already discuss the job","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Make vague growth concrete and keep momentum without streak anxiety.","Participant names a recent tool/use moment in coaching|mindfulness and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","What changed, and what caused the change? Then ask: What would you call this product after using this loop once?","What are you paying for now in coaching|mindfulness, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_D_T01|ICP_D_T02|ICP_D_T03|ICP_D_T05|ICP_D_T06","Post transparently, follow community rules, and offer a short paid or clearly voluntary research session."
"ICP_D_CH_SOCIAL_PROOF","ICP_D","Habit and progress users","P0_top_two","10","Make vague growth concrete and keep momentum without streak anxiety.","coaching|mindfulness","social_platform_discovery","11","183","Yoga International:4|LifeWheel Goal Habit Tracker:1|Cozy Mahjong:1|Unplug: Meditation:1|Miracle Morning Routine:1","Social platform discovery or creator/community mention","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Make vague growth concrete and keep momentum without streak anxiety.","Participant names a recent tool/use moment in coaching|mindfulness and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","What changed, and what caused the change? Then ask: What would you call this product after using this loop once?","What are you paying for now in coaching|mindfulness, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_D_T01|ICP_D_T02|ICP_D_T03|ICP_D_T05|ICP_D_T06","Use public posts only as channel hypotheses; do not harvest identities from reviews."
"ICP_D_CH_FORUM_LANGUAGE","ICP_D","Habit and progress users","P0_top_two","10","Make vague growth concrete and keep momentum without streak anxiety.","coaching|mindfulness","coded_forum_need_or_competitor_context","45","183","FORUM-005:4|FORUM-006:4|FORUM-007:4|FORUM-008:4|FORUM-009:4","Forum-language recruiting using exact problem wording from coded snippets","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Make vague growth concrete and keep momentum without streak anxiety.","Participant names a recent tool/use moment in coaching|mindfulness and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","What changed, and what caused the change? Then ask: What would you call this product after using this loop once?","What are you paying for now in coaching|mindfulness, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_D_T01|ICP_D_T02|ICP_D_T03|ICP_D_T05|ICP_D_T06","Use forum evidence for language and problem framing; recruit only through allowed public or owned channels."
"ICP_C_CH_REFERRAL","ICP_C","Anxious daily reset users","P1_compare","9","Calm down quickly and return to the day with one manageable next step.","mindfulness|coaching","word_of_mouth_or_personal_recommendation","42","145","Eylo: AI Weight Loss Coach:12|Cozy Mahjong:5|Rosebud: AI Journal & Diary:3|Life Guidance and Inspiration:2|Daily Burn: Workout Coach:2","Warm referral or friend-of-user intro","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Calm down quickly and return to the day with one manageable next step.","Participant names a recent tool/use moment in mindfulness|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in mindfulness|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_C_T01|ICP_C_T02|ICP_C_T03|ICP_C_T05|ICP_C_T06","Ask for opt-in intros only; no pretending to be a user or scraping private communities."
"ICP_C_CH_COMMUNITY","ICP_C","Anxious daily reset users","P1_compare","9","Calm down quickly and return to the day with one manageable next step.","mindfulness|coaching","community_or_accountability_need","47","145","Cozy Mahjong:6|Motivate: Daily Motivation:5|Pitstop: Scale Human Potential:3|Daily Burn: Workout Coach:3|Zing AI: Home & Gym Workouts:3","Relevant community thread, Discord, forum, or group where users already discuss the job","In the last 30 days, which apps, rituals, journals, coaches, avatars, or reset tools did you actually use for this job: Calm down quickly and return to the day with one manageable next step.","Participant names a recent tool/use moment in mindfulness|coaching and can describe the trigger without being led.","Participant only likes the idea abstractly, cannot name recent behavior, or is outside the target market for the last 90 days.","Show the two-minute loop and ask what changed, what caused it, and whether the participant would return tomorrow.","What are you paying for now in mindfulness|coaching, and which paid-depth feature would make this worth paying for after one free loop?","recent_behavior_match|specific_episode|current_tool|verbatim_language|loop_comprehension|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|paid_depth_feature|fatal_objection","ICP_C_T01|ICP_C_T02|ICP_C_T03|ICP_C_T05|ICP_C_T06","Post transparently, follow community rules, and offer a short paid or clearly voluntary research session."
