slice_rank,command_id,execution_block_ru,target,linked_hypotheses,timebox_ru,source_capture_file,rows_to_update_count,linked_capture_ids,linked_capture_status_mix,required_local_artifacts,fields_to_fill_ru,first_operator_prompt_ru,minimum_evidence_ru,pass_signal_ru,downgrade_signal_ru,intake_gap_ru,rebuild_rule_ru,claim_boundary_ru,source_url
"1","P0_MANUAL_01","Сначала hidden-clone walkthrough","Shepherd: Spiritual Bible BFF","H1|H3","25-35 min","data_processed/manual_walkthrough_capture_sheet.csv","5","MCI_01_MCI_S01|MCI_01_MCI_S02|MCI_01_MCI_S03|MCI_01_MCI_S04|MCI_01_MCI_S05","public_listing_signoff_completed_not_app_walkthrough:1|not_started:4","output/manual_validation/01-shepherd-spiritual-bible-bff-app_store_listing_or_public_positioning.png|output/manual_validation/01-shepherd-spiritual-bible-bff-onboarding_first_value_screen.png|output/manual_validation/01-shepherd-spiritual-bible-bff-first_daily_action_or_task_screen.png|output/manual_validation/01-shepherd-spiritual-bible-bff-progress_avatar_identity_feedback_screen.png|output/manual_validation/01-shepherd-spiritual-bible-bff-first_paywall_or_iap_terms_screen.png","capture_status; observed_answer; directness_label; action_to_avatar_causality_label; paywall_boundary_label; inspector_notes; screenshot file paths","What promise, audience, and daily loop does the public listing imply? || Does onboarding show one coherent loop or separate feature shelves? || Is there a concrete action that can be completed in under two minutes?","app_store_listing_or_public_positioning|onboarding_first_value_screen|first_daily_action_or_task_screen|progress_avatar_identity_feedback_screen|first_paywall_or_iap_terms_screen","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","есть незаполненные app/onboarding walkthrough слоты","после заполнения source capture rows пересобрать validation gates, reports/PDF/DOCX, manifest и сделать commit/push","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","https://apps.apple.com/us/app/shepherd-spiritual-bible-bff/id6745461941?uo=4"
"2","P0_MANUAL_02","Сначала hidden-clone walkthrough","Zing AI: Home & Gym Workouts","H1|H3","25-35 min","data_processed/manual_walkthrough_capture_sheet.csv","5","MCI_02_MCI_S01|MCI_02_MCI_S02|MCI_02_MCI_S03|MCI_02_MCI_S04|MCI_02_MCI_S05","public_listing_signoff_completed_not_app_walkthrough:1|not_started:4","output/manual_validation/02-zing-ai-home-gym-workouts-app_store_listing_or_public_positioning.png|output/manual_validation/02-zing-ai-home-gym-workouts-onboarding_first_value_screen.png|output/manual_validation/02-zing-ai-home-gym-workouts-first_daily_action_or_task_screen.png|output/manual_validation/02-zing-ai-home-gym-workouts-progress_avatar_identity_feedback_screen.png|output/manual_validation/02-zing-ai-home-gym-workouts-first_paywall_or_iap_terms_screen.png","capture_status; observed_answer; directness_label; action_to_avatar_causality_label; paywall_boundary_label; inspector_notes; screenshot file paths","What promise, audience, and daily loop does the public listing imply? || Does onboarding show one coherent loop or separate feature shelves? || Is there a concrete action that can be completed in under two minutes?","app_store_listing_or_public_positioning|onboarding_first_value_screen|first_daily_action_or_task_screen|progress_avatar_identity_feedback_screen|first_paywall_or_iap_terms_screen","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","есть незаполненные app/onboarding walkthrough слоты","после заполнения source capture rows пересобрать validation gates, reports/PDF/DOCX, manifest и сделать commit/push","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","https://apps.apple.com/us/app/zing-ai-home-gym-workouts/id1552207792?uo=4"
"3","P0_MANUAL_03","Сначала hidden-clone walkthrough","Miracle Morning Routine","H1|H3","25-35 min","data_processed/manual_walkthrough_capture_sheet.csv","5","MCI_03_MCI_S01|MCI_03_MCI_S02|MCI_03_MCI_S03|MCI_03_MCI_S04|MCI_03_MCI_S05","public_listing_signoff_completed_not_app_walkthrough:1|not_started:4","output/manual_validation/03-miracle-morning-routine-app_store_listing_or_public_positioning.png|output/manual_validation/03-miracle-morning-routine-onboarding_first_value_screen.png|output/manual_validation/03-miracle-morning-routine-first_daily_action_or_task_screen.png|output/manual_validation/03-miracle-morning-routine-progress_avatar_identity_feedback_screen.png|output/manual_validation/03-miracle-morning-routine-first_paywall_or_iap_terms_screen.png","capture_status; observed_answer; directness_label; action_to_avatar_causality_label; paywall_boundary_label; inspector_notes; screenshot file paths","What promise, audience, and daily loop does the public listing imply? || Does onboarding show one coherent loop or separate feature shelves? || Is there a concrete action that can be completed in under two minutes?","app_store_listing_or_public_positioning|onboarding_first_value_screen|first_daily_action_or_task_screen|progress_avatar_identity_feedback_screen|first_paywall_or_iap_terms_screen","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","есть незаполненные app/onboarding walkthrough слоты","после заполнения source capture rows пересобрать validation gates, reports/PDF/DOCX, manifest и сделать commit/push","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","https://apps.apple.com/us/app/miracle-morning-routine/id1581511740?uo=4"
"4","P0_MANUAL_04","Сначала hidden-clone walkthrough","EVOLVE: Transform Your Life","H1|H3","25-35 min","data_processed/manual_walkthrough_capture_sheet.csv","5","MCI_04_MCI_S01|MCI_04_MCI_S02|MCI_04_MCI_S03|MCI_04_MCI_S04|MCI_04_MCI_S05","public_listing_signoff_completed_not_app_walkthrough:1|not_started:4","output/manual_validation/04-evolve-transform-your-life-app_store_listing_or_public_positioning.png|output/manual_validation/04-evolve-transform-your-life-onboarding_first_value_screen.png|output/manual_validation/04-evolve-transform-your-life-first_daily_action_or_task_screen.png|output/manual_validation/04-evolve-transform-your-life-progress_avatar_identity_feedback_screen.png|output/manual_validation/04-evolve-transform-your-life-first_paywall_or_iap_terms_screen.png","capture_status; observed_answer; directness_label; action_to_avatar_causality_label; paywall_boundary_label; inspector_notes; screenshot file paths","What promise, audience, and daily loop does the public listing imply? || Does onboarding show one coherent loop or separate feature shelves? || Is there a concrete action that can be completed in under two minutes?","app_store_listing_or_public_positioning|onboarding_first_value_screen|first_daily_action_or_task_screen|progress_avatar_identity_feedback_screen|first_paywall_or_iap_terms_screen","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","есть незаполненные app/onboarding walkthrough слоты","после заполнения source capture rows пересобрать validation gates, reports/PDF/DOCX, manifest и сделать commit/push","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","https://apps.apple.com/us/app/evolve-transform-your-life/id6754897547?uo=4"
"5","P0_MANUAL_05","Сначала hidden-clone walkthrough","Daily Yoga: Yoga for Fitness®","H1|H3","25-35 min","data_processed/manual_walkthrough_capture_sheet.csv","5","MCI_05_MCI_S01|MCI_05_MCI_S02|MCI_05_MCI_S03|MCI_05_MCI_S04|MCI_05_MCI_S05","public_listing_signoff_completed_not_app_walkthrough:1|not_started:4","output/manual_validation/05-daily-yoga-yoga-for-fitness-app_store_listing_or_public_positioning.png|output/manual_validation/05-daily-yoga-yoga-for-fitness-onboarding_first_value_screen.png|output/manual_validation/05-daily-yoga-yoga-for-fitness-first_daily_action_or_task_screen.png|output/manual_validation/05-daily-yoga-yoga-for-fitness-progress_avatar_identity_feedback_screen.png|output/manual_validation/05-daily-yoga-yoga-for-fitness-first_paywall_or_iap_terms_screen.png","capture_status; observed_answer; directness_label; action_to_avatar_causality_label; paywall_boundary_label; inspector_notes; screenshot file paths","What promise, audience, and daily loop does the public listing imply? || Does onboarding show one coherent loop or separate feature shelves? || Is there a concrete action that can be completed in under two minutes?","app_store_listing_or_public_positioning|onboarding_first_value_screen|first_daily_action_or_task_screen|progress_avatar_identity_feedback_screen|first_paywall_or_iap_terms_screen","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","есть незаполненные app/onboarding walkthrough слоты","после заполнения source capture rows пересобрать validation gates, reports/PDF/DOCX, manifest и сделать commit/push","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","https://apps.apple.com/us/app/daily-yoga-yoga-for-fitness/id545849922?uo=4"
"6","P0_PAYWALL_02","Потом paid-flow/WTP evidence","Character AI: Chat, Talk, Text","H2","10-15 min","data_processed/paid_flow_capture_sheet.csv","4","PF_01_PF_S01|PF_01_PF_S02|PF_01_PF_S03|PF_01_PF_S04","local_visual_signoff_completed:4","output/manual_validation/paid-flow-01-character-ai-chat-talk-text-public_pricing_or_store_iap.png|output/manual_validation/paid-flow-01-character-ai-chat-talk-text-first_meaningful_paywall_boundary.png|output/manual_validation/paid-flow-01-character-ai-chat-talk-text-plan_depth_and_unlocks.png|output/manual_validation/paid-flow-01-character-ai-chat-talk-text-human_match_check.png","capture_status; observed_price_or_trial; paid_flow_label; product_match_label; human_notes; screenshot/source path","Capture visible price, trial, subscription term, or IAP list. || Capture whether the paywall appears before or after first meaningful loop value. || Capture what paid tier unlocks and whether it matches Alina paid-depth logic.","public pricing screenshot|app/product match|trial length|monthly price|annual price|first meaningful paywall boundary|human signoff note","Human review confirms product-matched pricing/paywall evidence or records a conservative partial label.","Signal is parent-company only, unrelated, login-gated, OCR artifact, or not useful for Alina market-money claims.","есть local/public signoff; остается проверить first-value boundary и WTP","после заполнения source capture rows пересобрать validation gates, reports/PDF/DOCX, manifest и сделать commit/push","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","https://character.ai/subscribe"
"7","P0_PAYWALL_03","Потом paid-flow/WTP evidence","Headspace: Sleep & Meditate","H2","10-15 min","data_processed/paid_flow_capture_sheet.csv","0","","","","capture_status; observed_price_or_trial; paid_flow_label; product_match_label; human_notes; screenshot/source path","","public pricing screenshot|app/product match|trial length|monthly price|annual price|first meaningful paywall boundary|human signoff note","Human review confirms product-matched pricing/paywall evidence or records a conservative partial label.","Signal is parent-company only, unrelated, login-gated, OCR artifact, or not useful for Alina market-money claims.","есть local/public signoff; остается проверить first-value boundary и WTP","после заполнения source capture rows пересобрать validation gates, reports/PDF/DOCX, manifest и сделать commit/push","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","https://www.headspace.com/"
"8","P0_PAYWALL_04","Потом paid-flow/WTP evidence","Meditopia: Sleep & Meditation","H2","10-15 min","data_processed/paid_flow_capture_sheet.csv","4","PF_02_PF_S01|PF_02_PF_S02|PF_02_PF_S03|PF_02_PF_S04","local_visual_signoff_completed:4","output/manual_validation/paid-flow-02-meditopia-sleep-meditation-public_pricing_or_store_iap.png|output/manual_validation/paid-flow-02-meditopia-sleep-meditation-first_meaningful_paywall_boundary.png|output/manual_validation/paid-flow-02-meditopia-sleep-meditation-plan_depth_and_unlocks.png|output/manual_validation/paid-flow-02-meditopia-sleep-meditation-human_match_check.png","capture_status; observed_price_or_trial; paid_flow_label; product_match_label; human_notes; screenshot/source path","Capture visible price, trial, subscription term, or IAP list. || Capture whether the paywall appears before or after first meaningful loop value. || Capture what paid tier unlocks and whether it matches Alina paid-depth logic.","public pricing screenshot|app/product match|trial length|monthly price|annual price|first meaningful paywall boundary|human signoff note","Human review confirms product-matched pricing/paywall evidence or records a conservative partial label.","Signal is parent-company only, unrelated, login-gated, OCR artifact, or not useful for Alina market-money claims.","есть local/public signoff; остается проверить first-value boundary и WTP","после заполнения source capture rows пересобрать validation gates, reports/PDF/DOCX, manifest и сделать commit/push","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","https://meditopia.com/en/plans"
"9","P0_PAYWALL_05","Потом paid-flow/WTP evidence","Nebula: Spiritual Guidance","H2","10-15 min","data_processed/paid_flow_capture_sheet.csv","0","","","","capture_status; observed_price_or_trial; paid_flow_label; product_match_label; human_notes; screenshot/source path","","public pricing screenshot|app/product match|trial length|monthly price|annual price|first meaningful paywall boundary|human signoff note","Human review confirms product-matched pricing/paywall evidence or records a conservative partial label.","Signal is parent-company only, unrelated, login-gated, OCR artifact, or not useful for Alina market-money claims.","есть local/public signoff; остается проверить first-value boundary и WTP","после заполнения source capture rows пересобрать validation gates, reports/PDF/DOCX, manifest и сделать commit/push","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","https://www.asknebula.com/"
"10","P0_PAYWALL_08","Потом paid-flow/WTP evidence","Carrom Pool: Disc Game","H2","10-15 min","data_processed/paid_flow_capture_sheet.csv","4","PF_03_PF_S01|PF_03_PF_S02|PF_03_PF_S03|PF_03_PF_S04","local_visual_signoff_completed:4","output/manual_validation/paid-flow-03-carrom-pool-disc-game-public_pricing_or_store_iap.png|output/manual_validation/paid-flow-03-carrom-pool-disc-game-first_meaningful_paywall_boundary.png|output/manual_validation/paid-flow-03-carrom-pool-disc-game-plan_depth_and_unlocks.png|output/manual_validation/paid-flow-03-carrom-pool-disc-game-human_match_check.png","capture_status; observed_price_or_trial; paid_flow_label; product_match_label; human_notes; screenshot/source path","Capture visible price, trial, subscription term, or IAP list. || Capture whether the paywall appears before or after first meaningful loop value. || Capture what paid tier unlocks and whether it matches Alina paid-depth logic.","public pricing screenshot|app/product match|trial length|monthly price|annual price|first meaningful paywall boundary|human signoff note","Human review confirms product-matched pricing/paywall evidence or records a conservative partial label.","Signal is parent-company only, unrelated, login-gated, OCR artifact, or not useful for Alina market-money claims.","есть local/public signoff; остается проверить first-value boundary и WTP","после заполнения source capture rows пересобрать validation gates, reports/PDF/DOCX, manifest и сделать commit/push","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","https://www.miniclip.com/pricing"
