step_order,step_id,segment_id,segment_name,phase_ru,minutes,operator_script_ru,evidence_to_capture_ru,source_capture_rows,linked_hypotheses,pass_signal_ru,downgrade_signal_ru,output_target
"1","ICP_A_CONSENT","ICP_A","Spiritual self-improvers","Consent и рамка безопасности","3","Объяснить: это исследовательская сессия, не терапия и не медицинский/духовный совет; можно пропускать вопросы; запись/цитаты только с явного согласия; задача - понять поведение, а не продать продукт.","consent_yes_no|recording_permission|quote_permission|participant_boundaries","","H5|H6","участник понимает формат, дает согласие и спокойно обозначает границы","участник чувствует манипуляцию, небезопасность или не понимает, что это исследование","researcher_notes;data_processed/icp_interview_capture_sheet.csv"
"2","ICP_A_SCREENER","ICP_A","Spiritual self-improvers","Recent behavior screener","7","screener: Ask: ""Which apps, rituals, games, journals, coaches, avatars, or guidance tools did you use in the last 30 days, and what triggered the last use?"" Match against: Uses astrology, tarot, manifestation, devotional, journaling, or guidance apps to make today feel meaningful.","recent_behavior_match|current_tool|trigger_of_last_use|segment_fit_yes_no","ICP_A_T01_P01|ICP_A_T01_P02|ICP_A_T01_P03|ICP_A_T01_P04|ICP_A_T01_P05|ICP_A_T01_P06|ICP_A_T01_P07|ICP_A_T01_P08","H5","есть recent behavior и конкретный триггер последнего использования","поведение абстрактное, давно не было, или сегмент выбран по вкусу исследователя","data_processed/icp_interview_capture_sheet.csv"
"3","ICP_A_PROBLEM_STORY","ICP_A","Spiritual self-improvers","Problem story и current workaround","12","problem_interview: Ask for the last real moment when they needed this job: Turn symbolic/personal meaning into one grounded action today.. Capture exact language, workaround, emotional stakes, and what they tried instead.","specific_episode|workaround|pain_intensity_1_5|verbatim_language|rejected_patterns","ICP_A_T02_P01|ICP_A_T02_P02|ICP_A_T02_P03|ICP_A_T02_P04|ICP_A_T02_P05|ICP_A_T02_P06|ICP_A_T02_P07|ICP_A_T02_P08","H5|H3","участник рассказывает конкретный эпизод, current workaround и язык боли без наводки","участник рассуждает теоретически или проблема оказывается слабее текущих альтернатив","data_processed/icp_interview_capture_sheet.csv;data_processed/russian_voc_objection_map.csv"
"4","ICP_A_VOC_OBJECTIONS","ICP_A","Spiritual self-improvers","VOC objections и disconfirmation","10","Расскажи про последний цифровой ритуал, к которому ты возвращался несколько дней подряд. Что именно заставляло открыть его снова? | Когда ты в последний раз бросил практику, потому что не видел, что она реально работает? | Что в последнем self-improvement/productivity app стало слишком тяжелым или давящим? | Какая персональная подсказка за последний месяц попала в точку, а какая показалась пустой или манипулятивной? | Что сделало бы такой продукт небезопасным, cringe, манипулятивным или не для тебя? | За что ты уже платишь в этой зоне и что должно случиться бесплатно, чтобы подписка стала честной?","top_objection|trust_boundary|streak_or_pressure_reaction|personalization_reaction|paid_depth_reaction","VOC_DAILY_ANCHOR|VOC_VISIBLE_PROGRESS|VOC_OVERBUILT_STREAK_ANXIETY|VOC_PERSONALIZATION_FEEL_SEEN|VOC_TRUST_SAFETY|VOC_SUBSCRIPTION_VALUE","H2|H4|H5|H6","возражения конкретные и addressable copy/control/design changes","fatal objection повторяется: unsafe, manipulative, generic, childish, pressure, paywall-before-value","data_processed/russian_voc_objection_map.csv;data_processed/icp_interview_capture_sheet.csv"
"5","ICP_A_PROTOTYPE_WALKTHROUGH","ICP_A","Spiritual self-improvers","Prototype walkthrough","15","S01_ENTRY: Daily meaning entry -> Narrate what you think is happening on this screen. | S02_REFLECTION: Tiny context prompt -> Narrate what you think is happening on this screen. | S03_ACTION_CARD: One grounded action -> Narrate what you think is happening on this screen. | S04_RESET: Short reset -> Narrate what you think is happening on this screen. | S05_COMPLETION: Action evidence -> Narrate what you think is happening on this screen. | S06_AVATAR_CHANGE: Identity/avatar feedback -> What changed, and what caused the change? | S07_TOMORROW_HOOK: Next-day hook -> Narrate what you think is happening on this screen. | S08_VALUE_CHECK: Immediate value check -> What would you call this product after using this loop once?","completion_time_seconds|comprehension_yes_no|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|verbatim_quote|fatal_objection","PVS_ICP_A_P01_S01_ENTRY|PVS_ICP_A_P01_S02_REFLECTION|PVS_ICP_A_P01_S03_ACTION_CARD|PVS_ICP_A_P01_S04_RESET|PVS_ICP_A_P01_S05_COMPLETION|PVS_ICP_A_P01_S06_AVATAR_CHANGE|PVS_ICP_A_P01_S07_TOMORROW_HOOK|PVS_ICP_A_P01_S08_VALUE_CHECK","H4|H6|H5","участник понимает причинность, проходит flow примерно за две минуты и формулирует отличие от generic alternatives","flow читается как generic habit tracker, vague reading, pressure system или декоративный avatar toy","data_processed/prototype_session_capture_sheet.csv"
"6","ICP_A_VALUE_WTP","ICP_A","Spiritual self-improvers","Value, paid depth и referral language","8","Спросить: что здесь должно остаться бесплатным, за какую глубину было бы честно платить, как бы ты описал продукт другу, кому бы ты его посоветовал и что должно случиться завтра, чтобы ты вернулся?","free_value_moment|paid_depth_feature|acceptable_price_range|friend_explanation|return_trigger","ICP_A_T05_P01|ICP_A_T05_P02|ICP_A_T05_P03|ICP_A_T05_P04|ICP_A_T05_P05|ICP_A_T05_P06|ICP_A_T05_P07|ICP_A_T05_P08","H2|H5|H6","участник называет paid depth после free value moment и может объяснить продукт своими словами","вся ценность ожидается бесплатно, paid depth не связана с loop, или продукт невозможно пересказать","data_processed/icp_interview_capture_sheet.csv;data_processed/paid_flow_capture_sheet.csv"
"7","ICP_A_SCORE_REBUILD","ICP_A","Spiritual self-improvers","Scorecard и rebuild hygiene","5","Заполнить scorecard metrics: PVS_M01:comprehension | PVS_M02:two_minute_completion | PVS_M03:meaning_lift | PVS_M04:differentiation | PVS_M05:trust_safety | PVS_M06:paid_depth. Затем пересобрать validation gates, hypothesis decisions, completion audit, русский report/PDF и manifest.","scorecard_metric_values|claim_update_needed|source_file_updated|rebuild_commit_hash","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","H1|H2|H3|H4|H5|H6","все capture rows заполнены, scorecard посчитан, claim status обновлен только после evidence","исследователь пытается обновить narrative без заполненных строк, цитат, скриншотов или scorecard values","data_processed/validation_gate_calculator.csv;data_processed/hypothesis_decision_matrix.csv;reports/alina-russian-narrative-report-v1.md;output/pdf/alina-russian-narrative-report-v1.pdf"
"1","ICP_D_CONSENT","ICP_D","Habit and progress users","Consent и рамка безопасности","3","Объяснить: это исследовательская сессия, не терапия и не медицинский/духовный совет; можно пропускать вопросы; запись/цитаты только с явного согласия; задача - понять поведение, а не продать продукт.","consent_yes_no|recording_permission|quote_permission|participant_boundaries","","H5|H6","участник понимает формат, дает согласие и спокойно обозначает границы","участник чувствует манипуляцию, небезопасность или не понимает, что это исследование","researcher_notes;data_processed/icp_interview_capture_sheet.csv"
"2","ICP_D_SCREENER","ICP_D","Habit and progress users","Recent behavior screener","7","screener: Ask: ""Which apps, rituals, games, journals, coaches, avatars, or guidance tools did you use in the last 30 days, and what triggered the last use?"" Match against: Uses habit trackers, planners, streaks, routines, journals, or AI coaches to stay consistent.","recent_behavior_match|current_tool|trigger_of_last_use|segment_fit_yes_no","ICP_D_T01_P01|ICP_D_T01_P02|ICP_D_T01_P03|ICP_D_T01_P04|ICP_D_T01_P05|ICP_D_T01_P06|ICP_D_T01_P07|ICP_D_T01_P08","H5","есть recent behavior и конкретный триггер последнего использования","поведение абстрактное, давно не было, или сегмент выбран по вкусу исследователя","data_processed/icp_interview_capture_sheet.csv"
"3","ICP_D_PROBLEM_STORY","ICP_D","Habit and progress users","Problem story и current workaround","12","problem_interview: Ask for the last real moment when they needed this job: Make vague growth concrete and keep momentum without streak anxiety.. Capture exact language, workaround, emotional stakes, and what they tried instead.","specific_episode|workaround|pain_intensity_1_5|verbatim_language|rejected_patterns","ICP_D_T02_P01|ICP_D_T02_P02|ICP_D_T02_P03|ICP_D_T02_P04|ICP_D_T02_P05|ICP_D_T02_P06|ICP_D_T02_P07|ICP_D_T02_P08","H5|H3","участник рассказывает конкретный эпизод, current workaround и язык боли без наводки","участник рассуждает теоретически или проблема оказывается слабее текущих альтернатив","data_processed/icp_interview_capture_sheet.csv;data_processed/russian_voc_objection_map.csv"
"4","ICP_D_VOC_OBJECTIONS","ICP_D","Habit and progress users","VOC objections и disconfirmation","10","Расскажи про последний цифровой ритуал, к которому ты возвращался несколько дней подряд. Что именно заставляло открыть его снова? | Когда ты в последний раз бросил практику, потому что не видел, что она реально работает? | Что в последнем self-improvement/productivity app стало слишком тяжелым или давящим? | Какая персональная подсказка за последний месяц попала в точку, а какая показалась пустой или манипулятивной? | Что сделало бы такой продукт небезопасным, cringe, манипулятивным или не для тебя? | За какую глубину в похожем продукте тебе было бы не жалко платить после первой бесплатной пользы?","top_objection|trust_boundary|streak_or_pressure_reaction|personalization_reaction|paid_depth_reaction","VOC_DAILY_ANCHOR|VOC_VISIBLE_PROGRESS|VOC_OVERBUILT_STREAK_ANXIETY|VOC_PERSONALIZATION_FEEL_SEEN|VOC_TRUST_SAFETY|VOC_DEPTH_CUSTOMIZATION","H2|H4|H5|H6","возражения конкретные и addressable copy/control/design changes","fatal objection повторяется: unsafe, manipulative, generic, childish, pressure, paywall-before-value","data_processed/russian_voc_objection_map.csv;data_processed/icp_interview_capture_sheet.csv"
"5","ICP_D_PROTOTYPE_WALKTHROUGH","ICP_D","Habit and progress users","Prototype walkthrough","15","S01_ENTRY: Daily meaning entry -> Narrate what you think is happening on this screen. | S02_REFLECTION: Tiny context prompt -> Narrate what you think is happening on this screen. | S03_ACTION_CARD: One grounded action -> Narrate what you think is happening on this screen. | S04_RESET: Short reset -> Narrate what you think is happening on this screen. | S05_COMPLETION: Action evidence -> Narrate what you think is happening on this screen. | S06_AVATAR_CHANGE: Identity/avatar feedback -> What changed, and what caused the change? | S07_TOMORROW_HOOK: Next-day hook -> Narrate what you think is happening on this screen. | S08_VALUE_CHECK: Immediate value check -> What would you call this product after using this loop once?","completion_time_seconds|comprehension_yes_no|meaning_lift_1_5|differentiation_1_5|return_intent_1_5|verbatim_quote|fatal_objection","PVS_ICP_D_P01_S01_ENTRY|PVS_ICP_D_P01_S02_REFLECTION|PVS_ICP_D_P01_S03_ACTION_CARD|PVS_ICP_D_P01_S04_RESET|PVS_ICP_D_P01_S05_COMPLETION|PVS_ICP_D_P01_S06_AVATAR_CHANGE|PVS_ICP_D_P01_S07_TOMORROW_HOOK|PVS_ICP_D_P01_S08_VALUE_CHECK","H4|H6|H5","участник понимает причинность, проходит flow примерно за две минуты и формулирует отличие от generic alternatives","flow читается как generic habit tracker, vague reading, pressure system или декоративный avatar toy","data_processed/prototype_session_capture_sheet.csv"
"6","ICP_D_VALUE_WTP","ICP_D","Habit and progress users","Value, paid depth и referral language","8","Спросить: что здесь должно остаться бесплатным, за какую глубину было бы честно платить, как бы ты описал продукт другу, кому бы ты его посоветовал и что должно случиться завтра, чтобы ты вернулся?","free_value_moment|paid_depth_feature|acceptable_price_range|friend_explanation|return_trigger","ICP_D_T05_P01|ICP_D_T05_P02|ICP_D_T05_P03|ICP_D_T05_P04|ICP_D_T05_P05|ICP_D_T05_P06|ICP_D_T05_P07|ICP_D_T05_P08","H2|H5|H6","участник называет paid depth после free value moment и может объяснить продукт своими словами","вся ценность ожидается бесплатно, paid depth не связана с loop, или продукт невозможно пересказать","data_processed/icp_interview_capture_sheet.csv;data_processed/paid_flow_capture_sheet.csv"
"7","ICP_D_SCORE_REBUILD","ICP_D","Habit and progress users","Scorecard и rebuild hygiene","5","Заполнить scorecard metrics: PVS_M01:comprehension | PVS_M02:two_minute_completion | PVS_M03:meaning_lift | PVS_M04:differentiation | PVS_M05:trust_safety | PVS_M06:paid_depth. Затем пересобрать validation gates, hypothesis decisions, completion audit, русский report/PDF и manifest.","scorecard_metric_values|claim_update_needed|source_file_updated|rebuild_commit_hash","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","H1|H2|H3|H4|H5|H6","все capture rows заполнены, scorecard посчитан, claim status обновлен только после evidence","исследователь пытается обновить narrative без заполненных строк, цитат, скриншотов или scorecard values","data_processed/validation_gate_calculator.csv;data_processed/hypothesis_decision_matrix.csv;reports/alina-russian-narrative-report-v1.md;output/pdf/alina-russian-narrative-report-v1.pdf"
