app_name,publisher,platform,source_kind,source_url,niche,keyword,rank_position,category,rating,review_count,pricing_type,iap_present,subscription_present,core_features,retention_mechanics,personalization_tags,audience_tags,monetization_notes,collected_at,evidence_quality
"Insight Timer: Meditate, Sleep","Insight Network Inc","ios","app_store_search","https://apps.apple.com/us/app/insight-timer-meditate-sleep/id337472899?uo=4","mindfulness","meditation","1","Health & Fitness","4.89501","440173","free","","","* Apps of the Year Winner - TIME magazine and Womens Health * * More time is spent meditating on Insight Timer than all other meditation apps * * Happiest App in the World - Tristan Harris * The number 1 free meditation app. Guided meditations and talks led by the world's top meditation and mindfulness experts, neuroscientists, psychologists and teachers from Stanford, Harvard, the University of Oxford and more. Music tracks from world-renowned artists. Join millions learning to meditate on Insight Timer to help calm the mind, reduce anxiety, manage stress, sleep deeply and improve happiness. With 80+ new free guided meditations added daily, more meditation is practiced on Insight Timer than anywhere else. Great for both beginners and experienced practitioners. FREE FEATURES: * Thousands of guided meditations * Select by time for short meditations when on the go, helping you to build a simple daily habit * Thousands of music tracks and ambient sounds to calm the mind, focus, sleep better and relax * The world's most popular meditation Timer * Follow your favourite teachers * Thousands of discussion groups and community features * Stats and milestones for tracking your progress * Integration with Apple Health Mindful Minutes Browse popular topics including: * Sleep deeply * Dealing with Anxiety and Reducing Stress * Getting through Recovery and Addictions * Self-love and Compassion * Focus and Concentration * Leadership * Better Relationships * Loving-Kindness * And much more.. Join leading meditation teachers and musicians including: * Tara Brach, Ph.D, founder of Insight Meditation Community of Washington * Mark Williams, Emeritus Professor at Oxford University * Jack Kornfield, Dartmouth, co-founder of the Insight Meditation Society alongside fellow Insight Timer teachers Sharon Salzberg, and Joseph Goldstein of Columbia * Gil Fronsdal, Ph.D. at Stanford University * Ram Das aka Dr Richard Alpert, Doctorate at Stanford and Harvard University teacher * Sadhguru, Indian yogi, founder of non-profit Isha Foundation * Mooji, disciple of Papaji, and devotee of the master Ramana Maharshi * Moby, international recording artist, DJ, record producer, singer, songwriter * As well as Sarah Blondin, Mary Maddux, Ajahn Achalo, Melissa Ambrosini, Bodhipaksa, Jonathan Lehmann, Jennifer Piercy, Bethany Auriel-Hagan, Kate James and many more.. Practice the following meditation types: * Secular Mindfulness * Buddhist Mindfulness * Zen * Insight Meditation * Vipassana * MBSR * Walking Meditation * Breathing Meditation * Kundalini Yoga * Metta * Advaita Vedanta * And many more.. Join community groups for: * Beginners * Poetry * Atheism * Christianity * Hinduism * Transcendental Meditation * And many more.. PAID FEATURE - INSIGHT PREMIUM MEDITATION We have one optional in-app subscription. * Insight Courses * Listen offline (download guided meditations to your device) * Advanced Player (Repeat mode, Fast forward and Rewind, Pick-up where you left off) * High-Quality audio The subscription is available annually for US$59.99/year, or monthly for US$9.99/month. Payment will be charged through your iTunes account at confirmation of purchase, and will automatically renew at the end of each term unless auto-renew is turned off at least 24-hours before the end of the current period. You can turn off auto-renew at any time from your iTunes account settings, but refunds will not be provided for unused portions of the term. Prices and currency will vary by location. Any unused portion of a free trial period, if offered, will be forfeited when the user purchases a subscription, where applicable. The subscription will renew at the same cost. If you have any questions, please reach out to us over here: https://help.insighttimer.com Privacy Policy - https://insighttimer.com/legal/privacy-policy Terms and Conditions - https://insighttimer.com/legal/terms-of-service","","","","","2026-05-31T01:48:26.216Z","high"
"Headspace: Sleep & Meditation","Headspace Inc.","ios","app_store_search","https://apps.apple.com/us/app/headspace-sleep-meditation/id493145008?uo=4","mindfulness","meditation","2","Health & Fitness","4.84264","974022","free","","","Welcome to Headspace, your expert-led guide to mental health, mindfulness, and meditation. Whether you're navigating stress, anxiety, sleep trouble, or life’s ups and downs, Headspace is here to support you. Explore science-backed exercises, courses, and programs that help you build everyday skills to care for your mind. For more support, you have access to licensed therapists, mental health coaches or Ebb, your empathetic AI companion. Headspace is always here, so you can always put your mind first. DAILY MEDITATIONS Discover mental wellness and mindfulness with over 500+ guided meditations. From quick 3-minute mental resets to longer sessions, we'll help you make meditation a daily practice. Meditate, practice mindfulness and relax. Headspace is proven to increase happiness and reduce stress in just 10 days. BETTER SLEEP Headspace helps improve your sleep with expert-led sleep tools, guided sleep meditations, sleep sounds, sleepcasts, and more. Explore sleep music and meditation for sleeping to reduce stress and anxiety. ANXIETY & STRESS RELIEF Headspace is the mental health app here to help you manage your stress through personalized recommendations, guided meditations, and exercises. Learn calming breathwork and breathing techniques to help with panic attacks, anxiety relief and calm. Just 2 weeks of Headspace reduces anxiety. AFFORDABLE THERAPY From finding the right therapist to easy scheduling, Headspace therapy makes it easier to start feeling better. You’ll also get access to mindfulness tools and Ebb, your empathetic AI companion, for support anytime you need it. Plus, with partnerships with major insurance companies, your sessions could cost as little as $0. COACHING & MENTAL HEALTH SUPPORT Get matched and text with your own mental health coach and schedule sessions at your convenience. Headspace mental health coaches are trained professionals that provide personalized care to help you set and reach goals, manage everyday anxiety and stress, navigate major life events, and more. WELLNESS & BALANCE Increase balance with guided meditation and focus music. Calm and relax with quick breathing exercises, improve focus with binaural beats and calm your mind with relaxing music for studying. MINDFUL MOVEMENT Relieve stress, release tension, and strengthen your mind-body connection with mindful movement. Practice CBT techniques and CBT therapy exercises to reduce stress and anxiety. PROGRESS TRACKING Self-care tracker to follow your mental health journey. Share insights with your mindfulness coach or therapist so they can keep you on track towards your goals. Headspace is the everyday mental health app that’s proven to help. Stress less, sleep better, and feel happier with do-anywhere exercises and personalized recommendations from Ebb, Headspace’s AI mental health companion. Access online therapy and psychiatry through your organization.* (Check coverage with your coach or benefits team.) Start your free trial and experience the benefits of meditation, mindfulness and expert mental health therapy & coaching. Subscription options: $12.99/month, $69.99/year. These prices are for United States, pricing in other countries may vary. Coaching and therapy pricing varies by subscription. The subscription will automatically renew unless turned off in your iTunes Account Settings at least 24 hours before the current period ends. You can go to your iTunes Account settings to manage your subscription and turn off auto-renew. Your iTunes Account will be charged when the purchase is confirmed. If you subscribe before your free trial ends, the rest of your free trial period will be forfeited as soon as your purchase is confirmed. Headspace saves your meditation sessions to your Apple Health app. Read the terms and conditions here: http://www.headspace.com/terms-and-conditions Read the privacy policy here: https://www.headspace.com/privacy-policy","","","","","2026-05-31T01:48:26.216Z","high"
"Calm","Calm.com","ios","app_store_search","https://apps.apple.com/us/app/calm/id571800810?uo=4","mindfulness","meditation","3","Health & Fitness","4.77376","1956370","free","","","** Best of 2018 Award Winner ** — Apple ** 2017 App of the Year ** — Apple ** Happiest App in the World ** — Center for Humane Technology Calm is the #1 app for Sleep, Meditation and Relaxation. Sleep better, relieve stress, lower anxiety and refocus your attention. Explore an extensive library of guided meditations, Sleep Stories, breathwork, exclusive music and stretching exercises. Invest in your mental health and choose a guided meditation session that fits within your busy schedule. Add Calm to your daily routine and join the millions experiencing the life-changing benefits of practicing mindfulness. Beginners, intermediate and advanced users can all find their home in Calm. Let relaxing music and calming sounds help you meditate, focus and sleep better. Sleep Stories are bedtime stories that are guaranteed to lull you into a deep and restful slumber. Pick from 100+ exclusive Sleep Stories, featuring well-known talent such as Matthew McConaughey, Stephen Fry, Rosé, Jerome Flynn and P!nk. Calm is recommended by top psychologists, therapists and mental health experts. Take a deep breath and find your Calm. CALM FEATURES MEDITATION & MINDFULNESS * Meditate with seasoned experts, regardless of your experience level * Introduce mindfulness into your daily routine and learn to calm your mind * Mindfulness topics include Deep Sleep, Calming Anxiety, Managing Stress, Focus and Concentration, Breaking Habits, Happiness, Self-Esteem and so much more SLEEP STORIES * Sleep soundly listening to bedtime stories for adults and children alike * Wonder - Join Matthew McConaughey on a dreamy story about the mysteries of the universe * Blue Gold - Journey through the sleepy village of Provence with master storyteller Stephen Fry * The Nordland Night Train - Travel up the scenic coast of Norway aboard a remote railway * Happy Little Zzzs - Drift off to the soothing brush strokes of beloved painter Bob Ross RELAXATION & STRESS RELIEF * Learn to relax and lower stress with daily meditation and breathing exercises * Focus on a goal with Dailies - Reduce anxiety with daily 10-minute original programs like the Daily Calm with Tamara Levitt, the Daily Trip with Jeff Warren, or the Daily Jay with Jay Shetty * Shift your thinking and find your calm through inspiring stories with Wisdom * Daily Move: Mindful stretching and movement to relax your body during the day ALSO FEATURING * Daily Streaks & Mindful Minutes: Track and celebrate your progress * 7 and 21 day mindfulness programs for both beginner and advanced users * Music: Exclusive music engineered to help you focus, relax or sleep * Soundscapes to sleep: Ocean waves, Heavy Rain, Camp Fire, Babbling Brook and more Calm saves your meditation and sleep sessions to your Apple Health app. Subscription pricing and terms: Calm offers an auto-renewing monthly subscription at $14.99/month and an auto-renewing yearly subscription at $69.99/year to provide you with unlimited access to the Calm Collection while you maintain an active subscription. Calm also offers a Lifetime subscription for $399.99 which is paid for by a one-off upfront payment with unlimited access to the Calm Collection forever. Payment will be charged to the credit card connected to your iTunes Account when you confirm the initial subscription purchase. Subscriptions automatically renew unless auto-renew is turned off at least 24-hours before the end of the current subscription period. Your account will be charged for renewal within 24-hours prior to the end of the current period, and the cost of the renewal will be identified. You may manage your subscription and auto-renewal may be turned off by going to your Account Settings after the purchase. Any unused portion of a free trial period, if offered, will be forfeited when you purchase a subscription, where applicable. Read more about our terms and conditions here: Terms of service: https://www.calm.com/terms Privacy policy: https://www.calm.com/privacy","","","","","2026-05-31T01:48:26.216Z","high"
"Balance: Meditation & Sleep","The Mind Company","ios","app_store_search","https://apps.apple.com/us/app/balance-meditation-sleep/id1361356590?uo=4","mindfulness","meditation","4","Health & Fitness","4.88073","119464","free","","","Improve your stress, sleep, and more with Balance’s personalized guided meditation program. YOUR PERSONAL MEDITATION COACH Balance is your personal meditation coach. Each day, you’ll answer questions about your meditation experience, goals, and preferences. Using an audio library of thousands of files, Balance assembles a daily guided meditation that’s perfect for you. The more you share over time, the more personalized and effective your meditations become. LEARN MEDITATION FUNDAMENTALS Balance’s daily meditations are organized in 10-day Plans that teach fundamental meditation skills geared toward your goals and needs. You’ll discover how to bring awareness to your day, increase your focus among distractions, and find deep relaxation in moments of stress. CLEAR YOUR MIND ANYTIME, ANYWHERE Singles are bite-sized guided meditations you can use anytime—even on the go. Wake up gently with a morning meditation, stretch, and then make your commute less chaotic with a meditation customized to your journey. Clear your mind with animated breathing exercises, and lower your stress, find energy, and increase your focus with quick Relax, Energize, and Concentrate meditations—and many more. SLEEP WELL WITH BED-TIME RELAXATION EXERCISES You'll rest easy with our Sleep meditations, Sleep Sounds, and Wind Down activity—a first-of-its-kind interactive that uses bilateral stimulation and controlled breathing to help you relax before bed and find more restful sleep. You'll also experience cutting-edge Immersive Meditations, which blend vibrations, sound effects, and coach guidance to create a brand-new type of meditation experience. TAKE YOUR MEDITATION PRACTICE TO THE NEXT LEVEL Get started with our Foundations Plan, where you’ll train your focus and reduce anxiety. Or, if you already meditate often, start with our Advanced Plan, which helps you take your meditation practice to the next level. WHAT’S INCLUDED - Personalized guided meditations tailored to your mood and goals - 10-day Plans to help you develop your meditation skills - Bite-sized Single guided meditations you can use to get more out of any moment - First-of-their-kind Immersive Meditations to help you relax through a blend of vibration, sound effects, and guidance - Research-backed activities to help you relax and prepare for restful sleep - Mindful Minutes integration with Apple’s Health app - 10 concrete meditation techniques to build your practice: Breath Focus, Body Scan, and more In meditation, “one-size-fits-all” fits no one. We all have our own ways of finding relaxation, focus, and rest. With thousands of paths and options, Balance helps you reach your goals—your way—through guided meditation that adapts to you. SUBSCRIPTION DETAILS Start your free trial to experience the benefits of Balance. After the trial, Balance offers two auto-renewing subscriptions at $11.99/month and $69.99/year. These prices are for United States customers, pricing in other countries may vary. Your subscription will automatically renew at the end of each subscription term unless auto-renewal is turned off at least 24 hours before the end of the term. Subscription renewals cost the same as the original subscription, and your credit card will be charged through your iTunes account at confirmation of purchase. Balance also offers a Lifetime subscription which is paid for by a one-off upfront payment of $399.99 with unlimited access to the Balance library forever. For additional information, please read our Terms of Service (http://www.balanceapp.com/balance-terms.html) and Privacy Policy (http://www.balanceapp.com/balance-privacy.html).","","","","","2026-05-31T01:48:26.216Z","high"
"Medito: Mindfulness Meditation","Medito Foundation","ios","app_store_search","https://apps.apple.com/us/app/medito-mindfulness-meditation/id1500780518?uo=4","mindfulness","meditation","5","Health & Fitness","4.89907","4033","free","","","Free Meditation & Sleep — and always free. Join 2 million+ people finding daily calm with Medito, the pocket‑size studio for guided meditation, mindfulness courses, breathing exercises and sleep stories. Why Medito • 100 % free & non‑profit — built by Medito Foundation to keep mindfulness open to everyone • Courses for every goal — daily calm, focus boosts, anxiety SOS, mindful walking, loving‑kindness • Sleep stories & soundscapes — rain, ocean, white noise and whispered tales that send you to sleep • Personalised programmes — 7‑day starter, 30‑day challenges, advanced packs for any situation • Offline mode — download sessions and practise anywhere • Evidence‑based — a 2024 RCT showed Medito improves wellbeing (Remskar et al., 2024) How it works 1. Pick a mood or goal (Calm, Sleep, Focus, Anxiety relief) 2. Choose 3 – 30 minutes 3. Press play, breathe, enjoy • Breathing timers & body scans • Meditation packs for Students, Sleep, Anxiety and more • Streak tracking & gentle reminders • Dark‑mode‑friendly design Install Medito now — unlimited meditation in under a minute.","","","","","2026-05-31T01:48:26.216Z","high"
"Open: Breathwork + Meditation","Open Inc.","ios","app_store_search","https://apps.apple.com/us/app/open-breathwork-meditation/id1482725254?uo=4","mindfulness","meditation","6","Health & Fitness","4.87692","16437","free","","","“We believe that mindfulness is more than a form of stress relief — it can be a tool for personal growth, deeper understanding, vibrancy. More than a way to disconnect — it can be a way to feel a part of something bigger. More than simply silence — it can be immersive, beautiful, moving.” –Raed Khawaja, Open Co-founder & CEO Regulate your nervous system with Open. Bridge science and spirituality to cleanse your body and mind. Learn breathwork, meditation, and movement techniques designed by experts in neurobiology. Practice on the app and in-person at our flagship studio in Los Angeles. CLASSES BREATHE: Since the dawn of civilization, humans have developed techniques for manipulating our breath to induce desired states of consciousness. Now peer-reviewed studies in neuroscience and psychology confirm that breathwork is a powerful toolkit for regulating your nervous system, optimizing your health and well-being, and catalyzing personal transformation. Breathwork is an umbrella term for myriad practices, both ancient and modern. While many techniques are deeply rooted in spiritual traditions like Yoga, Qi Gong, and Buddhism, contemporary applications integrate ancient wisdom with modern science.This synthesis of ancient and modern has given rise to transformational breathwork, designed to induce profound experiences of catharsis, insight, and breakthrough. Experience a mental reset with just a few minutes of conscious breathing. MEDITATE: Train your awareness and contemplate wisdom – with techniques that span generations, cultures, and traditions – with our daily meditations and monthly programs. Learn how to enhance your focus, reduce your stress and anxiety, and regulate your emotions with simple mindfulness techniques you can incorporate into your daily life. MOVE: Our methodology is designed through the intelligence of fitness – blending endurance, strength, mobility, and recovery – with the wisdom of mindfulness. A ritual for resilience, strengthening the body and mind. ANYTIME, ANYWHERE: Practice on your time with our endless library, with fresh classes added daily. From simple 5-minute breathwork techniques, to 60-minute strength and conditioning classes, build your practice to fit your schedule and meet your goals. Whether you’re starting your journey or seeking a new challenge, there are classes for every level and mood. PROGRESS TRACKING: Create a daily habit that sticks with progress tracking, push reminders, streaks, and badges. A consistent breathwork and meditation practice has proven to reduce cortisol levels and regulate the nervous system–decreasing stress, supporting emotional well-being, and enhancing mental clarity. These techniques can also improve physical health by increasing heart rate variability, promoting cardiovascular health, and boosting immune function. CONNECT WITH US Questions? Email us: support@o-p-e-n.com. Follow along on Instagram: @op_e___n. NOTES Data: Open reads and writes data to the Apple Health App to help you track your Mindful minutes. No data is being sent outside of your device. This is optional. Pricing info: This pricing is for our customers in the United States. Pricing in other countries may vary. Your subscription to Open will automatically renew, unless you disable auto-renew at least 24 hours before the current period ends. You can turn off auto-renew or manage your subscription from your Apple account settings. Payment will be charged to your Apple account. You can read more about our terms of service here: https://o-p-e-n.com/terms and our privacy policy here: https://o-p-e-n.com/privacy.","","","","","2026-05-31T01:48:26.216Z","high"
"Waking Up: Meditation & Wisdom","Waking Up Course, LLC","ios","app_store_search","https://apps.apple.com/us/app/waking-up-meditation-wisdom/id1307736395?uo=4","mindfulness","meditation","7","Health & Fitness","4.92049","42379","free","","","Recognized as a 2025 Pick by NYT Wirecutter Featured as a 2026 pick for the App Store “App of the Day” Thousands worldwide call Waking Up life changing. Whether you want better sleep, more clarity, or deeper meditation, Waking Up is your complete guide. Testimonials “Waking Up has led to my most consistent meditation practice. Family and staff also use it because it’s such a powerful tool.” —Andrew Huberman, neuroscientist “Waking Up is a critical part of my daily practice. It’s my go-to for presence, peace, and well-being.” —Rich Roll, athlete & author “If you’ve had trouble getting into meditation, this app is your answer!” —Susan Cain, best-selling author What’s Inside - Introductory Course—a transformative 28-day program, for both beginners and experienced meditators - Daily Meditations—regular guided sessions with Sam Harris - Moments—short reflections when you need them most - Daily Quotes—a spark of insight each day - Reflections—breif lessons that shift perspective - Sleep—talks and meditations to help you rest - Meditation Timer—customize your own sessions - A vast library of meditations, theory sessions, life courses, conversations, and Q&As - Community—connect with members to discuss meditation, philosophy, psychedelics, and more Why Waking Up Stands Out Unlike conventional meditation apps, Waking Up blends practice with theory—so you not only learn to meditate but also understand how it transforms your mind. It’s meditation, science, and timeless wisdom in one place. Topics & Techniques Our library combines contemplative traditions with modern science, offering tools for both practice and understanding. Techniques include mindfulness (Vipassana), Loving-Kindness, body scans, yoga nidra, and nondual awareness practices from Dzogchen, Zen, and Advaita Vedanta. Topics span neuroscience, psychology, Stoicism, ethics, psychedelics, productivity, and happiness. Content & Teachers Created by neuroscientist and best-selling author Sam Harris, Waking Up features leading voices in meditation, philosophy, and psychology. - Practice—Vipassana, Zen, Dzogchen, Advaita Vedanta (Joseph Goldstein, Diana Winston, Adyashanti, Henry Shukman, Richard Lang) - Theory—the philosophy and science of consciousness, ethics, and well-being (Alan Watts, Charlotte Joko Beck, Joan Tollifson, James Low, Douglas Harding) - Life—mindfulness in relationships, productivity, Stoicism, and more (David Whyte, Oliver Burkeman, Matthew Walker, Amanda Knox, Donald Robertson, Bob Waldinger) - Conversations—Sam Harris with Yuval Noah Harari, Michael Pollan, Morgan Housel, Roland Griffiths, Cal Newport, Shinzen Young - Q&As—Sam Harris with Joseph Goldstein, Adyashanti, Henry Shukman, Jack Kornfield, Loch Kelly And many more subjects and teachers. Created by Sam Harris Neuroscientist and best-selling author Sam Harris built Waking Up as the resource he wished he’d had when he began meditating 30 years ago. Every practice, course, and teacher is chosen for its power to change lives. Free for Anyone Who Can’t Afford It We never want money to be the reason someone can’t benefit from our app. To learn about our scholarship program, reach out to support@wakingup.com. Subscriptions renew unless auto-renew is disabled 24 hours before the current period ends. Manage in Apple account settings. Payment charged to your Apple account. Terms: https://wakingup.com/terms-of-service/ Privacy: https://wakingup.com/privacy-policy/ Satisfaction guarantee: Email support@wakingup.com for a full refund.","","","","","2026-05-31T01:48:26.216Z","high"
"Happier Meditation","Happier Meditation, Inc","ios","app_store_search","https://apps.apple.com/us/app/happier-meditation/id992210239?uo=4","mindfulness","meditation","8","Health & Fitness","4.81691","142713","free","","","Welcome to Happier Meditation, formerly Ten Percent Happier, and recognized as an Apple ""Best Of"" Award-Winner. Discover a refreshing approach to mindfulness that meets you where you are—no perfection required. Happier Meditation is designed to support you through life’s ups and downs with ease and adaptability. Unlearn the myth that mindfulness needs to be calm and perfect. With over 500 guided meditations led by relatable expert teachers, Happier Meditation helps you find personalized practices that fit your unique needs and goals. Whether you're seeking relief from stress, anxiety, or trouble sleeping, our app offers a diverse range of tools and sessions to support your mental wellness and enhance your daily life. Key Features: • Personalized Meditation Plans: Create a meditation routine tailored to your specific needs and goals. Our plans help you find balance, insight, and relaxation in your daily life. • Extensive Content Library: Access over 500 guided sessions designed to address stress, anxiety, sleep, and more. Explore innovative formats like vertical videos for an engaging meditation experience. • Real-Life Practice: Learn from world-class teachers who share practical insights and demonstrate how they integrate mindfulness into their everyday routines. • Flexible Meditation Options: Discover various meditation formats designed to seamlessly fit into your lifestyle, making it easier to practice regularly and effectively. • Embrace Imperfection: Practice mindfulness without the pressure to be perfect. Happier Meditation supports you in finding relief and transformation, no matter where you start. Join us to discover doable and deeply meaningful mindfulness. Download Happier Meditation today to unlock a meditation practice that evolves with you. Embrace the tools and support you need to relax, find relief, and transform your life. With Happier Meditation, you’ll get more out of meditation to give more to every part of your life. Awards & Press: • #1 Top listed app in New York Times ‘How to Meditate’ guide • #1 in Apple’s ‘New Apps We Love’ • Featured on The Daily Show, Good Morning America, Nightline, The Rachael Ray Show, and more. Subscription Pricing and Terms: If you’d like to unlock full access to our 500+ videos and guided meditations, we offer auto-renewing monthly and yearly subscription membership options. If you select an auto-renewing subscription membership option, payment will be charged to your App Store Account at confirmation of purchase and your Happier Meditation subscription will automatically renew (at the duration selected) unless auto-renew is turned off at least 24 hours before the end of the current period; your credit card will be charged for renewal through your App Store account within 24-hours prior to the end of the current period. You can turn off an auto-renewing subscription at any time from your App Store Account Settings but refunds will not be issued for any unused portion of the term. Any unused portion of a free trial period, if offered, will be forfeited when you purchase a subscription, where applicable. For more information on our terms of service and privacy policy, please visit https://www.meditatehappier.com/terms-of-service OR https://www.meditatehappier.com/privacy-policy","","","","","2026-05-31T01:48:26.216Z","high"
"Breethe: Sleep & Meditation","OMG. I Can Meditate! Inc.","ios","app_store_search","https://apps.apple.com/us/app/breethe-sleep-meditation/id920161006?uo=4","mindfulness","meditation","9","Health & Fitness","4.74296","70868","free","","","Breethe was designed to understand what you need, recommend (or create) content that’s perfect for you, and actually help you relax & sleep. ~ HOW YOU’LL FEEL~ An app that actually gets YOU — meeting you in the moment with exactly what you need. BETTER, FASTER Quick relief from sleeplessness, anxiety, or overwhelm — right when you need it most. SUPPORTED, ALWAYS With 2,500+ meditations, hypnotherapy, music, sleep aids, and tools for every mood, there’s always something that helps. UNDERSTOOD, NOT JUDGED Personalized recommendations, guidance, and coaching that feel intuitive and caring, available 24/7. MORE LIKE YOURSELF Simple practices that help you reset, sleep deeply, and recharge your energy. BACK IN CONTROL Breethe empowers you to manage emotions, not just mask them — no matter what life throws your way. ~ WHAT YOU’LL GET ~ It’s like having all your favorite mental wellness apps all in one magic little bundle. AN A TO Z OF WAYS TO ZZZ Breethe gives you the most ways to relax and sleep better: meditations, hypnotherapy (exclusive to us!), EFT/tapping, sleep stories, bedtime visualizations, music, and soundscapes. MUSIC & SOUNDS FOR EVERY MOOD Curated playlists, binaural beats, and soundscapes you can customize — perfect for focus, relaxation, or sleep. BREE: YOUR PERSONAL WELLNESS GUIDE A friendly, empathetic in-app companion who gets to know you, recommends the right content, and helps you navigate Breethe’s entire library. 24/7 EXPERT COACHES Specialized AI coaches, developed with psychologists, that provide personalized guidance and emotional support for stress, sleep, relationships, and more MADE 4 YOU SESSIONS Instantly generated, high-quality tracks created on any topic you choose — from sleep and stress to confidence and relationships. Breethe is the only app that creates personalized wellness content just for you, on demand. SELF-CARE ON YOUR SCHEDULE Organized around real life with short, effective tracks (many under 5 minutes). And reminders and alarms to help you build those healthy habits. FROM ZERO TO ZEN 7-, 30-, and 90-day learn-to-meditate programs designed for beginners. Easy, approachable, and habit-forming. WORLD-RENOWNED EXPERTS, HERE FOR YOU Talks, masterclasses, and series from bestselling authors, psychologists, and thought leaders create the most supportive and effective experience. ~ BREETHE IN THE NEWS ~ “Life-changing and so simple even my 7-year-old daughter uses it! …Highly Recommend.” — InStyle Magazine “Super-easy guided meditations that even the most spirituality-averse person can get into.” — People Magazine “For those busiest amongst us, this is a great app for you.” — Harper’s Bazaar “There are plenty of meditation apps out there, but this is one of our favorites.” — Goop “Without a doubt the best and most comprehensive meditation app available in the App Store.” — AppPicker.com “A well thought-out app, fun but serious, playful and helpful… and very appealing.” — Mindful.org Selected Best New App by Apple in 95 countries. ~ ADDITIONAL FEATURES ~ Mindfulness programs for kids and teens Practical tools like alarms, favorites, reminders, and background music control Available on phone and tablet — progress syncs across devices Free version available as long as you want, or unlock all content with Premium Integrates with Apple Health (Mindful Minutes) Monthly membership autorenews for USD $14.99 per month Yearly plan membership autorenews for USD $89.99 per year Lifetime membership . one time payment of USD $179.99. Prices in USD may vary due to exchange rates. This app provides general wellness support and does not replace professional medical advice. Always seek a doctor’s advice before making medical decisions. NEED HELP ? Contact us at support@breethe.com. For more info, consult https://breethe.com/more/terms-and-conditions/ https://breethe.com/more/privacy-policy Copyright © 2015 OMG. I Can Meditate! Inc.","","","","","2026-05-31T01:48:26.216Z","high"
"Aura: Meditation & Sleep, CBT","Aura Health Inc.","ios","app_store_search","https://apps.apple.com/us/app/aura-meditation-sleep-cbt/id1114223104?uo=4","mindfulness","meditation","10","Health & Fitness","4.67088","34954","free","","","Find peace every day with Aura, the Best of Apple award winner. Transform your wellbeing & sleep with the world's most personalized, all-in-one app for mental wellness. ** Featured on: The New York Times, Forbes, The Oprah Magazine, Women’s & Men’s Health, and more. Join Aura’s community of 5 million people. Your all-in-one app for mental wellness Discover thousands of personalized mindfulness meditations, stories & sleep tales, life coaching, CBT (cognitive behavioral therapy), hypnosis, music & sounds, and much more. ** Why Aura? Most self-care apps provide one-size-fits-all libraries of generic meditation tracks that don't work for you. Aura brings together the world's best coaches, therapists, and storytellers with diverse expertise and creates a magical experience just for you. Feel your best every day with a daily wellness & sleep habit you love. How Aura works: 1. Share with Aura your needs & interests about your unique self 2. Aura uses billions of data points & the latest developments in personalization algorithm to understand what would resonate with you 3. Find personalized recommendations from thousands of tracks across meditation, CBT, stories, life coaching, hypnosis, and much more 4. Find your favorite coaches, build your personal playlist, and make Aura yours. Aura will continue to learn about your preferences. 5. Enjoy new content every day & constantly find new categories like CBT and hypnosis ** Access the world’s largest premium wellness library Enjoy thousands of meditations, stories, and life coaching from top mindfulness & life coaches and therapists around the world. ** Hundreds of top coaches, therapists, storytellers Aura is the #1 destination for top coaches & therapists. We feature diverse perspectives, voices, and teachings so you find the best fit for you. ** Sleep restfully, finally! You have meditations for sleep, sleep tales, music and sounds to help with insomnia. 98% report that Aura helps ** Relieve stress & anxiety on demand Aura is here for you whenever you need for anxiety relief & finding positivity. ** 98% users report Aura helps We have one of the most passionate communities - 5 million worldwide who love Aura. ** Only 3 minutes a day With Aura, it’s easy to create a daily, simple habit of self-care - starting at just 3 minutes a day to all night long. ** Nature & relaxation sounds Whether you need to take a moment to relax during the day, or you want some nature sounds to help you sleep – listen to thunder, rain, forest sounds and more. ** Sync your Mindful Minutes with Apple Health to support your wellness routine (optional) Start your free trial today. Aura Premium subscription: Unlimited access to the world’s largest library of premium wellness tracks, created by coaches, therapists, and storytellers around the world. Download tracks for offline use. Premium - Yearly subscription: $5.83 / month billed annually at $69.99 Your payment will be handled by Apple. Payment will be charged to iTunes account at confirmation of purchase. Subscription automatically renews unless auto-renew is turned off at least 24-hours before the end of the current period. Account will be charged for renewal within 24-hours prior to the end of the current period, and identify the cost of the renewal. Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase. No cancellation of the current subscription is allowed during active subscription period. Any unused portion of a free trial period will be forfeited when a subscription is purchased. Privacy Policy: http://aurahealth.io/privacy-policy/ Terms of Service: http://aurahealth.io/terms-of-service/ We're here to support you 24/7 at hello@aurahealth.io.","","","","","2026-05-31T01:48:26.216Z","high"
