source_id,niche,market,publisher,source_title,source_type,source_url,source_confidence_original,claim_count,source_type_score,directness_score,methodology_score,variance_risk,model_role,confidence_review_score,confidence_review_band,recommended_model_action
"SRC-MKT-0001","gaming","mobile gaming","Statista","Mobile Games - Worldwide","market_forecast_page","https://www.statista.com/outlook/dmo/digital-media/video-games/mobile-games/worldwide","Medium","0","1.5","1","0.5","low_variance","mechanic_and_monetization_benchmark_not_direct_tam","3","context_only","Keep as context only; do not anchor TAM/SAM without stronger source."
"SRC-MKT-0002","gaming","mobile gaming","Boston Consulting Group","How Platforms Are Colliding and Why This Will Spark the Next Era of Growth","analyst_pdf","https://web-assets.bcg.com/b3/fa/fd7443244a48a24fae8299ce0f34/video-gaming-report-2026-nov-2025-edit-02.pdf","High","2","3","1","2.5","low_variance","mechanic_and_monetization_benchmark_not_direct_tam","8.5","high_use","Keep outside direct TAM; use for monetization/progression benchmark only."
"SRC-MKT-0003","mindfulness","meditation and mindfulness apps","Stratistics MRC","Meditation And Mindfulness Apps Market","market_report_page","https://www.strategymrc.com/report/meditation-and-mindfulness-apps-market","Medium","2","2","3","1.5","medium_variance","direct_adjacent_reset_tam_anchor","8","high_use","Retain as model input; add competitor pricing/revenue proxy review before final claim."
"SRC-MKT-0004","avatar_identity","AI avatars","Global Market Insights","AI Avatars Market Size & Share 2026-2035","market_report_page","https://www.gminsights.com/industry-analysis/ai-avatars-market","Medium","2","2","1.5","1.5","high_variance","broad_avatar_ceiling_requires_consumer_discount","6","medium_use","Use as low/base/high range input only; require triangulation before final PDF claim."
"SRC-MKT-0005","coaching","coaching","International Coaching Federation","2026 ICF Coaching Futures Report","industry_pdf","https://icfcoachingfuturesreport.com/wp-content/uploads/sites/2/2026/01/icf-coaching-futures-report-2026.pdf","High","2","3","2","2.5","low_variance","supporting_context","9.5","high_use","Separate enterprise/career coaching from consumer daily ritual coaching before final sizing."
"SRC-MKT-0006","astrology_esoterics","astrology apps","Research and Markets","Astrology App Market Report 2026","market_report_page","https://www.researchandmarkets.com/reports/6090017/astrology-app-market-report","Low","0","2","3","1.5","medium_variance","direct_adjacent_tam_anchor_requires_variance_review","6","medium_use","Retain as model input; add competitor pricing/revenue proxy review before final claim."
"SRC-MKT-0007","astrology_esoterics","astrology apps","Econ Market Research","Astrology App Market","market_report_page","https://www.econmarketresearch.com/industry-report/astrology-app-market/","Low","1","2","3","0.5","medium_variance","direct_adjacent_tam_anchor_requires_variance_review","6","medium_use","Retain as model input; add competitor pricing/revenue proxy review before final claim."
"SRC-MKT-0008","astrology_esoterics","astrology apps","Global Growth Insights","Astrology App Market Research Report 2035","market_report_page","https://www.globalgrowthinsights.com/market-reports/astrology-app-market-114903","Low","1","2","3","0.5","medium_variance","direct_adjacent_tam_anchor_requires_variance_review","6","medium_use","Retain as model input; add competitor pricing/revenue proxy review before final claim."
"SRC-MKT-0009","astrology_esoterics","astrology apps","Research and Markets","Astrology App Market Report 2026","market_report_page","https://www.researchandmarkets.com/reports/6090017/astrology-app-market-report","Medium","1","2","3","1.5","medium_variance","direct_adjacent_tam_anchor_requires_variance_review","7","medium_use","Retain as model input; add competitor pricing/revenue proxy review before final claim."
"SRC-MKT-0010","coaching","AI career coach","Research and Markets via GlobeNewswire","AI Career Coach Global Market Report 2026","press_release","https://www.globenewswire.com/news-release/2026/04/27/3281439/0/en/ai-career-coach-global-market-report-2026-revenue-expected-to-reach-6-69b-in-2026-ai-driven-learning-fuels-exponential-growth.html","Medium","1","1.5","1.5","1.5","low_variance","adjacent_coaching_benchmark_requires_consumer_discount","5.5","low_use_range_only","Separate enterprise/career coaching from consumer daily ritual coaching before final sizing."
"SRC-MKT-0011","coaching","coaching platforms","Future Market Insights","Coaching Platform Market","market_report_page","https://www.futuremarketinsights.com/reports/coaching-platform-market","Medium","1","2","1.5","0.5","low_variance","adjacent_coaching_benchmark_requires_consumer_discount","5","low_use_range_only","Separate enterprise/career coaching from consumer daily ritual coaching before final sizing."
"SRC-MKT-0012","coaching","coaching platforms","Persistence Market Research","Coaching Platform Market Size Share and Growth Forecast","market_report_page","https://www.persistencemarketresearch.com/market-research/coaching-platform-market.asp","Medium","1","2","1.5","0.5","low_variance","adjacent_coaching_benchmark_requires_consumer_discount","5","low_use_range_only","Separate enterprise/career coaching from consumer daily ritual coaching before final sizing."
