message_id,bridge_id,segment_id,segment_name,channel_id,message_variant,subject_or_hook,outreach_copy,follow_up_copy,consent_note,success_metric,linked_bridge_id
"ICP_A_CH_REFERRAL_M01","ICP_A_CH_REFERRAL","ICP_A","Spiritual self-improvers","CH_REFERRAL","transparent_research_invite","Research chat about Turn symbolic/personal meaning into one grounded action today.","Hi, I am researching how people use apps or rituals to turn symbolic/personal meaning into one grounded action today. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_A_CH_REFERRAL"
"ICP_A_CH_COMMUNITY_M01","ICP_A_CH_COMMUNITY","ICP_A","Spiritual self-improvers","CH_COMMUNITY","transparent_research_invite","Research chat about Turn symbolic/personal meaning into one grounded action today.","Hi, I am researching how people use apps or rituals to turn symbolic/personal meaning into one grounded action today. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_A_CH_COMMUNITY"
"ICP_A_CH_SOCIAL_PROOF_M01","ICP_A_CH_SOCIAL_PROOF","ICP_A","Spiritual self-improvers","CH_SOCIAL_PROOF","transparent_research_invite","Research chat about Turn symbolic/personal meaning into one grounded action today.","Hi, I am researching how people use apps or rituals to turn symbolic/personal meaning into one grounded action today. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_A_CH_SOCIAL_PROOF"
"ICP_A_CH_FORUM_LANGUAGE_M01","ICP_A_CH_FORUM_LANGUAGE","ICP_A","Spiritual self-improvers","CH_FORUM_LANGUAGE","transparent_research_invite","Research chat about Turn symbolic/personal meaning into one grounded action today.","Hi, I am researching how people use apps or rituals to turn symbolic/personal meaning into one grounded action today. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_A_CH_FORUM_LANGUAGE"
"ICP_D_CH_REFERRAL_M01","ICP_D_CH_REFERRAL","ICP_D","Habit and progress users","CH_REFERRAL","transparent_research_invite","Research chat about Make vague growth concrete and keep momentum without streak anxiety.","Hi, I am researching how people use apps or rituals to make vague growth concrete and keep momentum without streak anxiety. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_D_CH_REFERRAL"
"ICP_D_CH_COMMUNITY_M01","ICP_D_CH_COMMUNITY","ICP_D","Habit and progress users","CH_COMMUNITY","transparent_research_invite","Research chat about Make vague growth concrete and keep momentum without streak anxiety.","Hi, I am researching how people use apps or rituals to make vague growth concrete and keep momentum without streak anxiety. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_D_CH_COMMUNITY"
"ICP_D_CH_SOCIAL_PROOF_M01","ICP_D_CH_SOCIAL_PROOF","ICP_D","Habit and progress users","CH_SOCIAL_PROOF","transparent_research_invite","Research chat about Make vague growth concrete and keep momentum without streak anxiety.","Hi, I am researching how people use apps or rituals to make vague growth concrete and keep momentum without streak anxiety. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_D_CH_SOCIAL_PROOF"
"ICP_D_CH_FORUM_LANGUAGE_M01","ICP_D_CH_FORUM_LANGUAGE","ICP_D","Habit and progress users","CH_FORUM_LANGUAGE","transparent_research_invite","Research chat about Make vague growth concrete and keep momentum without streak anxiety.","Hi, I am researching how people use apps or rituals to make vague growth concrete and keep momentum without streak anxiety. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_D_CH_FORUM_LANGUAGE"
"ICP_C_CH_REFERRAL_M01","ICP_C_CH_REFERRAL","ICP_C","Anxious daily reset users","CH_REFERRAL","transparent_research_invite","Research chat about Calm down quickly and return to the day with one manageable next step.","Hi, I am researching how people use apps or rituals to calm down quickly and return to the day with one manageable next step. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_C_CH_REFERRAL"
"ICP_C_CH_COMMUNITY_M01","ICP_C_CH_COMMUNITY","ICP_C","Anxious daily reset users","CH_COMMUNITY","transparent_research_invite","Research chat about Calm down quickly and return to the day with one manageable next step.","Hi, I am researching how people use apps or rituals to calm down quickly and return to the day with one manageable next step. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_C_CH_COMMUNITY"
"ICP_C_CH_SOCIAL_PROOF_M01","ICP_C_CH_SOCIAL_PROOF","ICP_C","Anxious daily reset users","CH_SOCIAL_PROOF","transparent_research_invite","Research chat about Calm down quickly and return to the day with one manageable next step.","Hi, I am researching how people use apps or rituals to calm down quickly and return to the day with one manageable next step. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_C_CH_SOCIAL_PROOF"
"ICP_C_CH_FORUM_LANGUAGE_M01","ICP_C_CH_FORUM_LANGUAGE","ICP_C","Anxious daily reset users","CH_FORUM_LANGUAGE","transparent_research_invite","Research chat about Calm down quickly and return to the day with one manageable next step.","Hi, I am researching how people use apps or rituals to calm down quickly and return to the day with one manageable next step. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_C_CH_FORUM_LANGUAGE"
"ICP_E_CH_REFERRAL_M01","ICP_E_CH_REFERRAL","ICP_E","Cozy/casual progression users","CH_REFERRAL","transparent_research_invite","Research chat about Return because progress feels gentle, visible, and emotionally rewarding.","Hi, I am researching how people use apps or rituals to return because progress feels gentle, visible, and emotionally rewarding. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_E_CH_REFERRAL"
"ICP_E_CH_COMMUNITY_M01","ICP_E_CH_COMMUNITY","ICP_E","Cozy/casual progression users","CH_COMMUNITY","transparent_research_invite","Research chat about Return because progress feels gentle, visible, and emotionally rewarding.","Hi, I am researching how people use apps or rituals to return because progress feels gentle, visible, and emotionally rewarding. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_E_CH_COMMUNITY"
"ICP_E_CH_SOCIAL_PROOF_M01","ICP_E_CH_SOCIAL_PROOF","ICP_E","Cozy/casual progression users","CH_SOCIAL_PROOF","transparent_research_invite","Research chat about Return because progress feels gentle, visible, and emotionally rewarding.","Hi, I am researching how people use apps or rituals to return because progress feels gentle, visible, and emotionally rewarding. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_E_CH_SOCIAL_PROOF"
"ICP_E_CH_FORUM_LANGUAGE_M01","ICP_E_CH_FORUM_LANGUAGE","ICP_E","Cozy/casual progression users","CH_FORUM_LANGUAGE","transparent_research_invite","Research chat about Return because progress feels gentle, visible, and emotionally rewarding.","Hi, I am researching how people use apps or rituals to return because progress feels gentle, visible, and emotionally rewarding. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_E_CH_FORUM_LANGUAGE"
"ICP_F_CH_REFERRAL_M01","ICP_F_CH_REFERRAL","ICP_F","Coaching professionals and structured growth users","CH_REFERRAL","transparent_research_invite","Research chat about Get structured guidance that turns intention into accountable practice.","Hi, I am researching how people use apps or rituals to get structured guidance that turns intention into accountable practice. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_F_CH_REFERRAL"
"ICP_F_CH_COMMUNITY_M01","ICP_F_CH_COMMUNITY","ICP_F","Coaching professionals and structured growth users","CH_COMMUNITY","transparent_research_invite","Research chat about Get structured guidance that turns intention into accountable practice.","Hi, I am researching how people use apps or rituals to get structured guidance that turns intention into accountable practice. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_F_CH_COMMUNITY"
"ICP_F_CH_SOCIAL_PROOF_M01","ICP_F_CH_SOCIAL_PROOF","ICP_F","Coaching professionals and structured growth users","CH_SOCIAL_PROOF","transparent_research_invite","Research chat about Get structured guidance that turns intention into accountable practice.","Hi, I am researching how people use apps or rituals to get structured guidance that turns intention into accountable practice. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_F_CH_SOCIAL_PROOF"
"ICP_F_CH_FORUM_LANGUAGE_M01","ICP_F_CH_FORUM_LANGUAGE","ICP_F","Coaching professionals and structured growth users","CH_FORUM_LANGUAGE","transparent_research_invite","Research chat about Get structured guidance that turns intention into accountable practice.","Hi, I am researching how people use apps or rituals to get structured guidance that turns intention into accountable practice. If this is something you have done recently, I would love to ask a few questions in a 25-35 minute opt-in research chat. No pitch, no hidden signup, and you can skip anything uncomfortable.","Quick follow-up: the useful part for us is your recent real behavior, not whether you like a concept. If you are open to it, we will ask about the last tool or ritual you used and show a tiny prototype flow for feedback.","Be explicit that this is research, ask permission before recording, allow participant to decline questions, and do not contact people through private scraped data.","qualified_reply_or_scheduled_session","ICP_F_CH_FORUM_LANGUAGE"
