capture_id,segment_id,segment_name,participant_slot,screen_id,screen_name,stimulus_copy,capture_status,observed_behavior,participant_paraphrase,success_signal_seen,failure_signal_seen,metric_ids_to_score,researcher_notes,claim_update_target
"PVS_ICP_A_P01_S01_ENTRY","ICP_A","Spiritual self-improvers","P01","S01_ENTRY","Daily meaning entry","Today is for turning one real feeling into one small proof. Pick the theme that feels alive right now.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P01_S02_REFLECTION","ICP_A","Spiritual self-improvers","P01","S02_REFLECTION","Tiny context prompt","One sentence only: what do you want to feel different by tonight?","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P01_S03_ACTION_CARD","ICP_A","Spiritual self-improvers","P01","S03_ACTION_CARD","One grounded action","Your action: send one honest message, tidy one visible surface, or take a two-minute walk. Pick the one that proves your theme.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P01_S04_RESET","ICP_A","Spiritual self-improvers","P01","S04_RESET","Short reset","Before you do it: breathe out once, unclench your jaw, name the smallest next move.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P01_S05_COMPLETION","ICP_A","Spiritual self-improvers","P01","S05_COMPLETION","Action evidence","Proof, not perfection: tap Done and choose how it felt: lighter, clearer, braver, steadier, no change.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P01_S06_AVATAR_CHANGE","ICP_A","Spiritual self-improvers","P01","S06_AVATAR_CHANGE","Identity/avatar feedback","Your future-self signal brightened because you acted. Today added one visible layer: clarity.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P01_S07_TOMORROW_HOOK","ICP_A","Spiritual self-improvers","P01","S07_TOMORROW_HOOK","Next-day hook","Tomorrow, we will build on this gently. No streak punishment. Just one more proof.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P01_S08_VALUE_CHECK","ICP_A","Spiritual self-improvers","P01","S08_VALUE_CHECK","Immediate value check","What did Alina help you do: understand yourself, pick an action, calm down, see progress, or none?","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P02_S01_ENTRY","ICP_A","Spiritual self-improvers","P02","S01_ENTRY","Daily meaning entry","Today is for turning one real feeling into one small proof. Pick the theme that feels alive right now.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P02_S02_REFLECTION","ICP_A","Spiritual self-improvers","P02","S02_REFLECTION","Tiny context prompt","One sentence only: what do you want to feel different by tonight?","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P02_S03_ACTION_CARD","ICP_A","Spiritual self-improvers","P02","S03_ACTION_CARD","One grounded action","Your action: send one honest message, tidy one visible surface, or take a two-minute walk. Pick the one that proves your theme.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P02_S04_RESET","ICP_A","Spiritual self-improvers","P02","S04_RESET","Short reset","Before you do it: breathe out once, unclench your jaw, name the smallest next move.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P02_S05_COMPLETION","ICP_A","Spiritual self-improvers","P02","S05_COMPLETION","Action evidence","Proof, not perfection: tap Done and choose how it felt: lighter, clearer, braver, steadier, no change.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P02_S06_AVATAR_CHANGE","ICP_A","Spiritual self-improvers","P02","S06_AVATAR_CHANGE","Identity/avatar feedback","Your future-self signal brightened because you acted. Today added one visible layer: clarity.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P02_S07_TOMORROW_HOOK","ICP_A","Spiritual self-improvers","P02","S07_TOMORROW_HOOK","Next-day hook","Tomorrow, we will build on this gently. No streak punishment. Just one more proof.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P02_S08_VALUE_CHECK","ICP_A","Spiritual self-improvers","P02","S08_VALUE_CHECK","Immediate value check","What did Alina help you do: understand yourself, pick an action, calm down, see progress, or none?","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P03_S01_ENTRY","ICP_A","Spiritual self-improvers","P03","S01_ENTRY","Daily meaning entry","Today is for turning one real feeling into one small proof. Pick the theme that feels alive right now.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P03_S02_REFLECTION","ICP_A","Spiritual self-improvers","P03","S02_REFLECTION","Tiny context prompt","One sentence only: what do you want to feel different by tonight?","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P03_S03_ACTION_CARD","ICP_A","Spiritual self-improvers","P03","S03_ACTION_CARD","One grounded action","Your action: send one honest message, tidy one visible surface, or take a two-minute walk. Pick the one that proves your theme.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P03_S04_RESET","ICP_A","Spiritual self-improvers","P03","S04_RESET","Short reset","Before you do it: breathe out once, unclench your jaw, name the smallest next move.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P03_S05_COMPLETION","ICP_A","Spiritual self-improvers","P03","S05_COMPLETION","Action evidence","Proof, not perfection: tap Done and choose how it felt: lighter, clearer, braver, steadier, no change.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P03_S06_AVATAR_CHANGE","ICP_A","Spiritual self-improvers","P03","S06_AVATAR_CHANGE","Identity/avatar feedback","Your future-self signal brightened because you acted. Today added one visible layer: clarity.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P03_S07_TOMORROW_HOOK","ICP_A","Spiritual self-improvers","P03","S07_TOMORROW_HOOK","Next-day hook","Tomorrow, we will build on this gently. No streak punishment. Just one more proof.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P03_S08_VALUE_CHECK","ICP_A","Spiritual self-improvers","P03","S08_VALUE_CHECK","Immediate value check","What did Alina help you do: understand yourself, pick an action, calm down, see progress, or none?","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P04_S01_ENTRY","ICP_A","Spiritual self-improvers","P04","S01_ENTRY","Daily meaning entry","Today is for turning one real feeling into one small proof. Pick the theme that feels alive right now.","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
"PVS_ICP_A_P04_S02_REFLECTION","ICP_A","Spiritual self-improvers","P04","S02_REFLECTION","Tiny context prompt","One sentence only: what do you want to feel different by tonight?","not_started","","","","","PVS_M01|PVS_M02|PVS_M03|PVS_M04|PVS_M05|PVS_M06","","data_processed/prototype_validation_scorecard.csv"
