review_rank,record_id,app_name,niche,platform,source_kind,keyword,rating,review_count,pricing_type,feature_tags,audience_tags,pillar_count,whitespace_score,source_url,manual_status,direct_threat_level,has_birthdate_or_spiritual_context,has_daily_action,has_reset_practice,has_avatar_progression,has_visible_progression,pricing_notes,review_notes
"1","CMP-004671","Shepherd: Spiritual Bible BFF","astrology_esoterics","ios","app_store_search","daily spiritual guidance","4.82929","8248","free","ai|astrology|manifestation_spirituality|avatar_identity|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers","5","10","https://apps.apple.com/us/app/shepherd-spiritual-bible-bff/id6745461941?uo=4","pending","","","","","","","",""
"2","CMP-007022","Pitstop: Scale Human Potential","avatar_identity","ios","app_store_search","avatar coaching","4.42856","14","free","ai|tarot_or_oracle|avatar_identity|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|self_improvement_users|casual_gamers|coaching_professionals","5","10","https://apps.apple.com/us/app/pitstop-scale-human-potential/id6470808583?uo=4","pending","","","","","","","",""
"3","CMP-008783","Pitstop: Scale Human Potential","coaching","ios","app_store_search","mindset coach","4.42856","14","free","ai|tarot_or_oracle|avatar_identity|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|self_improvement_users|casual_gamers|coaching_professionals","5","10","https://apps.apple.com/us/app/pitstop-scale-human-potential/id6470808583?uo=4","pending","","","","","","","",""
"4","CMP-001705","ModernSam: LVL up your life","gaming","ios","app_store_search","gamified self improvement","4.78571","70","free","ai|manifestation_spirituality|avatar_identity|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|anxious_stressed_users|self_improvement_users|casual_gamers|coaching_professionals","5","9","https://apps.apple.com/us/app/modernsam-lvl-up-your-life/id6469438038?uo=4","pending","","","","","","","",""
"5","CMP-003381","Muna: Astrology & Horoscope","astrology_esoterics","ios","app_store_search","horoscope","4.76471","17","free","ai|astrology|tarot_or_oracle|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers|coaching_professionals","5","9","https://apps.apple.com/us/app/muna-astrology-horoscope/id6474508082?uo=4","pending","","","","","","","",""
"6","CMP-003612","yap: astrology & dream journal","astrology_esoterics","ios","app_store_search","birth chart","4.60656","61","free","ai|astrology|tarot_or_oracle|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|casual_gamers|coaching_professionals","5","9","https://apps.apple.com/us/app/yap-astrology-dream-journal/id6744795314?uo=4","pending","","","","","","","",""
"7","CMP-003827","Lunaria AI - Soulmate Drawing","astrology_esoterics","ios","app_store_search","numerology","4.65385","26","free","ai|astrology|tarot_or_oracle|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users|casual_gamers|coaching_professionals","5","9","https://apps.apple.com/us/app/lunaria-ai-soulmate-drawing/id6476827721?uo=4","pending","","","","","","","",""
"8","CMP-004069","Law of Attraction Toolbox","astrology_esoterics","ios","app_store_search","manifestation","4.80409","2935","free","ai|astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers|coaching_professionals","5","9","https://apps.apple.com/us/app/law-of-attraction-toolbox/id1287758917?uo=4","pending","","","","","","","",""
"9","CMP-004090","Vision Board ++ Maker Manifest","astrology_esoterics","ios","app_store_search","manifestation","4.86158","2933","free","ai|astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers","5","9","https://apps.apple.com/us/app/vision-board-maker-manifest/id1609921022?uo=4","pending","","","","","","","",""
"10","CMP-004119","369 Manifestation & Meditation","astrology_esoterics","ios","app_store_search","manifestation","2.33333","12","free","ai|astrology|manifestation_spirituality|photo_video_generation|coaching|habits_streaks|mindfulness|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|anxious_stressed_users|self_improvement_users","5","9","https://apps.apple.com/us/app/369-manifestation-meditation/id1663677921?uo=4","pending","","","","","","","",""
"11","CMP-004613","Zodya Tarot Coffee Reading AI","astrology_esoterics","ios","app_store_search","AI astrologer","4.4084","262","free","ai|astrology|tarot_or_oracle|photo_video_generation|coaching|habits_streaks|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users|casual_gamers|coaching_professionals","5","9","https://apps.apple.com/us/app/zodya-tarot-coffee-reading-ai/id6474906451?uo=4","pending","","","","","","","",""
"12","CMP-004805","LunaMate: AI Fanstasy Roleplay","astrology_esoterics","ios","app_store_search","tarot AI chat","4.47244","381","free","ai|astrology|tarot_or_oracle|avatar_identity|coaching|journaling_mood|gaming_progression|social_community","gen_z_creator_identity|spiritual_seekers|self_improvement_users","5","9","https://apps.apple.com/us/app/lunamate-ai-fanstasy-roleplay/id6752447843?uo=4","pending","","","","","","","",""
