source_layer,market,app_name,monetization_signal,observed_price_signal,evidence_quality,source_url,interpretation
"app_store_iap","astrology_esoterics","Shepherd: Spiritual Bible BFF","subscription_like:1|trial_like:1|consumable_or_unlock:2|unclear_iap:3","4.99-59.99","medium_high","https://apps.apple.com/us/app/shepherd-spiritual-bible-bff/id6745461941?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","coaching","Pitstop: Scale Human Potential","subscription_like:4","14.99-99.99","medium_high","https://apps.apple.com/us/app/pitstop-scale-human-potential/id6470808583?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","coaching","Pitstop: Scale Human Potential","subscription_like:4","14.99-99.99","medium_high","https://apps.apple.com/us/app/pitstop-scale-human-potential/id6470808583?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","ModernSam: LVL up your life","subscription_like:2|consumable_or_unlock:5","2.99-35.90","medium_high","https://apps.apple.com/us/app/modernsam-lvl-up-your-life/id6469438038?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Muna: Astrology & Horoscope","unclear_iap:7|consumable_or_unlock:3","0.99-99.99","medium_high","https://apps.apple.com/us/app/muna-astrology-horoscope/id6474508082?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
"app_store_iap","astrology_esoterics","yap: astrology & dream journal","subscription_like:8","1.99-99.99","medium_high","https://apps.apple.com/us/app/yap-astrology-dream-journal/id6744795314?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Lunaria AI - Soulmate Drawing","subscription_like:8|trial_like:1|lifetime_like:1","4.99-39.99","medium_high","https://apps.apple.com/us/app/lunaria-ai-soulmate-drawing/id6476827721?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Law of Attraction Toolbox","subscription_like:6|lifetime_like:1","2.99-99.99","medium_high","https://apps.apple.com/us/app/law-of-attraction-toolbox/id1287758917?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Vision Board ++ Maker Manifest","subscription_like:5","2.99-29.99","medium_high","https://apps.apple.com/us/app/vision-board-maker-manifest/id1609921022?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","mindfulness","369 Manifestation & Meditation","unclear_iap:4|consumable_or_unlock:4","0.99-6.99","medium_high","https://apps.apple.com/us/app/369-manifestation-meditation/id1663677921?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
"app_store_iap","astrology_esoterics","Zodya Tarot Coffee Reading AI","unclear_iap:2|subscription_like:3","7.99-49.99","medium_high","https://apps.apple.com/us/app/zodya-tarot-coffee-reading-ai/id6474906451?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","avatar_identity","LunaMate: AI Fanstasy Roleplay","subscription_like:2|lifetime_like:1|consumable_or_unlock:4","14.99-79.99","medium_high","https://apps.apple.com/us/app/lunamate-ai-fanstasy-roleplay/id6752447843?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","avatar_identity","Kokoa AI: Roleplay AI Chat","subscription_like:2|unclear_iap:6|lifetime_like:1","6.99-79.99","medium_high","https://apps.apple.com/us/app/kokoa-ai-roleplay-ai-chat/id6755166256?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Harem AI - Chat & Talk & Crush","subscription_like:3|unclear_iap:6|lifetime_like:1","0.99-99.99","medium_high","https://apps.apple.com/us/app/harem-ai-chat-talk-crush/id6636491359?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","avatar_identity","Spark AI: Chat with Characters","unclear_iap:12|subscription_like:4","9.99-79.99","medium_high","https://apps.apple.com/us/app/spark-ai-chat-with-characters/id6757587521?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","avatar_identity","Pregnancy Tracker 3D by Sprout","subscription_like:9|unclear_iap:1","3.99-59.99","medium_high","https://apps.apple.com/us/app/pregnancy-tracker-3d-by-sprout/id441977097?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","avatar_identity","Soulful Navigation","subscription_like:2|consumable_or_unlock:2","32.99-99.99","medium_high","https://apps.apple.com/us/app/soulful-navigation/id1641577381?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","coaching","Habit Tracker - AI Planner","subscription_like:8|trial_like:4","2.99-49.99","medium_high","https://apps.apple.com/us/app/habit-tracker-ai-planner/id6741158668?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","avatar_identity","OtterLife: AI Health Tracker","subscription_like:18|lifetime_like:6","15.99-74.99","medium_high","https://apps.apple.com/us/app/otterlife-ai-health-tracker/id6475028592?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Mindvalley: Self Improvement","unclear_iap:7|subscription_like:1","19.99-399.00","medium_high","https://apps.apple.com/us/app/mindvalley-self-improvement/id1108786610?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","coaching","LifeWheel Goal Habit Tracker","unclear_iap:7|lifetime_like:1|subscription_like:1","5.99-79.99","medium_high","https://apps.apple.com/us/app/lifewheel-goal-habit-tracker/id988402523?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Intuitive Life Coaching Oracle","unclear_iap:3","9.99-9.99","medium_high","https://apps.apple.com/us/app/intuitive-life-coaching-oracle/id662136391?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
"app_store_iap","avatar_identity","InfluAI: Be an influencer","unclear_iap:9","1.99-49.99","medium_high","https://apps.apple.com/us/app/influai-be-an-influencer/id6740871243?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
"app_store_iap","coaching","QuitBuddy: Quit Addiction","subscription_like:7|unclear_iap:2","9.99-49.99","medium_high","https://apps.apple.com/us/app/quitbuddy-quit-addiction/id6746153065?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","TwinFlame","unclear_iap:4","2.99-7.99","medium_high","https://apps.apple.com/us/app/twinflame/id1461412482?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
"app_store_iap","avatar_identity","Ask Nithyananda AI","unclear_iap:3","54.00-509.00","medium_high","https://apps.apple.com/us/app/ask-nithyananda-ai/id6753165996?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
"app_store_iap","avatar_identity","AI Chatbot - Chat Companion","unclear_iap:2","6.99-59.99","medium_high","https://apps.apple.com/us/app/ai-chatbot-chat-companion/id6449010121?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
"app_store_iap","gaming","Cozy Mahjong","subscription_like:1","1.99-1.99","medium_high","https://apps.apple.com/us/app/cozy-mahjong/id6615063639?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","coaching","Orakemu - Planner Journal Todo","subscription_like:2","2.99-49.99","medium_high","https://apps.apple.com/us/app/orakemu-planner-journal-todo/id6737979775?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","avatar_identity","OtterLife: AI Health Tracker","subscription_like:18|lifetime_like:6","15.99-74.99","medium_high","https://apps.apple.com/us/app/otterlife-ai-health-tracker/id6475028592?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","avatar_identity","HootieLife: AI Wellness Coach","subscription_like:4","12.99-119.99","medium_high","https://apps.apple.com/us/app/hootielife-ai-wellness-coach/id6744328233?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Kindara: Fertility Tracker","subscription_like:3","4.99-49.99","medium_high","https://apps.apple.com/us/app/kindara-fertility-tracker/id522674372?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","mindfulness","Haute Hypnosis - Mind Manifest","subscription_like:5|lifetime_like:1","5.99-99.00","medium_high","https://apps.apple.com/us/app/haute-hypnosis-mind-manifest/id1632227512?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Magnetic - Manifestation App","subscription_like:5|unclear_iap:4|consumable_or_unlock:1","1.99-132.99","medium_high","https://apps.apple.com/us/app/magnetic-manifestation-app/id6758529128?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Affirmations - Mood Mantra","subscription_like:3|lifetime_like:1","4.99-19.99","medium_high","https://apps.apple.com/us/app/affirmations-mood-mantra/id6449228979?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","5 Minute Journal・Daily Diary","subscription_like:8|trial_like:1","4.99-39.99","medium_high","https://apps.apple.com/us/app/5-minute-journal-daily-diary/id1062945251?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Intuitive Life Coaching Oracle","unclear_iap:3","9.99-9.99","medium_high","https://apps.apple.com/us/app/intuitive-life-coaching-oracle/id662136391?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
"app_store_iap","astrology_esoterics","Guiding Light Oracle Cards","unclear_iap:1","9.99-9.99","medium_high","https://apps.apple.com/us/app/guiding-light-oracle-cards/id1007296363?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
"app_store_iap","mindfulness","Mind Power: Guided Meditations","subscription_like:4","5.99-69.99","medium_high","https://apps.apple.com/us/app/mind-power-guided-meditations/id1645046083?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","avatar_identity","Daily Burn: Workout Coach","unclear_iap:3|subscription_like:5","9.99-149.99","medium_high","https://apps.apple.com/us/app/daily-burn-workout-coach/id472322122?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","word119: Daily Bible Verse","subscription_like:2|consumable_or_unlock:1","3.99-29.99","medium_high","https://apps.apple.com/us/app/word119-daily-bible-verse/id6747212950?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Daily Bible Verse - Biblify","subscription_like:4|unclear_iap:3","6.99-29.99","medium_high","https://apps.apple.com/us/app/daily-bible-verse-biblify/id1372744723?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Good Morning Messages & Images","subscription_like:3|unclear_iap:7","0.99-49.99","medium_high","https://apps.apple.com/us/app/good-morning-messages-images/id1566133213?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","mindfulness","Yoga International","subscription_like:2","19.99-169.00","medium_high","https://apps.apple.com/us/app/yoga-international/id1176695165?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","avatar_identity","PALs by Tavus: AI Companions","unclear_iap:2|subscription_like:2","19.99-49.99","medium_high","https://apps.apple.com/us/app/pals-by-tavus-ai-companions/id6758316493?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","mindfulness","Unplug: Meditation","unclear_iap:3","12.99-69.99","medium_high","https://apps.apple.com/us/app/unplug-meditation/id1188080269?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
"app_store_iap","astrology_esoterics","Testimonio","subscription_like:2|lifetime_like:1","4.99-79.99","medium_high","https://apps.apple.com/us/app/testimonio/id1199335009?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","mindfulness","HOLOSYNC® MEDITATION: BRAINWAVE TRAINING FOR RELAXATION, PROSPERITY, LOVE, HEALTH & SUCCESS","unclear_iap:8","6.99-19.99","medium_high","https://apps.apple.com/us/app/holosync-meditation-brainwave-training-for-relaxation/id732850216?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
"app_store_iap","astrology_esoterics","Mani: Law of Assumption","subscription_like:9","4.99-89.99","medium_high","https://apps.apple.com/us/app/mani-law-of-assumption/id6757284404?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","Rift: Reality Shifting","subscription_like:2","2.99-34.99","medium_high","https://apps.apple.com/us/app/rift-reality-shifting/id6761221718?uo=4","Observed subscription-like IAP metadata supports paid behavior proxy."
"app_store_iap","astrology_esoterics","MINDTRX: Self Help & Mindset","unclear_iap:2","12.00-99.00","medium_high","https://apps.apple.com/us/app/mindtrx-self-help-mindset/id1637566468?uo=4","Observed IAP metadata supports paid behavior proxy, but product type may be consumable/unclassified."
