source_id,market,niche,source_title,publisher,source_url,source_type,published_or_updated,claim_summary,confidence,extraction_date,notes
SRC-MKT-0001,mobile gaming,gaming,Mobile Games - Worldwide,Statista,https://www.statista.com/outlook/dmo/digital-media/video-games/mobile-games/worldwide,market_forecast_page,2026,"Search result reports 2026 worldwide mobile games revenue projection of USD 134.22B and 2026-2030 CAGR of 5.13%. Page requires follow-up because direct open returned session/error content.",Medium,2026-05-31,"Use as cross-check, not sole source."
SRC-MKT-0002,mobile gaming,gaming,How Platforms Are Colliding and Why This Will Spark the Next Era of Growth,Boston Consulting Group,https://web-assets.bcg.com/b3/fa/fd7443244a48a24fae8299ce0f34/video-gaming-report-2026-nov-2025-edit-02.pdf,analyst_pdf,2026,"BCG report includes mobile game IAP market breakdown, webstore/payment-channel shift, and +4% CAGR framing for mobile game IAP.",High,2026-05-31,"Useful for monetization and distribution, not full Alina direct TAM."
SRC-MKT-0003,meditation and mindfulness apps,mindfulness,Meditation And Mindfulness Apps Market,Stratistics MRC,https://www.strategymrc.com/report/meditation-and-mindfulness-apps-market,market_report_page,2026,"Public page states market is USD 1.68B in 2026 and expected to reach USD 4.62B by 2034 at 13.4% CAGR.",Medium,2026-05-31,"Good direct category anchor; methodology paywalled."
SRC-MKT-0004,AI avatars,avatar_identity,AI Avatars Market Size & Share 2026-2035,Global Market Insights,https://www.gminsights.com/industry-analysis/ai-avatars-market,market_report_page,2026,"Public page states AI avatars market was USD 6.3B in 2025, USD 8.4B in 2026, and forecast USD 93.4B by 2035 at 30.6% CAGR.",Medium,2026-05-31,"Broad enterprise+consumer market; must discount for consumer self-improvement/avatar app use case."
SRC-MKT-0005,coaching,coaching,2026 ICF Coaching Futures Report,International Coaching Federation,https://icfcoachingfuturesreport.com/wp-content/uploads/sites/2/2026/01/icf-coaching-futures-report-2026.pdf,industry_pdf,2026,"Report states technology is transforming coaching delivery and AI is moving from tool to co-pilot; online and virtual coaching are dominant delivery formats per cited ICF study.",High,2026-05-31,"Trend anchor; needs separate TAM/revenue source."
SRC-MKT-0006,astrology apps,astrology_esoterics,Astrology App Market Report 2026,Research and Markets,https://www.researchandmarkets.com/reports/6090017/astrology-app-market-report,market_report_page,2026,"Public summary says astrology app market is expected to grow rapidly and includes global market size, regional shares, competitors, segments, trends, and opportunities.",Low,2026-05-31,"Need direct values and cross-checks from multiple astrology sources."
SRC-MKT-0007,astrology apps,astrology_esoterics,Astrology App Market,Econ Market Research,https://www.econmarketresearch.com/industry-report/astrology-app-market/,market_report_page,2026,"Public page/search result states global astrology app market generated USD 16.07B in 2026 and is forecast to reach USD 27.15B by 2035 at 6% CAGR.",Low,2026-05-31,"High estimate anchor; likely broad definition."
SRC-MKT-0008,astrology apps,astrology_esoterics,Astrology App Market Research Report 2035,Global Growth Insights,https://www.globalgrowthinsights.com/market-reports/astrology-app-market-114903,market_report_page,2026,"Public page/search result states astrology app market was USD 5B in 2025, projected USD 6.24B in 2026, USD 7.79B in 2027, and USD 45.7B by 2035.",Low,2026-05-31,"Large CAGR; use for range only."
SRC-MKT-0009,astrology apps,astrology_esoterics,Astrology App Market Report 2026,Research and Markets,https://www.researchandmarkets.com/reports/6090017/astrology-app-market-report,market_report_page,2026,"Public page/search result states astrology app market grows from USD 4.73B in 2025 to USD 5.69B in 2026 at 20.2% CAGR.",Medium,2026-05-31,"Direct category anchor, but public page has limited methodology."
SRC-MKT-0010,AI career coach,coaching,AI Career Coach Global Market Report 2026,Research and Markets via GlobeNewswire,https://www.globenewswire.com/news-release/2026/04/27/3281439/0/en/ai-career-coach-global-market-report-2026-revenue-expected-to-reach-6-69b-in-2026-ai-driven-learning-fuels-exponential-growth.html,press_release,2026,"Public release states AI career coach market grows from USD 5.48B in 2025 to USD 6.69B in 2026 at 22.3% CAGR, reaching USD 14.82B by 2030.",Medium,2026-05-31,"Career coaching is adjacent, not identical to Alina."
SRC-MKT-0011,coaching platforms,coaching,Coaching Platform Market,Future Market Insights,https://www.futuremarketinsights.com/reports/coaching-platform-market,market_report_page,2026,"Public page/search result states coaching platform market is USD 4.22B in 2026 and USD 12.01B by 2036 at 11.0% CAGR.",Medium,2026-05-31,"Enterprise-heavy; use as digital coaching benchmark."
SRC-MKT-0012,coaching platforms,coaching,Coaching Platform Market Size Share and Growth Forecast,Persistence Market Research,https://www.persistencemarketresearch.com/market-research/coaching-platform-market.asp,market_report_page,2026,"Public page/search result states coaching platform market is USD 5.0B in 2026 and USD 12.8B by 2033 at 14.4% CAGR.",Medium,2026-05-31,"Good cross-check for coaching platform range."
