storyline_id,report_section_ru,reader_question_ru,narrative_move_ru,evidence_anchor_ru,allowed_conclusion_ru,boundary_ru,transition_to_next_ru,style_instruction_ru
"STORY_01_PRODUCT_THESIS","Описание проекта и гипотеза #1","Что такое Alina и почему это не просто еще один tracker, meditation app или avatar toy?","Сначала дать продуктовую ставку человеческим языком: daily meaning превращается в маленькое действие, reset снижает трение, progress/avatar показывает причинное изменение.","source_base=68,085 raw; dedup=37,176; manifest=529; sample_style=yes","Есть достаточно широкий контекст для проверки продуктовой формы.","Это не PMF proof и не доказательство спроса; это стартовая рамка H1.","Если форма продукта звучит правдоподобно, следующий вопрос - есть ли вокруг нее большие и платежеспособные мировые рынки.","Писать как связный русский рассказ: сначала смысл, затем цифры."
"STORY_02_EVIDENCE_STATUS","Текущий статус доказательств","Можно ли уже говорить, что гипотезы доказаны?","Сразу поставить защитную рамку: все гипотезы идут через gates, а desk research не заменяет observed evidence.","gates=6; hold_validate=6; H2=28 / 48 completed","Исследование достаточно большое, чтобы выбирать следующие проверки, но не достаточно наблюдаемое, чтобы закрывать gates.","Не усиливать формулировки до go, пока нет walkthrough, интервью, prototype sessions и WTP.","После фиксации границ можно смотреть на рынки без риска перепутать market size и product proof.","Не объяснять читателю, как читать research слишком долго; дать короткий статус и идти дальше."
"STORY_03_MARKET_MAP","Определение мировых целевых рынков и гипотеза #2","Какие именно пять мировых направлений проверяются и сколько данных взято в каждой нише?","Показать пять направлений как роли в будущей ценности Alina: reset, action, meaning, visible identity, progression mechanics.","5 market rows; direct_app_dedup=13,117; all_source_dedup_rows_by_niche=43,626","Пять направлений покрыты как global competitor/source map.","Построчные niche dedup нельзя складывать как уникальных конкурентов; gaming остается benchmark, не прямой TAM.","Когда направления определены, нужно оценить деньги через range-based TAM/SAM/SOM, а не через одну красивую цифру.","Перед таблицей явно сказать, что числа показывают coverage, а не количество прямых клонов."
"STORY_04_MARKET_MONEY","Методология TAM/SAM/SOM","Есть ли там деньги и насколько хрупка рыночная модель?","Разделить TAM, SAM, confidence-weighted SAM и stress scenarios; отдельно назвать чувствительные assumptions.","tam_rows=6; intersection_sam=201960000; sensitivity_rows=6","H2 получает directional money case для продолжения проверки.","Рыночная модель не является revenue forecast и не закрывает paid-flow/WTP gate.","Если деньги вокруг есть, следующий риск - конкурентная плотность и hidden clones.","Вывод перед формулами: что можно решить по рынку уже сейчас, а что нельзя."
"STORY_05_COMPETITOR_FIELD","Определение конкурентов и гипотеза #3","Кто уже борется за похожее поведение пользователя?","Показывать конкурентов как карту соседних способов решения задачи, а не как список приложений ради списка.","archetype_rows=7; close_or_direct_total=73","Конкурентное поле плотное, и это подтверждает market activity.","Плотность конкурентов не доказывает Alina; taxonomy noise и hidden-clone риск остаются.","После поля конкурентов надо сузить вопрос: где именно петля Alina не закрыта полностью.","Не писать “конкурентов нет”; писать “конкуренты закрывают части петли”."
"STORY_06_WHITESPACE","Где дыры и возможность отличиться","Где может быть белое пятно и почему оно не слишком широкое?","Формулировать whitespace как причинную дыру: meaning -> action -> reset -> visible progress, а не как отсутствие wellness apps.","5 whitespace/audience rows; best_directional_fields=mindfulness, avatar_identity","Узкое directional whitespace выглядит проверяемым, особенно в mindfulness/avatar слоях.","H3 нельзя усиливать без ручного walkthrough P0-конкурентов.","Белое пятно имеет смысл только если есть аудитория с recent behavior и current workaround.","Давать мини-вывод после каждой группы: что это значит для продукта."
"STORY_07_AUDIENCE","Аудитория, интервью и гипотеза #4","Кто потенциальный пользователь и почему это не демография?","Описывать audience через поведение: digital ritual users, recent behavior, paid depth, trust boundary и язык боли.","icp_rows=6; p0_segments=Spiritual self-improvers + Habit and progress users","Есть два P0-сегмента для первых интервью и прототипа.","Secondary VOC и review language не заменяют живые интервью.","После аудитории можно определить MVP не как набор функций, а как проверку одной петли.","Каждый сегмент связывать с конкретным вопросом интервью."
"STORY_08_PRODUCT_LOOP","Итоговая модель продукта и гипотеза #5","Что именно должен проверить MVP?","Сжать продукт до одной причинной сессии: вход в смысл, контекст, действие, reset, evidence, avatar/progress feedback, next-day hook.","product_loop_screens=8; prototype_scorecard_file=data_processed/prototype_validation_scorecard.csv","MVP можно проектировать вокруг loop comprehension, differentiation, trust и return intent.","H4/H6 не закрыты, пока участники не объясняют петлю своими словами.","Дальше нужна очередь валидации, которая превращает desk research в observed rows.","Писать “какую причинность проверяет экран”, а не только “какой экран есть”."
"STORY_09_VALIDATION_QUEUE","Ближайшая очередь валидации","Что делать следующим шагом, чтобы отчет стал сильнее?","Дать порядок работ: hidden-clone walkthrough, paid-flow/WTP, ICP interviews, prototype sessions.","next_validation_tasks=22; first_workstreams=manual walkthrough + paid-flow","Следующий прирост качества должен прийти от observed rows, а не от бесконечного расширения desk research.","Очередь задач не равна выполненной валидации.","После этого читателю нужно показать traceability: откуда взяты claims и где лежат файлы.","Держать список коротким в narrative, тяжелые capture sheets оставлять в приложениях."
"STORY_10_TRACEABILITY","Источники и границы доказательств","Можно ли проверить, откуда взялись утверждения?","Закрыть рассказ source appendix, manifest и границами claims, чтобы отчет был красивым, но не бездоказательным.","manifest=529; readability_rows=10; source_appendix=data_processed/global_hypothesis_source_appendix.csv","Пакет трассируем локально и готов к следующему validation pass.","Traceability доказывает наличие и связность артефактов, но не доказывает продуктовый outcome.","После новых observed rows нужно пересобрать отчет, PDF/DOCX, manifest и git history.","Финал должен оставлять читателю решение и следующий шаг, а не утопать в методологии."
