requirement_id,requirement,objective_source,status,evidence_strength,proof,evidence_files,remaining_gap,next_action
"REQ_01_MASTER_PLAN","Large plan and phased backlog are documented.","User requested a large plan and autonomous execution path.","proved_v1","strong","master_plan=true; roadmap_rows=14","docs/research-expansion-master-plan.md;data_processed/validation_gap_roadmap.csv;docs/decision/validation-gap-roadmap-v1.md","Keep refreshing as validation results change.","Update after any manual validation/prototype result."
"REQ_02_COMPETITOR_UNIVERSE","Competitor/source universe is expanded across five markets toward the aspirational 30k-50k app/source target.","User requested 30k-50k applications/sources across app stores, forums, web apps, desktop apps, websites.","partial_substantial_not_30k_50k","medium_high","dedup=12552; raw=17490; niches=5; source_kinds=4","data_raw/expanded/all_expanded_raw.csv;data_raw/expanded/all_expanded_dedup.csv;data_processed/competitor_feature_matrix.csv;docs/competitive/expanded-source-map.md;docs/competitive/source-expansion-backlog-v1.md","Below aspirational 30k-50k raw source/app target; desktop stores, Product Hunt/AlternativeTo, B2B directories, forums, and curated lists remain backlog.","Run next non-search-heavy collectors from source expansion backlog."
"REQ_03_FIVE_MARKET_COVERAGE","Research covers five core markets: coaching, mindfulness, avatar/identity, astrology/esoterics, gaming/progression benchmark.","User framed five key directions / markets.","proved_v1","strong","expanded_markets=5; tam_rows=6; audience_rows=20492","data_raw/expanded/all_expanded_dedup.csv;data_processed/tam_sam_som_model.csv;data_processed/audience_signal_matrix.csv","Gaming should remain benchmark-only unless direct consumer overlap is validated.","Keep market-specific validation gates explicit."
"REQ_04_MARKET_MONEY","TAM/SAM/SOM methodology and market-money evidence are prepared.","User asked for complex market evaluation formulas and open research source gathering.","supported_with_ranges_not_final","medium","tam_rows=6; source_confidence_rows=12; strong_paid_proxy_markets=4/5","docs/market/market-sizing-methodology.md;data_processed/tam_sam_som_model.csv;data_processed/market_source_confidence_review.csv;data_processed/market_monetization_proxy_matrix.csv;docs/market/tam-sam-som-model-v1.md","Market sizing remains range-based; competitor revenue/proxy triangulation and additional credible sources are needed for final claims.","Add competitor revenue/proxy review and refresh source confidence."
"REQ_05_WHITESPACE","Whitespace/competitor gap analysis exists and identifies whether a narrow opening is plausible.","User asked to prove a white spot among markets/apps and absence or weakness of existing solutions.","narrow_supported_not_final","medium","whitespace_rows=12552; high_ws=593; top100=100; behavior_tied=1","data_processed/whitespace_signal_matrix.csv;data_processed/top100_competitor_review_scorecard.csv;docs/intersections/whitespace-map-v2.md;docs/competitive/top100-competitor-review-v1.md","Metadata can miss hidden in-app mechanics; manual app/onboarding validation is still required.","Execute P0/P1 human validation queue and Chrome mechanic validation."
"REQ_06_AUDIENCE_ICP","Audience, ICP, JTBD, pain, and shared segment hypotheses are prepared.","User asked for common audience, segments, customer profile, detailed matrices.","directionally_supported_validation_ready","medium","audience_rows=20492; icp_segments=6; icp_validation_tests=36","data_processed/audience_signal_matrix.csv;data_processed/icp_segment_matrix.csv;data_processed/icp_validation_test_plan.csv;docs/audience/icp-segment-matrix-v1.md;docs/audience/icp-validation-packet-v1.md","Segments are directional and need interviews/prototype/WTP validation.","Run ICP validation packet for top two segments."
"REQ_07_COMPETITIVE_ADVANTAGE","Competitive advantage and product-core hypotheses are made explicit.","User asked to prove competitive advantage and move toward product ядро.","supported_for_mvp_framing_not_validated","medium","feature_rows=12552; primary_top100_apps=90; evidence_claims=12","data_processed/product_core_evidence_matrix.csv;docs/product/product-core-evidence-v1.md;docs/strategy/value-proposition-v1.md;data_processed/evidence_claim_register.csv","No prototype or user test proves the loop is understood/preferred.","Prototype two-minute loop and measure comprehension, emotional value, return intent."
"REQ_08_REPORT_PDF","A large PDF/report artifact exists.","User ultimately wanted a huge PDF report.","draft_done_not_polished_final","medium_high","report_md=true; evidence_pdf=true; visual_pdf=true","reports/alina-evidence-first-report-draft.md;output/pdf/alina-evidence-first-report-draft.pdf;output/pdf/alina-evidence-visual-report-v1.pdf","PDF is draft evidence/reporting artifact, not final polished investor/user-facing publication.","Create final designed PDF after human/prototype validation or mark as evidence draft explicitly."
"REQ_09_VERSIONING_PROVENANCE","Research is saved locally, traceable, committed, and pushed to GitHub.","User asked to save data locally, commit, and push so work is not lost.","proved_active","high","manifest_rows=143; missing_manifest=0; git_versioned=active","data_processed/evidence_artifact_manifest.csv;docs/decision/evidence-package-manifest-v1.md;git log","Manifest must be regenerated after future evidence changes.","Regenerate manifest and commit after each major layer."
"REQ_10_VALIDATION_GATES","Remaining validation gates are explicit and prioritized.","User wanted critical thinking and continued work when information is missing.","proved_v1_open_gates","strong","roadmap_rows=14; p0=5; p1=9; human_confirmed=0","data_processed/validation_gap_roadmap.csv;docs/decision/validation-gap-roadmap-v1.md;data_processed/top100_human_validation_queue.csv","Open P0 gates remain: manual competitor validation, paywall review, whitespace validation, competitive advantage prototype, ICP validation.","Work P0 roadmap rows in order."
