sprint_rank,command_id,execution_block_ru,target,linked_hypotheses,timebox_ru,source_capture_file,rows_to_update_count,linked_capture_ids,linked_capture_status_mix,card_file,source_url,first_operator_prompt_ru,minimum_evidence_ru,pass_signal_ru,downgrade_signal_ru,intake_gap_ru,claim_boundary_ru,operator_action_ru,output_file_to_update,downstream_reference_file
"1","P0_MANUAL_01","Сначала hidden-clone walkthrough","Shepherd: Spiritual Bible BFF","H1|H3","25-35 min","data_processed/manual_walkthrough_capture_sheet.csv","5","MCI_01_MCI_S01|MCI_01_MCI_S02|MCI_01_MCI_S03|MCI_01_MCI_S04|MCI_01_MCI_S05","public_listing_signoff_completed_not_app_walkthrough:1|not_started:4","output/validation/next_p0_sprint/01__P0_MANUAL_01__shepherd-spiritual-bible-bff.md","https://apps.apple.com/us/app/shepherd-spiritual-bible-bff/id6745461941?uo=4","What promise, audience, and daily loop does the public listing imply? || Does onboarding show one coherent loop or separate feature shelves? || Is there a concrete action that can be completed in under two minutes?","app_store_listing_or_public_positioning|onboarding_first_value_screen|first_daily_action_or_task_screen|progress_avatar_identity_feedback_screen|first_paywall_or_iap_terms_screen","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","есть незаполненные app/onboarding walkthrough слоты","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","открыть listing/app, сохранить 5 слотов скриншотов, записать full-loop/directness/causality verdict","data_processed/manual_walkthrough_capture_sheet.csv","data_processed/manual_competitor_inspection_packet.csv"
"2","P0_MANUAL_02","Сначала hidden-clone walkthrough","Zing AI: Home & Gym Workouts","H1|H3","25-35 min","data_processed/manual_walkthrough_capture_sheet.csv","5","MCI_02_MCI_S01|MCI_02_MCI_S02|MCI_02_MCI_S03|MCI_02_MCI_S04|MCI_02_MCI_S05","public_listing_signoff_completed_not_app_walkthrough:1|not_started:4","output/validation/next_p0_sprint/02__P0_MANUAL_02__zing-ai-home-gym-workouts.md","https://apps.apple.com/us/app/zing-ai-home-gym-workouts/id1552207792?uo=4","What promise, audience, and daily loop does the public listing imply? || Does onboarding show one coherent loop or separate feature shelves? || Is there a concrete action that can be completed in under two minutes?","app_store_listing_or_public_positioning|onboarding_first_value_screen|first_daily_action_or_task_screen|progress_avatar_identity_feedback_screen|first_paywall_or_iap_terms_screen","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","есть незаполненные app/onboarding walkthrough слоты","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","открыть listing/app, сохранить 5 слотов скриншотов, записать full-loop/directness/causality verdict","data_processed/manual_walkthrough_capture_sheet.csv","data_processed/manual_competitor_inspection_packet.csv"
"3","P0_MANUAL_03","Сначала hidden-clone walkthrough","Miracle Morning Routine","H1|H3","25-35 min","data_processed/manual_walkthrough_capture_sheet.csv","5","MCI_03_MCI_S01|MCI_03_MCI_S02|MCI_03_MCI_S03|MCI_03_MCI_S04|MCI_03_MCI_S05","public_listing_signoff_completed_not_app_walkthrough:1|not_started:4","output/validation/next_p0_sprint/03__P0_MANUAL_03__miracle-morning-routine.md","https://apps.apple.com/us/app/miracle-morning-routine/id1581511740?uo=4","What promise, audience, and daily loop does the public listing imply? || Does onboarding show one coherent loop or separate feature shelves? || Is there a concrete action that can be completed in under two minutes?","app_store_listing_or_public_positioning|onboarding_first_value_screen|first_daily_action_or_task_screen|progress_avatar_identity_feedback_screen|first_paywall_or_iap_terms_screen","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","есть незаполненные app/onboarding walkthrough слоты","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","открыть listing/app, сохранить 5 слотов скриншотов, записать full-loop/directness/causality verdict","data_processed/manual_walkthrough_capture_sheet.csv","data_processed/manual_competitor_inspection_packet.csv"
"4","P0_MANUAL_04","Сначала hidden-clone walkthrough","EVOLVE: Transform Your Life","H1|H3","25-35 min","data_processed/manual_walkthrough_capture_sheet.csv","5","MCI_04_MCI_S01|MCI_04_MCI_S02|MCI_04_MCI_S03|MCI_04_MCI_S04|MCI_04_MCI_S05","public_listing_signoff_completed_not_app_walkthrough:1|not_started:4","output/validation/next_p0_sprint/04__P0_MANUAL_04__evolve-transform-your-life.md","https://apps.apple.com/us/app/evolve-transform-your-life/id6754897547?uo=4","What promise, audience, and daily loop does the public listing imply? || Does onboarding show one coherent loop or separate feature shelves? || Is there a concrete action that can be completed in under two minutes?","app_store_listing_or_public_positioning|onboarding_first_value_screen|first_daily_action_or_task_screen|progress_avatar_identity_feedback_screen|first_paywall_or_iap_terms_screen","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","есть незаполненные app/onboarding walkthrough слоты","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","открыть listing/app, сохранить 5 слотов скриншотов, записать full-loop/directness/causality verdict","data_processed/manual_walkthrough_capture_sheet.csv","data_processed/manual_competitor_inspection_packet.csv"
"5","P0_MANUAL_05","Сначала hidden-clone walkthrough","Daily Yoga: Yoga for Fitness®","H1|H3","25-35 min","data_processed/manual_walkthrough_capture_sheet.csv","5","MCI_05_MCI_S01|MCI_05_MCI_S02|MCI_05_MCI_S03|MCI_05_MCI_S04|MCI_05_MCI_S05","public_listing_signoff_completed_not_app_walkthrough:1|not_started:4","output/validation/next_p0_sprint/05__P0_MANUAL_05__daily-yoga-yoga-for-fitness.md","https://apps.apple.com/us/app/daily-yoga-yoga-for-fitness/id545849922?uo=4","What promise, audience, and daily loop does the public listing imply? || Does onboarding show one coherent loop or separate feature shelves? || Is there a concrete action that can be completed in under two minutes?","app_store_listing_or_public_positioning|onboarding_first_value_screen|first_daily_action_or_task_screen|progress_avatar_identity_feedback_screen|first_paywall_or_iap_terms_screen","evidence supports close substitute/directness classification and clarifies whether action->identity/avatar causality exists","metadata claim is not visible, flow is unrelated, or app is only decorative/generic without daily transformation loop","есть незаполненные app/onboarding walkthrough слоты","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","открыть listing/app, сохранить 5 слотов скриншотов, записать full-loop/directness/causality verdict","data_processed/manual_walkthrough_capture_sheet.csv","data_processed/manual_competitor_inspection_packet.csv"
"6","P0_PAYWALL_02","Потом paid-flow/WTP evidence","Character AI: Chat, Talk, Text","H2","10-15 min","data_processed/paid_flow_capture_sheet.csv","4","PF_01_PF_S01|PF_01_PF_S02|PF_01_PF_S03|PF_01_PF_S04","local_visual_signoff_completed:4","output/validation/next_p0_sprint/06__P0_PAYWALL_02__character-ai-chat-talk-text.md","https://character.ai/subscribe","Capture visible price, trial, subscription term, or IAP list. || Capture whether the paywall appears before or after first meaningful loop value. || Capture what paid tier unlocks and whether it matches Alina paid-depth logic.","public pricing screenshot|app/product match|trial length|monthly price|annual price|first meaningful paywall boundary|human signoff note","Human review confirms product-matched pricing/paywall evidence or records a conservative partial label.","Signal is parent-company only, unrelated, login-gated, OCR artifact, or not useful for Alina market-money claims.","есть local/public signoff; остается проверить first-value boundary и WTP","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","проверить screenshot/source, подтвердить цену, trial, product-match и границу первого paywall","data_processed/paid_flow_capture_sheet.csv","data_processed/web_paywall_visual_adjudication.csv"
"7","P0_PAYWALL_03","Потом paid-flow/WTP evidence","Headspace: Sleep & Meditate","H2","10-15 min","data_processed/paid_flow_capture_sheet.csv","4","PF_11_PF_S01|PF_11_PF_S02|PF_11_PF_S03|PF_11_PF_S04","not_started:4","output/validation/next_p0_sprint/07__P0_PAYWALL_03__headspace-sleep-meditate.md","https://www.headspace.com/","Capture visible price, trial, subscription term, or IAP list. || Capture whether the paywall appears before or after first meaningful loop value. || Capture what paid tier unlocks and whether it matches Alina paid-depth logic.","public pricing screenshot|app/product match|trial length|monthly price|annual price|first meaningful paywall boundary|human signoff note","Human review confirms product-matched pricing/paywall evidence or records a conservative partial label.","Signal is parent-company only, unrelated, login-gated, OCR artifact, or not useful for Alina market-money claims.","paid-flow rows еще не заполнены человеком","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","проверить screenshot/source, подтвердить цену, trial, product-match и границу первого paywall","data_processed/paid_flow_capture_sheet.csv","data_processed/web_paywall_visual_adjudication.csv"
"8","P0_PAYWALL_04","Потом paid-flow/WTP evidence","Meditopia: Sleep & Meditation","H2","10-15 min","data_processed/paid_flow_capture_sheet.csv","4","PF_02_PF_S01|PF_02_PF_S02|PF_02_PF_S03|PF_02_PF_S04","local_visual_signoff_completed:4","output/validation/next_p0_sprint/08__P0_PAYWALL_04__meditopia-sleep-meditation.md","https://meditopia.com/en/plans","Capture visible price, trial, subscription term, or IAP list. || Capture whether the paywall appears before or after first meaningful loop value. || Capture what paid tier unlocks and whether it matches Alina paid-depth logic.","public pricing screenshot|app/product match|trial length|monthly price|annual price|first meaningful paywall boundary|human signoff note","Human review confirms product-matched pricing/paywall evidence or records a conservative partial label.","Signal is parent-company only, unrelated, login-gated, OCR artifact, or not useful for Alina market-money claims.","есть local/public signoff; остается проверить first-value boundary и WTP","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","проверить screenshot/source, подтвердить цену, trial, product-match и границу первого paywall","data_processed/paid_flow_capture_sheet.csv","data_processed/web_paywall_visual_adjudication.csv"
"9","P0_PAYWALL_05","Потом paid-flow/WTP evidence","Nebula: Spiritual Guidance","H2","10-15 min","data_processed/paid_flow_capture_sheet.csv","4","PF_12_PF_S01|PF_12_PF_S02|PF_12_PF_S03|PF_12_PF_S04","not_started:4","output/validation/next_p0_sprint/09__P0_PAYWALL_05__nebula-spiritual-guidance.md","https://www.asknebula.com/","Capture visible price, trial, subscription term, or IAP list. || Capture whether the paywall appears before or after first meaningful loop value. || Capture what paid tier unlocks and whether it matches Alina paid-depth logic.","public pricing screenshot|app/product match|trial length|monthly price|annual price|first meaningful paywall boundary|human signoff note","Human review confirms product-matched pricing/paywall evidence or records a conservative partial label.","Signal is parent-company only, unrelated, login-gated, OCR artifact, or not useful for Alina market-money claims.","paid-flow rows еще не заполнены человеком","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","проверить screenshot/source, подтвердить цену, trial, product-match и границу первого paywall","data_processed/paid_flow_capture_sheet.csv","data_processed/web_paywall_visual_adjudication.csv"
"10","P0_PAYWALL_08","Потом paid-flow/WTP evidence","Carrom Pool: Disc Game","H2","10-15 min","data_processed/paid_flow_capture_sheet.csv","4","PF_03_PF_S01|PF_03_PF_S02|PF_03_PF_S03|PF_03_PF_S04","local_visual_signoff_completed:4","output/validation/next_p0_sprint/10__P0_PAYWALL_08__carrom-pool-disc-game.md","https://www.miniclip.com/pricing","Capture visible price, trial, subscription term, or IAP list. || Capture whether the paywall appears before or after first meaningful loop value. || Capture what paid tier unlocks and whether it matches Alina paid-depth logic.","public pricing screenshot|app/product match|trial length|monthly price|annual price|first meaningful paywall boundary|human signoff note","Human review confirms product-matched pricing/paywall evidence or records a conservative partial label.","Signal is parent-company only, unrelated, login-gated, OCR artifact, or not useful for Alina market-money claims.","есть local/public signoff; остается проверить first-value boundary и WTP","intake routing не является observed evidence и не апгрейдит H1-H6 без заполненных capture rows","проверить screenshot/source, подтвердить цену, trial, product-match и границу первого paywall","data_processed/paid_flow_capture_sheet.csv","data_processed/web_paywall_visual_adjudication.csv"
